work_key,title,evidence_set,dominant_contribution,final_verdict,recommendation,final_reason,source_checked,primary_url,doi,arxiv_id,paper_path
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,attack,KEEP,keep,"Paper-level source/metadata review supports a security or privacy mechanism/evaluation that is tied to inter-agent communication, state, delegation, aggregation, topology, identity, collusion, malicious membership, or propagation; no boundary issue requiring author adjudication surfaced.",yes_source_or_official_metadata_pass,,10.1109/icetes68504.2026.11518808,,papers/attacks/2026_1st_international_conference_on_emerging_technologies_and_enginee/2026_rag_induced_failures_in_multi_agent_large_language_model_debate.md
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://ojs.aaai.org/index.php/AAAI/article/view/40224,10.1609/aaai.v40i35.40224,2508.03125,papers/attacks/aaai/2026_yan_attack_messages.md
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://ojs.aaai.org/index.php/AAAI/article/view/41134,10.1609/aaai.v40i44.41134,2511.18467,papers/attacks/aaai/2026_wang_shadows_code.md
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://ojs.aaai.org/index.php/AAAI-SS/article/view/42936,10.1609/aaaiss.v9i1.42936,2604.08608,papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2025.acl-long.859/,10.18653/v1/2025.acl-long.859,2410.16155,papers/attacks/acl/2025_men_troublemaker.md
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2025.acl-long.476/,10.18653/v1/2025.acl-long.476,2504.00218,papers/attacks/acl/2025_khan_agents_under_siege.md
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2026.acl-long.725/,10.18653/v1/2026.acl-long.725,2602.05176,papers/attacks/acl/2026_yang_among_us.md
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2026.acl-long.815/,10.18653/v1/2026.acl-long.815,2604.12461,papers/attacks/acl/2026_wu_cia.md
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2026.acl-long.1577/,10.18653/v1/2026.acl-long.1577,2604.16543,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,attack,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review,https://aclanthology.org/2026.acl-long.270/,10.18653/v1/2026.acl-long.270,2601.01685,papers/attacks/acl/2026_hu_lying_truths.md
