record_id,title,publication_date,screened_venue,canonical_venue,doi,canonical_doi,arxiv_id,scope_decision,publication_status,venue_type,publication_evidence_type,publication_evidence_url,publication_override,semantic_scholar_id,semantic_scholar_title_match,citations_semantic_scholar,citation_snapshot_date,peer_first_stratum
arxiv:2401.11880,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",2024-01-22,Annual Meeting of the Association for Computational Linguistics,ACL,10.48550/arxiv.2401.11880,10.18653/v1/2024.acl-long.812,2401.11880,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/acl/ZhangZLSG0WLZ24,no,684ede7013b3d844dae13090350a5c27b196727f,yes,96,2026-08-06,peer_reviewed_conference
arxiv:2402.08567,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024-02-13,International Conference on Machine Learning,ICML,10.48550/arxiv.2402.08567,arxiv:2402.08567,2402.08567,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/icml/GuZPDL00L24,no,b0ada492ba48e85016cbbfd95ec7180fb7e79648,yes,153,2026-08-06,peer_reviewed_conference
arxiv:2404.02532,Learn to Disguise: Avoid Refusal Responses in LLM's Defense via a Multi-agent Attacker-Disguiser Game,2024-04-03,arXiv.org,arXiv.org,10.48550/arxiv.2404.02532,arxiv:2404.02532,2404.02532,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/611088d69b8d1e829e9f0d9d0f63c460c2b76674,no,611088d69b8d1e829e9f0d9d0f63c460c2b76674,yes,7,2026-08-06,emerging_non_peer
arxiv:2405.12604,Tiny Refinements Elicit Resilience: Toward Efficient Prefix-Model Against LLM Red-Teaming,2024-05-21,arXiv (Cornell University),arXiv.org,10.48550/arxiv.2405.12604,arxiv:2405.12604,2405.12604,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/4c2afc5e358a328286eb40f4e64572ba84a7f536,no,4c2afc5e358a328286eb40f4e64572ba84a7f536,yes,7,2026-08-06,emerging_non_peer
arxiv:2407.09897,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2024-07-13,arXiv.org,arXiv.org,10.48550/arxiv.2407.09897,arxiv:2407.09897,2407.09897,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/bf19d876b64922d41152a04955b309fb5ed8e929,no,bf19d876b64922d41152a04955b309fb5ed8e929,yes,13,2026-08-06,emerging_non_peer
arxiv:2407.12532,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2024-07-17,arXiv.org,arXiv.org,10.48550/arxiv.2407.12532,arxiv:2407.12532,2407.12532,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/e3dc5680f7de9db8a1aff9b9c936563e9f8aba45,no,e3dc5680f7de9db8a1aff9b9c936563e9f8aba45,yes,13,2026-08-06,emerging_non_peer
arxiv:2408.13406,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,2024-08-23,,,10.48550/arxiv.2408.13406,arxiv:2408.13406,2408.13406,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/f1c9f9f11204015d2822b14d5b5595723c20ee8a,no,f1c9f9f11204015d2822b14d5b5595723c20ee8a,yes,7,2026-08-06,emerging_non_peer
arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2024-08-27,arXiv.org,arXiv.org,10.48550/arxiv.2408.14972,arxiv:2408.14972,2408.14972,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,no,cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,yes,10,2026-08-06,emerging_non_peer
arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2024-10-03,International Conference on Learning Representations,International Conference on Learning Representations,10.48550/arxiv.2410.02506,arxiv:2410.02506,2410.02506,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,no,aebfeb42bbd155c1541a67fddf0a6e2bc5d6ae34,yes,121,2026-08-06,peer_reviewed_conference
arxiv:2410.14596,Teaching Models to Balance Resisting and Accepting Persuasion,2024-10-18,North American Chapter of the Association for Computational Linguistics,North American Chapter of the Association for Computational Linguistics,10.48550/arxiv.2410.14596,arxiv:2410.14596,2410.14596,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/naacl/StengelEskinHB25,no,70164cbd6de96c7605a2fdef10624034f06f743e,yes,19,2026-08-06,peer_reviewed_conference
arxiv:2410.15686,NetSafe: Exploring the Topological Safety of Multi-agent Networks,2024-10-21,arXiv.org,FINDINGS ACL,10.48550/arxiv.2410.15686,10.18653/v1/2025.findings-acl.150,2410.15686,include-primary-interaction-security,peer_reviewed,conference,official_proceedings_record,https://aclanthology.org/2025.findings-acl.150/,yes,fdd0c7398ab979233c7f705cc7c3b7f19b97c884,yes,36,2026-08-06,peer_reviewed_conference
arxiv:2410.16155,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2024-10-21,arXiv.org,ACL,10.48550/arxiv.2410.16155,10.18653/v1/2025.acl-long.859,2410.16155,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/cde46b95149067331329086a9e8c828562bd639f,no,cde46b95149067331329086a9e8c828562bd639f,yes,8,2026-08-06,emerging_non_peer
arxiv:2410.19000,Make LLMs better zero-shot reasoners: Structure-orientated autonomous reasoning,2024-10-18,arXiv.org,arXiv.org,10.48550/arxiv.2410.19000,arxiv:2410.19000,2410.19000,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/5e0e7ed3fe38b1f54adf7749678a90e1d2eefbc7,no,5e0e7ed3fe38b1f54adf7749678a90e1d2eefbc7,yes,8,2026-08-06,emerging_non_peer
arxiv:2410.22932,Multi-Agent Large Language Models for Conversational Task-Solving,2024-10-30,arXiv.org,arXiv.org,10.48550/arxiv.2410.22932,arxiv:2410.22932,2410.22932,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/2f6ef455c7272b726712fdfd64f1ca9166ca0478,no,2f6ef455c7272b726712fdfd64f1ca9166ca0478,yes,31,2026-08-06,influential_non_peer
arxiv:2412.11014,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2024-12-15,,,10.48550/arxiv.2412.11014,arxiv:2412.11014,2412.11014,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/d3172458e2ac692892ff090ddb216f05787fc4d4,no,d3172458e2ac692892ff090ddb216f05787fc4d4,yes,11,2026-08-06,emerging_non_peer
arxiv:2501.07811,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,arXiv.org,arXiv.org,10.48550/arxiv.2501.07811,arxiv:2501.07811,2501.07811,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/59efb90a519cf5df0aaadb3778d2d1028d2d666e,no,59efb90a519cf5df0aaadb3778d2d1028d2d666e,yes,37,2026-08-06,influential_non_peer
arxiv:2501.10385,Autonomous Microscopy Experiments through Large Language Model Agents,2024-12-18,arXiv.org,arXiv.org,10.48550/arxiv.2501.10385,arxiv:2501.10385,2501.10385,include-primary-interaction-security,non_peer_or_unverified,,no_archival_peer_evidence,https://www.semanticscholar.org/paper/04dfe87495b6df0d1ed805deabefc9a8f0c9a06a,no,04dfe87495b6df0d1ed805deabefc9a8f0c9a06a,yes,8,2026-08-06,emerging_non_peer
arxiv:2502.00757,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025-02-02,arXiv (Cornell University),NeurIPS,10.48550/arxiv.2502.00757,arxiv:2502.00757,2502.00757,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/nips/RosserF25,no,637bf4a7cf4ed36bdb87e8f29f025ade9bf6a4f1,yes,8,2026-08-06,peer_reviewed_conference
arxiv:2502.11127,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,2025-02-16,Annual Meeting of the Association for Computational Linguistics,ACL,10.48550/arxiv.2502.11127,10.18653/v1/2025.acl-long.359,2502.11127,include-primary-interaction-security,peer_reviewed,conference,dblp_non_corr_record,https://dblp.org/rec/conf/acl/WangZYWMGWW25,no,4e92cc52b11da0785362c3b98a8821005d326b45,yes,54,2026-08-06,peer_reviewed_conference
arxiv:2502.16242,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2025-02-22,arXiv (Cornell University),Trans. Mach. Learn. Res.,10.48550/arxiv.2502.16242,arxiv:2502.16242,2502.16242,include-primary-interaction-security,peer_reviewed,journal,dblp_non_corr_record,https://dblp.org/rec/journals/tmlr/GarciaHMP25,no,9cf6d9d629937ba5c1fc88fb1e0035b68870601a,yes,3,2026-08-06,peer_reviewed_journal
