priority,paper_id,review_focus,review_level,human_review_status,reviewer,adjudication_note
21,tian2023evil_geniuses,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
22,amayuelas2024collaboration_attack,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
23,zhang2024psysafe,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
24,tan2024wolf_within,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
25,khan2025agents_under_siege,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
26,han2025alignment_tipping,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
27,bowers2025code_injection,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
28,zhang2025breaking_agents,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
29,zhu2025_collaborative_shadows,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
30,supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
31,zheng2025integrity_attacks,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
32,liang2025_dont_trust_upstream,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
33,long2025funcpoison,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
34,yu2025codes,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
35,zhu2025master,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
36,peigne2025security_tax,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
37,huang2025faulty_agents,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
38,supp_safe_in_isolation_dangerous_together_agent_driven_multi_turn_decomposition_jailb,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
39,lupinacci2025darkside,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
40,arxiv_2509_14284,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
41,zhang2025allies_foes,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
42,arxiv_2504_00374,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
43,xie2025_whos_the_mole,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
44,yang2026among_us,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
45,hagag2026architecture_matters,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
46,yan2026mast,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
47,jha2026control_flow_hijacking,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
48,wu2026cia,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
49,supp_star_cooperative_attacks_2026,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
50,yan2026evo_attacker,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
51,zhou2026shield_target,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
52,zhou2026hierarchical_attacks,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
53,sun2026insider,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
54,naik2026omni_leak,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
55,lee2026prompt_infection,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
56,ahad2026sif,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
57,wang2026shadows_code,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
58,ko2026social_dynamics,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
59,xu2026trust_paradox,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
60,weckbecker2026_thought_virus,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
61,kong2026web_fraud,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
62,ren2026financial_fraud,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
63,kraidia2026collaboration_fails,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
64,zhang2026embedding_defenses,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
65,xiao2026sgoatmas,metadata; scope; category; evidence locators,standard_attack_review,pending_human_review,,
