paper_id,title,year,venue,recommended_scope,contextual_role,scope_rationale,attack_instance_coding_required,note_path,source_review_status
tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,2023,arXiv,security_relevant,attack,"Some claims concern interaction-amplified jailbreak risk, but the paper predates a precise independently-stateful-agent boundary and several results are general role-prompt jailbreak findings.","yes, claim-level",papers/attacks/arxiv/2023_tian_evil_geniuses.md,assistant_source_reviewed_pending_author_signoff
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2024,NeurIPS 2024,security_relevant,evaluation,Maliciousness and information sharing are measured in multi-party negotiation.,pending,papers/evaluations/neurips_2024/2024_abdelnabi_cooperation_competition_and_maliciousness_llm_st.md,official_metadata_and_abstract_screened
zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,2024,ACL,security_relevant,evaluation,"Interaction and collective danger are central, but the paper primarily studies broad psychological safety and role-prompt effects rather than a narrowly defined technical security property.",yes,papers/attacks/acl/2024_zhang_psysafe.md,assistant_source_reviewed_pending_author_signoff
yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,2025,KDD,security_relevant,survey,"The survey covers MAS, but it is not interaction-primary and includes broad trustworthiness dimensions.",no,papers/surveys/kdd/2025_yu_trustworthy_agents.md,assistant_source_reviewed_pending_author_signoff
rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025,NeurIPS,security_relevant,defense,"The work evaluates safety properties of composed agent scaffolds and searches for unsafe configurations, but its primary evidence is benchmark safety under architecture search rather than a technical runtime security threat model.",no,papers/defenses/neurips/2025_rosser_agentbreeder.md,assistant_source_reviewed_pending_author_signoff
deng2025agentsunderthreat,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,2025,ACM Computing Surveys,security_relevant,survey,"Primary boundary is general AI agents and four knowledge gaps, not LLM-MAS interaction as the sole object.",no,papers/surveys/journals_acm_csur/2025_deng_agents_under_threat.md,assistant_source_reviewed_pending_author_signoff
han2025alignment_tipping,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,2025,arXiv,security_relevant,evaluation,"The MAS diffusion pathway informs collective objective integrity, but there is no explicit adversary and half the paper is single-agent self-evolution.",no as attack; yes in failure/evaluation ledger,papers/attacks/arxiv/2025_han_alignment_tipping.md,assistant_source_reviewed_pending_author_signoff
zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2025,EMNLP,security_relevant,attack,The attack primitive is general agent malfunction. Only the advanced viral cases are interaction-dependent and should enter the MAS claim corpus.,yes_claim_level_only,papers/attacks/emnlp/2025_zhang_breaking_agents.md,assistant_source_reviewed_pending_author_signoff
arxiv_2506_07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025,arXiv,security_relevant,defense,Retained after the citation retrieval gate and security scope screen.,pending,papers/defenses/arxiv/2025_liu_chasing_moving_targets_with_online_self_play_rei.md,boundary_full_text_screened
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,2025,IEEE ISPA 2025,security_relevant,defense,Trust scores govern communication among decentralized agents.,pending,papers/defenses/ieee_ispa_2025/2025_ding_decentralized_multi_agent_system_with_trust_awar.md,official_metadata_and_abstract_screened
allegrini2025formalizing,Formalizing the Safety Security and Functional Properties of Agentic AI Systems,2025,arXiv,security_relevant,theoretical_framework,It formalizes cross-protocol safety/security properties but is broader than LLM-MAS security and includes agent-tool composition.,no,papers/general/arxiv/2025_allegrini_formalizing_properties.md,assistant_source_reviewed_pending_author_signoff
li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025,arXiv,security_relevant,defense,"It evaluates intentional misinformation injection and downstream multi-agent task integrity, but much of the endpoint is task performance/toxicity rather than a formal CIA/authorization property.",yes,papers/defenses/arxiv/2025_li_argus.md,assistant_source_reviewed_pending_author_signoff
cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,2025,ACM CCS,security_relevant,attack; defense; ecosystem evaluation,"The work studies a network of GenAI email and RAG applications and users. It is highly relevant to propagation, but the system boundary is broader than a population of independently stateful LLM agent cores.",yes,papers/attacks/ccs/2025_cohen_ai_worm.md,source_reviewed_pending_author_signoff
mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,2025,AAMAS,security_relevant,defense,"The paper studies adversarial coordination robustness, but its task environments and redefined partial-coordination property are broader reliability/safety and should not be treated as classical security consensus.",yes,papers/defenses/aamas/2025_mao_ibgp.md,assistant_source_reviewed_pending_author_signoff
