severity,global_priority,paper_id,title,review_track,field_or_category,current_coding,recommended_correction,rationale,evidence_source,author_signoff_required
medium,1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,load_bearing,Result wording,,Do not equate one million simulated agents with a real deployment or prevalence claim.,Ready after minor patch,https://proceedings.mlr.press/v235/gu24e.html,yes
medium,1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,load_bearing,Evidence locator,,Replace broad abstract-only locator with exact propagation-analysis pages before citing a specific round or growth constant.,Ready after minor patch,https://proceedings.mlr.press/v235/gu24e.html,yes
medium,2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,load_bearing,Primary failure,,"Use claim-level outcomes. Oversight, confidentiality, and decision integrity should not be collapsed into one paper-level label.",Ready after minor patch,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,yes
medium,2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,load_bearing,Metric coding,,Record each metric and denominator separately rather than a generic covert-communication ASR.,Ready after minor patch,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,yes
high,3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,load_bearing,Metric denominator,,Replace generic attack success with the paper's agent-question and round-specific definition.,Ready after minor patch,https://aclanthology.org/2025.acl-long.859/,yes
medium,3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,load_bearing,Result wording,,Report the three improvements exactly as authors report them; do not call them percentage points without table support.,Ready after minor patch,https://aclanthology.org/2025.acl-long.859/,yes
critical,4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,load_bearing,Canonical version,,Replace preprint title and Morris-II terminology with the final CCS title and final names; retain the preprint only as a linked version.,Ready after major patch,https://doi.org/10.1145/3719027.3765196,yes
critical,4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,load_bearing,Metrics,,Use final-paper FPR 0.017 and final latency/result tables. Do not mix preprint FPR 0.015.,Ready after major patch,https://doi.org/10.1145/3719027.3765196,yes
high,4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,load_bearing,Scope relation,,Downgrade from core_security to security_relevant under the independent LLM-agent-core boundary.,Ready after major patch,https://doi.org/10.1145/3719027.3765196,yes
critical,5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,load_bearing,Author list,,Resolve the final journal author list from the publisher PDF before updating papers.csv.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2,yes
critical,5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,load_bearing,Evidence locators,,Replace accessible-version locators with final journal page and table locations.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2,yes
high,5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,load_bearing,Attacker model,,Do not describe this as only an external runtime message attacker; the attack includes predeployment model manipulation.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2,yes
critical,6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,load_bearing,Primary category,,Change from attack to defense/evaluation with attack analysis as a secondary role.,Ready after major patch,https://aclanthology.org/2025.acl-long.359/,yes
high,6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,load_bearing,Guarantee language,,"Describe empirical recovery under evaluated assumptions, not a general security guarantee.",Ready after major patch,https://aclanthology.org/2025.acl-long.359/,yes
high,6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,load_bearing,Observer assumptions,,Record complete or reconstructable utterance graph and topology-control authority.,Ready after major patch,https://aclanthology.org/2025.acl-long.359/,yes
critical,7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,load_bearing,Primary category,,Change from attack to benchmark/evaluation.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/,yes
critical,7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,load_bearing,Scope relation,,Use claim-level screening; paper-level core_security overstates broad safety and reliability content.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/,yes
high,7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,load_bearing,Result wording,,Label 29.7% as a setting-specific relative performance decrease.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/,yes
high,8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,load_bearing,Primary failure,,"Use availability/resource boundedness, not behavioral infection, as the primary failure.",Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/,yes
high,8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,load_bearing,Metric denominator,,Record P-ASR explicitly as blocked agents over network population.,Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/,yes
medium,8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,load_bearing,Cross-paper comparison,,Do not compare P-ASR directly with harmful-output ASR.,Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/,yes
critical,9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,load_bearing,Primary category,,Change from attack to mixed security evaluation and attack/defense elicitation.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/,yes
high,9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,load_bearing,Metric coding,,Store each collusion and oversight metric separately.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/,yes
high,9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,load_bearing,Maturity wording,,Do not infer spontaneous real-world collusion prevalence or universal paraphrasing failure.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/,yes
medium,10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,load_bearing,Mechanism label,,Do not label the channel covert or the fragments false; the novelty is public composition of individually true fragments.,Ready after minor patch,https://aclanthology.org/2026.acl-long.270/,yes
medium,10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,load_bearing,Evidence locator,,"Tie ASR/downstream rates to Sec. 5; record the Sec. 5.5 Table 3 Full Model versus Single-Agent ablation and classify the effect as interaction-amplified rather than composition-induced.",Ready after minor patch,https://aclanthology.org/2026.acl-long.270/,yes
