change_type,work_key,title,previous_membership,proposed_membership,previous_contribution,proposed_contribution,reason_code,confidence,human_decision,human_notes
evaluation_scope_move,doi:10.2139/ssrn.6944801,Adversarial Consensus Verification for Reliable LLM agents in Financial Forensics: The Pave Interchange Benchmark,set2_emerging,set3_context,evaluation,evaluation,adversarial_verifier_is_benign_method_for_financial_correctness,high,approve,
evaluation_scope_move,doi:10.5281/zenodo.18902320,Algorithmic Cowardice: Cognitive Dissonance and Moral Conformity in Multi-Agent LLM Interactions,set2_emerging,set3_context,evaluation,evaluation,moral_conformity_and_cognitive_dissonance_not_concrete_security,high,reject,"Reject move to Set 3. Full text v1.0.0, Sections 2.4, 3.1, and 6.3 define an adversarial Influencer whose messages are passed directly to the Target. Retain set2_emerging/evaluation; evaluation remains the dominant contribution."
evaluation_scope_move,doi:10.52710/cfs.1067,"Autonomous Evaluation Architectures: Multi-Agent LLM Pipelines, Browser-Grounded Testing: Programmatic Alignment via DSPy, and Adversarial Robustness in Production Orchestration Systems",set1_core,set3_context,evaluation,evaluation,generic_pipeline_evaluation_and_alignment_not_mas_security_primary,high,approve,
evaluation_scope_move,doi:10.2139/ssrn.6420858,"Behavioral Drift in Multi-Agent LLM Systems: Emergent Failure Modes, Cascade Dynamics, and Measurement Challenges",set2_emerging,set3_context,evaluation,evaluation,longitudinal_behavioral_stability_not_concrete_security_property,high,approve,
evaluation_scope_move,doi:10.5281/zenodo.20844300,Beyond Individual Agent Monitoring: Empirical Evidence of Three Relational Failure Modes in LLM-Based Multi-Agent Systems,set2_emerging,set3_context,evaluation,evaluation,generic_relational_failure_modes_without_concrete_security_property,high,approve,
evaluation_scope_move,doi:10.5281/zenodo.20174515,Chain-Centric Multi-Agent Framework: Layer-Separated LLM Collaboration Without Subjective Confidence Evaluation,set2_emerging,set3_context,evaluation,evaluation,generic_collaboration_architecture_and_confidence_evaluation,high,approve,
evaluation_scope_move,doi:10.5281/zenodo.21314249,Containing the Cascade: A Benchmark and Reference Mediator for Failure Propagation in Tool-Using LLM Multi-Agent Systems,set2_emerging,set3_context,evaluation,evaluation,failure_propagation_benchmark_without_explicit_security_threat,high,reject,"Reject both previous and proposed placement. DataCite records the DOI as created and registered on 2026-07-11, after the 2026-07-01 00:00 UTC cutoff. Zenodo reports deletion on 2026-07-22 for copyright. Route to post-cutoff provenance and exclude from the frozen Set 1/2/3 denominator; canonical full text is unavailable."
evaluation_scope_move,arxiv:2410.04663,"Debate, Deliberate, Decide (D3): A Cost-Aware Adversarial Framework for Reliable and Interpretable LLM Evaluation",set1_core,set3_context,evaluation,evaluation,adversarial_debate_is_evaluation_method_not_security_threat,high,approve,
evaluation_scope_move,arxiv:2606.28456,Is Lying an Emergent Behaviour in LLMs? Evidence from Gaslighting AI agents in a Sustainability Game,set2_emerging,set3_context,evaluation,evaluation,emergent_lying_behavior_study_without_explicit_security_threat,high,approve,
evaluation_scope_move,doi:10.1109/jiot.2026.3697293,Multi-AI Agent Oriented Privacy Policy Compliance Checking Based on Large Language Models in Mobile IoT Systems,set1_core,set3_context,evaluation,evaluation,mas_is_tool_for_external_privacy_compliance_checking,high,approve,
