artifact_id,artifact_name,artifact_type,canonical_paper_id,paper_title,primary_category,note_path,evaluation_focus,unit,denominator,metrics,availability_url,publication_status,notes
artifact_tamas,TAMAS,benchmark and dataset,kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,evaluations,papers/evaluations/acl/2026_kavathekar_tamas.md,adversarial MAS robustness,instance; task; run,adversarial instances; harmless tasks; runs,ASR; task success; ERS,https://github.com/microsoft/TAMAS,ACL 2026,Evaluation-primary canonical record.
artifact_aciarena,ACIARena,benchmark framework,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,evaluations,papers/evaluations/acl/2026_an_aciarena.md,cascading injection robustness,test case; attack surface; objective,test cases; systems; runs,BU; ASR; DS; propagation success,https://aclanthology.org/2026.acl-long.457/,ACL 2026,Evaluation-primary canonical record.
artifact_risklab,RiskLab,toolkit and benchmark framework,jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,evaluations,papers/evaluations/acl_demo/2026_jiang_risklab.md,emergent risk probes,trajectory; scenario; run,scenario runs; traces,risk-specific trajectory metrics,https://github.com/HowieHwong/RiskLab,ACL 2026 demo,Evaluation-primary canonical record.
artifact_multimodal_social,SocialMetrics dataset and simulation,dataset,gonzalez2026multimodalsafety,"Multimodal Safety Evaluation in Generative Agent Social Simulations",evaluations,papers/evaluations/acl/2026_gonzalez_multimodal_safety.md,multimodal social safety,plan; action; step,plans; simulation steps,plan revision; unsafe action acceptance,https://aclanthology.org/2026.acl-long.1915/,ACL 2026,Evaluation-primary canonical record.
artifact_liecraft,LieCraft,hidden-role benchmark,olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,evaluations,papers/evaluations/aaai/2026_olson_liecraft.md,deception and detection,game; player; role,game episodes; players,defection; deception; accusation; TrueSkill,https://github.com/LieCraftGame/LieCraft,AAAI 2026,Evaluation-primary canonical record; formal title supersedes the preprint title.
artifact_agentleak,AgentLeak,privacy benchmark,elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,evaluations,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md,internal-channel privacy leakage,scenario; trace; channel,scenarios; traces; sensitive items,ELR; WLS; CLR; ASR,https://arxiv.org/abs/2602.11510,IEEE Access 2026,Evaluation-primary canonical record.
artifact_pear,PEAR,planner-executor benchmark,dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,evaluations,papers/evaluations/findings_eacl/2026_dong_pear.md,role-position robustness,task; attacked role,task runs; role conditions,utility; robustness,https://aclanthology.org/2026.findings-eacl.237/,Findings EACL 2026,Formal version canonical; withdrawn arXiv excluded.
artifact_amongus_aamas,Among Us deception evaluation,benchmark,milkowski2026amongus,"Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us",evaluations,papers/evaluations/aamas/2026_milkowski_among_us.md,deception and communication,game; speech act; outcome,games; tokens; episodes,win rate; deception; detection,https://doi.org/10.65109/FRXL8789,AAMAS 2026,Evaluation-primary canonical record.
artifact_magpie,MAGPIE,contextual privacy benchmark,juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,evaluations,papers/evaluations/neurips_workshop/2025_juneja_magpie.md,role-relative privacy,task; sensitive item,tasks; sensitive items,leakage percentage,https://nips.cc/virtual/2025/workshop/127834,NeurIPS ResponsibleFM Workshop 2025,Current workshop version canonical; older arXiv merged.
artifact_masfire,MAS-FIRE,fault-injection framework,jia2026masfire,MAS-FIRE: Fault Injection and Reliability Evaluation for LLM-Based Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_jia_mas_fire.md,semantic fault propagation,run; fault; trace,runs; fault injections,propagation; masking; recovery,https://arxiv.org/abs/2602.19843,arXiv v1,No verified archival venue.
