paper_id,title,primary_url,bridge_source,bridge_reason
amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,https://aclanthology.org/2024.findings-emnlp.407/,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
peigne2025security_tax,Multi-Agent Security Tax: Trading Off Security and Collaboration Capabilities in Multi-Agent Systems,https://ojs.aaai.org/index.php/AAAI/article/view/34970,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,https://aclanthology.org/2025.ijcnlp-long.34/,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,https://doi.org/10.1145/3719027.3765196,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
zhou2026hierarchical_attacks,Hierarchical Attacks for Multi-Modal Multi-Agent Reasoning,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_Hierarchical_Attacks_for_Multi-Modal_Multi-Agent_Reasoning_CVPR_2026_paper.html,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,https://ojs.aaai.org/index.php/AAAI/article/view/40380,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
huang2025faulty_agents,On the Resilience of LLM-Based Multi-Agent Collaboration with Faulty Agents,https://proceedings.mlr.press/v267/huang25ay.html,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
hagag2026architecture_matters,Architecture Matters for Multi-Agent Security,https://icml.cc/virtual/2026/poster/64792,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
ren2026financial_fraud,When AI Agents Collude Online: Financial Fraud Risks by Collaborative LLM Agents on Social Platforms,https://openreview.net/pdf/0319815fc31bf769beeb29104637feb4c664902c.pdf,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
yu2025codes,LLM-based Multi-Agents System Attack via Continuous Optimization with Discrete Efficient Search,https://openreview.net/forum?id=ED5diyzc1C,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,https://arxiv.org/abs/2311.11855,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,https://arxiv.org/abs/2402.14859,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
cai2026grmp,Graph Representation-Based Model Poisoning on the Heterogeneous Internet of Agents,https://doi.org/10.1109/IWCMC69287.2026.11579822,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
zhao2026parasites,Parasites in the Toolchain: A Large-Scale Analysis of Attacks on the MCP Ecosystem,https://arxiv.org/abs/2509.06572,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
huang2026mcpthreatmodel,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,https://www.mdpi.com/2624-800X/6/3/84,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
xiao2026sgoatmas,You Don't Have to Be the One Doing Evil! Locate a Scapegoat within Multi-Agent Systems for Executing Covert Attacks,https://openreview.net/forum?id=CIRI47rmLQ,repository-prior-corpus,No DOI arXiv-ID or normalized-title binding was produced by the imported ledger.
