work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,evidence_set,strict_scope_pass,scope_reason,peer_reviewed,peer_review_basis,frozen_citation_count,citation_count_source,citation_count_field,citation_snapshot_date,maturity_rule_pass,dominant_contribution,interaction_interfaces,risk_or_property,interaction_dependence,emerging_direction,citation_role,paper_section,evidence_basis,evidence_locator,source_files,decision_reason,previous_decision,previous_category,reviewer,reviewed_at,author_signoff_required,taxonomy_ready,membership_reason
tian2023evil_geniuses,tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,2023-01-01,2023,arXiv,,2311.11855,https://arxiv.org/abs/2311.11855,set3_context,no,"MAS-security scope not established: missing multiple agents, material inter-agent interaction path.",no,explicit metadata,125,Semantic Scholar,s2_citations,2026-08-17,yes,attack,,,,,single_agent_baseline,"Scope, Attacks, and Defenses",abstract,full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2311.11855 | corpus/review_queue.csv:paper_section=Overview and Related Work | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2311.11855,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-14/fast_enriched_14.jsonl.gz,"MAS-security scope not established: missing multiple agents, material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,attack,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
arxiv:2310.00322,,Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games.,2023-01-01,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2026.3694367,2310.00322,https://doi.org/10.1109/tpami.2026.3694367,set3_context,no,MAS-security scope not established: missing material inter-agent interaction path.,yes,explicit metadata,0,OpenAlex,openalex_citations,2026-08-17,yes,general,,,,,measurement_context,Evaluation,abstract,full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2310.00322 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2310.00322,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-8/fast_enriched_8.jsonl.gz,"MAS-security scope not established: missing material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,general,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
arxiv:2310.10844,,Survey of Vulnerabilities in Large Language Models Revealed by Adversarial Attacks,2023-01-01,2023,arXiv.org,,2310.10844,,set3_context,no,Frozen source review kept the work outside the MAS-security corpus for a reason other than the former interaction-dependence gate.,no,explicit metadata,286,Semantic Scholar,s2_citations,2026-08-17,yes,survey,,,,,related_work,Overview and Related Work,full_text,blocked-source-review/blocked-source-resolution-3/resolved_3.jsonl:pdf_url=https://arxiv.org/pdf/2310.10844 | full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2310.10844 | corpus/review_queue.csv:paper_section=Overview and Related Work | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-3/resolved_3.jsonl:pdf_url=https://arxiv.org/pdf/2310.10844 | full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2310.10844,blocked-source-review/blocked-source-resolution-3/resolved_3.jsonl ; corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-1/full_review_enriched_1.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-9/fast_enriched_9.jsonl.gz,"Frozen source review kept the work outside the MAS-security corpus for a reason other than the former interaction-dependence gate. Retained only for background, comparison, or methodological context.",secondary,survey,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
doi:10.23919/softcom62040.2024.10721684,,A Multi-Agent Architecture for Privacy-Preserving Natural Language Interaction with FHIR-Based Electronic Health Records,2024-01-01,2024,,10.23919/softcom62040.2024.10721684,,,set3_context,no,MAS-security scope not established: missing material inter-agent interaction path.,yes,explicit metadata,6,OpenAlex,openalex_citations,2026-08-17,yes,defense,,,,,defense_analogy,Defenses,abstract,corpus/review_queue.csv:paper_section=Defenses,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-3/full_review_enriched_3.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-11/fast_enriched_11.jsonl.gz,"MAS-security scope not established: missing material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,defense,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
arxiv:2406.05651,,A Superalignment Framework in Autonomous Driving with Large Language Models,2024-01-01,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55156.2024.10588403,2406.05651,https://dblp.org/rec/conf/ivs/KongBFW24,set3_context,no,MAS-security scope not established: missing material inter-agent interaction path.,yes,explicit metadata,15,OpenAlex,openalex_citations,2026-08-17,yes,general,,,,,deployment_evidence,Introduction and Threat Model,abstract,full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2406.05651 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2406.05651,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-0/fast_enriched_0.jsonl.gz,"MAS-security scope not established: missing material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,general,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
deng2025agentsunderthreat,deng2025agentsunderthreat,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,2024-01-01,2024,ACM Computing Surveys,10.1145/3716628,,https://doi.org/10.1145/3716628,set3_context,no,"MAS-security scope not established: missing LLM-backed agents, multiple agents, material inter-agent interaction path.",yes,explicit metadata,167,OpenAlex,openalex_citations,2026-08-17,yes,survey,,,,,related_work,Overview and Related Work,abstract,corpus/review_queue.csv:paper_section=Overview and Related Work,blocked-source-review/blocked-source-resolution-4/resolved_4.jsonl ; corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-4/full_review_enriched_4.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-4/fast_enriched_4.jsonl.gz,"MAS-security scope not established: missing LLM-backed agents, multiple agents, material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,survey,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
arxiv:2405.18111,,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,2024-01-01,2024,EMNLP MAIN,10.18653/v1/2024.emnlp-main.610,2405.18111,https://doi.org/10.18653/v1/2024.emnlp-main.610,set3_context,no,MAS-security scope not established: missing material inter-agent interaction path.,yes,explicit metadata,9,OpenAlex,openalex_citations,2026-08-17,yes,attack,,,,,related_work,Overview and Related Work,abstract,full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2405.18111 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2405.18111,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-15/fast_enriched_15.jsonl.gz,"MAS-security scope not established: missing material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,attack,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
arxiv:2501.10385,,Autonomous Microscopy Experiments through Large Language Model Agents,2024-01-01,2024,arXiv.org,,2501.10385,https://www.semanticscholar.org/paper/04dfe87495b6df0d1ed805deabefc9a8f0c9a06a,set3_context,no,"MAS-security scope not established: missing security/safety/trust property, material inter-agent interaction path.",no,explicit metadata,8,Semantic Scholar,s2_citations,2026-08-17,no,general,,,,,measurement_context,Evaluation,abstract,full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2501.10385 | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2501.10385,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-7/full_review_enriched_7.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-15/fast_enriched_15.jsonl.gz,"MAS-security scope not established: missing security/safety/trust property, material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,general,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
doi:10.1007/978-981-92-1468-6_3,,"Beyond Single AI: The Rise of Multi-Agent Orchestration A Survey on Bias, Privacy, Robustness, and Interpretability",2024-01-01,2024,Lecture notes in computer science,10.1007/978-981-92-1468-6_3,,,set3_context,no,"MAS-security scope not established: missing LLM-backed agents, material inter-agent interaction path.",yes,explicit metadata,0,OpenAlex,openalex_citations,2026-08-17,yes,survey,,,,,related_work,Overview and Related Work,full_text,blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://proceedings.neurips.cc/paper_files/paper/2024/file/fa54b0edce5eef0bb07654e8ee800cb4-Paper-Conference.pdf | corpus/review_queue.csv:paper_section=Overview and Related Work | corpus/review_queue.csv:evidence_locator=blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl:pdf_url=https://proceedings.neurips.cc/paper_files/paper/2024/file/fa54b0edce5eef0bb07654e8ee800cb4-Paper-Conference.pdf,blocked-source-review/blocked-source-resolution-5/resolved_5.jsonl ; corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-0/full_review_enriched_0.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-0/fast_enriched_0.jsonl.gz,"MAS-security scope not established: missing LLM-backed agents, material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,survey,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
zhang2025breaking_agents,zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024-01-01,2024,EMNLP,10.18653/v1/2025.emnlp-main.1771,2407.20859,https://aclanthology.org/2025.emnlp-main.1771/,set3_context,no,MAS-security scope not established: missing material inter-agent interaction path.,yes,explicit metadata,9,OpenAlex,openalex_citations,2026-08-17,yes,attack,,,,,agentic_security_context,Introduction and Related Work,abstract,full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2407.20859 | corpus/review_queue.csv:paper_section=Methodology and Limitations | corpus/review_queue.csv:evidence_locator=full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz:pdf_url_used=https://arxiv.org/pdf/2407.20859,corpus/review_queue.csv ; full-source-review/full-corpus-review-enrichment-6/full_review_enriched_6.jsonl.gz ; metadata-review/fast-corpus-review-enrichment-6/fast_enriched_6.jsonl.gz,"MAS-security scope not established: missing material inter-agent interaction path. Retained only for background, comparison, or methodological context.",secondary,attack,"OpenAI GPT-5.6 Pro, model-assisted source review",2026-08-17,yes,no,Outside the MAS-security corpus; retained for contextual citation use.
