search_family,query,source,candidate_title,primary_url,publication_status,decision,reason,canonical_paper_id,checked_date
denial_of_service,"multi-agent LLM denial of service resource exhaustion",systematic screening ledger,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,https://aclanthology.org/2026.findings-acl.342/,peer_reviewed,included_existing,Interaction-native recursive blocking attack,zhou2026corba,2026-08-06
denial_of_service,"multi-agent LLM denial of service resource exhaustion",systematic screening ledger,From Shield to Target: Denial-of-Service Attacks on LLM-Based Agent Guardrails,https://arxiv.org/abs/2606.14517,arxiv_only,included_security_relevant,Primitive is general but shared guardrail contention amplifies it across agents,zhou2026shield_target,2026-08-06
denial_of_service,"multi-agent LLM denial of service resource exhaustion",systematic screening ledger,SHIELD: Multi-Agent Defense Against Resource Exhaustion Attacks on LLM Systems,https://arxiv.org/abs/2601.19174,arxiv_only,excluded_not_attack_target,Multiple agents form the defense while the protected target is a single LLM service,,2026-08-06
denial_of_service,"multi-agent LLM denial of service resource exhaustion",systematic screening ledger,Sponge Tool Attack: Backdoor Attack on Tool-Augmented LLMs,https://arxiv.org/abs/2601.17566,arxiv_only,excluded_no_multiagent_dependency,Attack does not require interacting LLM-agent cores,,2026-08-06
goal_drift,"multi-agent LLM collective goal drift alignment drift",systematic screening ledger,Alignment Tipping Process: How Self-Evolution Pushes LLM Agents Off the Rails,https://arxiv.org/abs/2510.04860,arxiv_only,included_security_relevant,Multi-agent diffusion experiment is interaction-dependent but paper also studies single-agent drift,han2025alignment_tipping,2026-08-06
goal_drift,"multi-agent LLM collective goal drift alignment drift",systematic screening ledger,ValueFlow: Measuring the Propagation of Value Perturbations in Multi-Agent LLM Systems,https://arxiv.org/abs/2602.08567,arxiv_only,included_evaluation_primary,Controlled perturbation framework measures propagation rather than a deployment attack,liu2026valueflow,2026-08-06
goal_drift,"multi-agent LLM collective goal drift alignment drift",systematic screening ledger,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,https://arxiv.org/abs/2601.04170,arxiv_only,excluded_projected_simulation,Reported prevalence and mitigation results are synthetic projections rather than executed LLM-agent experiments,,2026-08-06
shared_memory_poisoning,"multi-agent LLM shared memory poisoning tampering function library",systematic screening ledger,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,https://arxiv.org/abs/2509.24408,arxiv_only,included,Corrupted shared function metadata propagates through an LLM-agent pipeline,long2025funcpoison,2026-08-06
shared_memory_poisoning,"multi-agent LLM shared memory poisoning tampering function library",systematic screening ledger,OMNI-LEAK: Orchestrator Multi-Agent Network Induced Data Leakage,https://arxiv.org/abs/2602.13477,arxiv_only,included,Indirect injection composes multiple agents' distinct authorities to exfiltrate data,naik2026omni_leak,2026-08-06
shared_memory_poisoning,"multi-agent LLM shared memory poisoning tampering function library",systematic screening ledger,Bilevel Optimization for Covert Memory Tampering in Heterogeneous Multi-Agent Architectures (XAMT),https://arxiv.org/abs/2512.15790,arxiv_only,excluded_no_demonstrated_llm_mas,LLM-MAS component is a formalization with proposed experimental protocols rather than demonstrated interacting-agent evidence,,2026-08-06
identity_sybil,"multi-agent LLM Sybil identity spoofing membership attack",arXiv; DBLP; conference proceedings,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,https://openreview.net/pdf?id=LfdFnakqGJ,peer_reviewed,included_existing_evaluation,Contains identity and protocol-security evaluation but is evaluation-primary,li2026a2asecbench,2026-08-10
identity_sybil,"multi-agent LLM Sybil identity spoofing membership attack",arXiv; DBLP; conference proceedings,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,https://arxiv.org/abs/2508.01332,arxiv_only,included_existing_defense,Identity binding is defense-primary rather than an attack study,zou2025blocka2a,2026-08-06
identity_sybil,"multi-agent LLM Sybil identity spoofing membership attack",arXiv; DBLP; conference proceedings,, ,none,no_eligible_attack_primary_found,No pre-cutoff attack-primary paper with a demonstrated LLM-MAS Sybil or identity-minting attack was verified in the bounded search,,2026-08-06
