work_key,title,action,previous_membership,human_scope_decision,adjudicated_membership,previous_contribution,human_contribution_decision,adjudicated_contribution,canonical_work_key,reviewer,reviewed_at,decision_scope,source_evidence_verified,adjudication_note
doi:10.2139/ssrn.6884338,Cognitive Guardrails in Medical LLMs: Fusing Latent Routing with T-Adaptive Attention to Mitigate Aleatoric and Epistemic Uncertainty,merge_duplicate,set2_emerging,,removed_duplicate,defense,,defense,doi:10.2139/ssrn.6996678,expiol,2026-08-21,canonical_identity_only,no,Duplicate DOI identity removed from the canonical denominator and mapped to the retained SSRN DOI. This does not assert source evidence verification.
doi:10.47392/irjaeh.2026.0548,Multi-Agent Semantic Drift Detection and Self-Correction in Cybersecurity LLM Pipelines,membership_signoff,set1_core,move_set3,set3_context,defense,,defense,doi:10.47392/irjaeh.2026.0548,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.5281/zenodo.19844471,Accountable Multi-Agent AI Systems: Orchestration Frameworks for Enterprise Workflow Automation with Human-in-the-Loop Verification,membership_signoff,set2_emerging,move_set3,set3_context,defense,,defense,doi:10.5281/zenodo.19844471,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.2139/ssrn.6892378,Business Insider: A Multi-agent Knowledge Graph Architecture for Corporate Control Inference and Strategic Vulnerability Analysis across Regulatory Jurisdictions,membership_signoff,set2_emerging,move_set3,set3_context,attack,,attack,doi:10.2139/ssrn.6892378,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.5281/zenodo.20162877,Protocol-Layer Governance for LLM Agents: Identity-Bound Oversight with Zero-Modification Deployment and Multi-Hop Authority Propagation,membership_signoff,set2_emerging,move_set3,set3_context,defense,,defense,doi:10.5281/zenodo.20162877,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.5281/zenodo.20678936,Switchboard: An Attention-Budgeted Human-in-the-Loop Interrupt Router for Multi-Agent Systems,membership_signoff,set2_emerging,move_set3,set3_context,defense,,defense,doi:10.5281/zenodo.20678936,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.2139/ssrn.6996678,Cognitive Guardrails in Medical LLMs: Fusing Latent Routing with T-Adaptive Attention to Mitigate Aleatoric and Epistemic Uncertainty,membership_signoff,set2_emerging,exclude,screened_out,defense,,defense,doi:10.2139/ssrn.6996678,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.5281/zenodo.20819298,Human-Aware Multi-Agent Orchestration Through Adversarial Cognitive Load Modeling,membership_signoff,set2_emerging,exclude,screened_out,attack,,attack,doi:10.5281/zenodo.20819298,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.17605/osf.io/3fxqn,Infodeme: Structural Determinants of Misinformation Propagation in LLM Agent Societies,membership_signoff,set2_emerging,exclude,screened_out,evaluation,,evaluation,doi:10.17605/osf.io/3fxqn,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.2139/ssrn.6253390,Market-Consistent and Secure Demand Response in Storage-Rich Integrated Energy Systems Under Uncertainty and Hybrid Cyberattacks: A Large Language Model-Guided Multi-Agent Deep Reinforcement Learning Approach,membership_signoff,set2_emerging,exclude,screened_out,defense,,defense,doi:10.2139/ssrn.6253390,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
doi:10.33767/osf.io/sjtp2_v1,The Spiral of Attention: How Disruptive Agents Centralize Multi-Agent AI Deliberation Networks,membership_signoff,set2_emerging,exclude,screened_out,attack,,attack,doi:10.33767/osf.io/sjtp2_v1,expiol,2026-08-21,membership_only,no,Named human secondary membership confirmation; dominant contribution retained. This does not assert source evidence verification.
