sok_id,title,authors,year,venue,doi,primary_url,open_access_url,bibtex_key,relation_level,multiagent_security_centrality,publication_status,cutoff_status,in_final_201,final_paper_path
kim2026agenticai,SoK: Attack and Defense Landscape of Agentic AI Systems,Juhee Kim; Wenbo Guo; Dawn Song,2026,USENIX Security 2026,,https://www.usenix.org/conference/usenixsecurity26/presentation/kim-juhee-agentic,https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_kim-juhee-agentic.pdf,kim2026agenticai,strongly_related,Closest accepted agentic security SoK and a key comparator for separating component centered agent security from interaction centered MAS security.,peer_reviewed,pre_cutoff,no,
schroederdewitt2025openchallenges,Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents,Christian Schroeder de Witt et al.,2025,arXiv:2505.02077,10.48550/arXiv.2505.02077,https://arxiv.org/abs/2505.02077,https://arxiv.org/pdf/2505.02077,schroederdewitt2025openchallenges,direct,Directly frames multi agent security around collusion propagation observability containment attribution and systemic risk.,non_peer_or_unverified,pre_cutoff,no,
ko2026sevenchallenges,Seven Security Challenges in Cross-Domain Multi-Agent LLM Systems,Ronny Ko; Jiseong Chung; Shuyuan Zheng; Chuan Xiao; Tae-Wan Kim; Makoto Onizuka; Won-Yong Shin,2026,"npj Artificial Intelligence, Perspective",10.1038/s44387-026-00128-9,https://doi.org/10.1038/s44387-026-00128-9,https://www.nature.com/articles/s44387-026-00128-9.pdf,ko2026sevenchallenges,direct,Direct MAS security perspective covering seven challenges plausible attacks metrics and research directions.,peer_reviewed,pre_cutoff,yes,papers/surveys/journals_npj_artificial_intelligence/2026_ko_seven_challenges.md
raza2026trism,"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems",Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis,2026,"AI Open 7, pages 71-95",10.1016/j.aiopen.2026.02.006,https://doi.org/10.1016/j.aiopen.2026.02.006,https://arxiv.org/pdf/2506.04133,raza2026trism,direct,MAS primary review with broader governance and trust management coverage.,peer_reviewed,pre_cutoff,yes,papers/surveys/journals_ai_open/2026_raza_trism.md
nguyen2026securityconsiderations,Security Considerations for Multi-agent Systems,Tam Nguyen; Moses Ndebugre; Dheeraj Arremsetty,2026,arXiv:2603.09002,,https://arxiv.org/abs/2603.09002,https://arxiv.org/abs/2603.09002,nguyen2026securityconsiderations,direct,Direct MAS security comparator focused on framework coverage rather than corpus level attack defense and evaluation evidence.,non_peer_or_unverified,pre_cutoff,no,
shi2025trustauthorization,SoK: Trust-Authorization Mismatch in LLM Agent Interactions,Guanquan Shi; Haohua Du; Zhiqiang Wang; Xiaoyu Liang; Weiwenpei Liu; Song Bian; Zhenyu Guan,2025,arXiv:2512.06914,,https://arxiv.org/abs/2512.06914,https://arxiv.org/abs/2512.06914,shi2025trustauthorization,direct,SoK style comparator with a focused trust and authorization lens rather than a comprehensive MAS security systematization.,non_peer_or_unverified,pre_cutoff,no,
sun2026unique_security,"A Survey on the Unique Security of Autonomous and Collaborative LLM Agents: Threats, Defenses, and Futures",Yinggang Sun; Haining Yu; Wei Jiang; Xiangzhan Yu; Dongyang Zhan; Lixu Wang; Siyue Ren; Yue Sun; Tianqing Zhu,2026,Preprints.org 202602.1655 v2,,https://www.preprints.org/manuscript/202602.1655/v2,https://www.preprints.org/manuscript/202602.1655/v2,sun2026unique_security,strongly_related,Explicit collaboration attack branch and benchmark comparison within a broader agent security survey.,non_peer_or_unverified,pre_cutoff,yes,papers/surveys/preprints_org/2026_sun_a_survey_on_the_unique_security_of_autonomous_an.md
mcp_sok_2025,Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem,Shiva Gaire; Srijan Gyawali; Saroj Mishra; Suman Niroula; Dilip Thakur; Umesh Yadav,2025,arXiv:2512.08290,,https://arxiv.org/abs/2512.08290,https://arxiv.org/abs/2512.08290,mcp_sok_2025,strongly_related,Protocol and infrastructure comparator whose scope is broader than strict multi agent interaction.,non_peer_or_unverified,pre_cutoff,no,
dehghantanha2026attack_surface,"SoK: The Attack Surface of Agentic AI -- Tools, and Autonomy",Ali Dehghantanha; Sajad Homayoun,2026,arXiv:2603.22928,,https://arxiv.org/abs/2603.22928,https://arxiv.org/abs/2603.22928,dehghantanha2026attack_surface,strongly_related,Systems security comparator for agentic AI where multi agent interaction is not the primary analysis boundary.,non_peer_or_unverified,pre_cutoff,no,
chu2026layered,A Systematic Survey of Security Threats and Defenses in LLM-Based AI Agents: A Layered Attack Surface Framework,Kexin Chu,2026,arXiv:2604.23338,,https://arxiv.org/abs/2604.23338,https://arxiv.org/abs/2604.23338,chu2026layered,strongly_related,Broad agent security survey and coverage analysis with substantive MAS relevance.,non_peer_or_unverified,pre_cutoff,yes,papers/surveys/arxiv/2026_chu_a_systematic_survey_of_security_threats_and_defe.md
ling2026secure_agents,"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation",Yuchen Ling; Shengcheng Yu; Zhenyu Chen; Chunrong Fang,2026,arXiv:2606.10749,,https://arxiv.org/abs/2606.10749,https://arxiv.org/abs/2606.10749,ling2026secure_agents,strongly_related,Broad auditable agent security review whose unit remains the general LLM agent lifecycle rather than MAS interaction structure.,non_peer_or_unverified,pre_cutoff,no,
yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Miao Yu; Fanci Meng; Xinyun Zhou; Shilong Wang; Junyuan Mao; Linsey Pang; Tianlong Chen; Kun Wang; Xinfeng Li; Yongfeng Zhang; Bo An; Qingsong Wen,2025,KDD 2025,10.1145/3711896.3736561,https://doi.org/10.1145/3711896.3736561,https://arxiv.org/pdf/2503.09648,yu2025trustworthyagents,strongly_related,Includes MAS attacks defenses and evaluation within a broader trustworthy agent survey.,peer_reviewed,pre_cutoff,no,
deng2025agentsunderthreat,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,Zehang Deng; Yongjian Guo; Changzhou Han; Wanlun Ma; Junwu Xiong; Sheng Wen; Yang Xiang,2025,ACM Computing Surveys,10.1145/3716628,https://doi.org/10.1145/3716628,https://dl.acm.org/doi/pdf/10.1145/3716628,deng2025agentsunderthreat,strongly_related,Inherited risk comparator for separating single agent component attacks from interaction dependent failures.,peer_reviewed,pre_cutoff,no,
he2025emergedsecurity,The Emerged Security and Privacy of LLM Agent: A Survey with Case Studies,Feng He; Tianqing Zhu; Dayong Ye; Bo Liu; Wanlei Zhou; Philip S. Yu,2025,ACM Computing Surveys,10.1145/3773080,https://doi.org/10.1145/3773080,https://dl.acm.org/doi/pdf/10.1145/3773080,he2025emergedsecurity,strongly_related,Broader agent security comparator for inherited attack and defense coverage.,peer_reviewed,pre_cutoff,no,
