priority,paper_id,risk_family,review_focus,primary_url,note_path,metadata_precheck,evidence_locator_precheck,scope_precheck,human_review_status,reviewer,adjudication_note
1,gu2024agent_smith,propagation,Population and scaling claims,https://proceedings.mlr.press/v235/gu24e.html,papers/attacks/icml/2024_gu_agent_smith.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
2,motwani2024secret_collusion,collusion,Observer and covert-channel claims,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,papers/attacks/neurips/2024_motwani_secret_collusion.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
3,men2025troublemaker,propagation,Topology and propagation claims,https://aclanthology.org/2025.acl-long.859/,papers/attacks/acl/2025_men_troublemaker.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
4,cohen2025ai_worm,propagation,Zero-click path and impact claims,https://doi.org/10.1145/3719027.3765196,papers/attacks/ccs/2025_cohen_ai_worm.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
5,ju2026flooding,propagation,Persistence and manipulation claims,https://doi.org/10.1007/s11432-024-4663-2,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
6,wang2025gsafeguard,propagation,Topology attack and defense claims,https://aclanthology.org/2025.acl-long.359/,papers/attacks/acl/2025_wang_g_safeguard.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
7,yu2025netsafe,propagation,Topology and benchmark claims,https://aclanthology.org/2025.findings-acl.150/,papers/attacks/findings_acl/2025_yu_netsafe.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
8,zhou2026corba,availability,Recursive blocking and population metric claims,https://aclanthology.org/2026.findings-acl.342/,papers/attacks/findings_acl/2026_zhou_corba.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
9,mathew2025hidden,collusion,Emergence and mitigation claims,https://aclanthology.org/2025.ijcnlp-long.34/,papers/attacks/ijcnlp_aacl/2025_mathew_hidden_plain_text.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
10,hu2026lying_truths,collusion,Open-channel manipulation claims,https://aclanthology.org/2026.acl-long.270/,papers/attacks/acl/2026_hu_lying_truths.md,official_source_recorded,5_rows_present_not_human_verified,core_security,pending_human_review,,
11,huang2026whispering_agents,collusion,Protocol and covert-communication claims,https://ojs.aaai.org/index.php/AAAI/article/view/40380,papers/attacks/aaai/2026_huang_whispering_agents.md,official_source_recorded,5_rows_present_not_human_verified,core_security,pending_human_review,,
12,wang2026masleak,confidentiality,IP extraction and denominator claims,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,papers/attacks/usenix_security/2026_wang_masleak.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
13,liu2026topology_memory,confidentiality,Topology-conditioned leakage claims,https://aclanthology.org/2026.findings-acl.1980/,papers/attacks/findings_acl/2026_liu_topology_memory_leakage.md,official_source_recorded,5_rows_present_not_human_verified,core_security,pending_human_review,,
14,he2025communication_attacks,communication,Attacker position and tampering claims,https://aclanthology.org/2025.findings-acl.349/,papers/attacks/findings_acl/2025_he_communication_attacks.md,official_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,
15,liu2025collective_manipulation,decision_integrity,Single-member influence claims,https://aclanthology.org/2025.emnlp-main.611/,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md,official_source_recorded,5_rows_present_not_human_verified,core_security,pending_human_review,,
16,zheng2026byzantine_reliability,byzantine,Fault model and threshold claims,https://ojs.aaai.org/index.php/AAAI/article/view/40806,papers/attacks/aaai/2026_zheng_byzantine_reliability.md,official_source_recorded,5_rows_present_not_human_verified,core_security,pending_human_review,,
17,triedman2025malicious_code,control_flow,Execution path and mitigation claims,https://openreview.net/forum?id=DAozI4etUp,papers/attacks/colm/2025_triedman_malicious_code.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
18,arif2026conjunctive,compositional_authority,Fragment composition and impact claims,https://aclanthology.org/2026.acl-long.1577/,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
19,zhao2026parasites,protocol_toolchain,Supply-chain scope and prevalence claims,https://arxiv.org/abs/2509.06572,papers/attacks/ieee_security_privacy/2026_zhao_parasites_toolchain.md,accepted_source_recorded,4_rows_present_not_human_verified,core_security,pending_human_review,,Verify final IEEE proceedings metadata when available
20,li2026a2asecbench,identity_protocol,A2A lifecycle and benchmark claims,https://iclr.cc/virtual/2026/poster/10010017,papers/evaluations/iclr/2026_li_a2asecbench.md,official_source_recorded,3_rows_present_not_human_verified,core_security,pending_human_review,,
