priority,paper_id,risk_family,review_focus,primary_url,note_path,metadata_precheck,evidence_locator_precheck,scope_precheck,human_review_status,reviewer,adjudication_note
1,gu2024agent_smith,propagation,Population and scaling claims,https://proceedings.mlr.press/v235/gu24e.html,papers/attacks/icml/2024_gu_agent_smith.md,official_source_recorded,4_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
2,motwani2024secret_collusion,collusion,Observer and covert-channel claims,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,papers/attacks/neurips/2024_motwani_secret_collusion.md,official_source_recorded,4_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
3,men2025troublemaker,propagation,Topology and propagation claims,https://aclanthology.org/2025.acl-long.859/,papers/attacks/acl/2025_men_troublemaker.md,official_source_recorded,4_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
4,cohen2025ai_worm,propagation,Zero-click path and impact claims,https://doi.org/10.1145/3719027.3765196,papers/attacks/ccs/2025_cohen_ai_worm.md,official_source_recorded,3_rows_present_not_human_verified,security_relevant,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
5,ju2026flooding,propagation,Persistence and manipulation claims,https://doi.org/10.1007/s11432-024-4663-2,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md,official_source_recorded,3_rows_present_not_human_verified,core_security,blocked_pending_final_source,,Source review recorded 3 corrections; pending final source verification; author signoff required.
6,wang2025gsafeguard,propagation,Topology attack and defense claims,https://aclanthology.org/2025.acl-long.359/,papers/defenses/acl/2025_wang_g_safeguard.md,official_source_recorded,4_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
7,yu2025netsafe,propagation,Topology and benchmark claims,https://aclanthology.org/2025.findings-acl.150/,papers/evaluations/findings_acl/2025_yu_netsafe.md,official_source_recorded,4_rows_present_not_human_verified,security_relevant,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
8,zhou2026corba,availability,Recursive blocking and population metric claims,https://aclanthology.org/2026.findings-acl.342/,papers/attacks/findings_acl/2026_zhou_corba.md,official_source_recorded,3_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after minor patch; author signoff required.
9,mathew2025hidden,collusion,Emergence and mitigation claims,https://aclanthology.org/2025.ijcnlp-long.34/,papers/evaluations/ijcnlp_aacl/2025_mathew_hidden_plain_text.md,official_source_recorded,3_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 3 corrections; ready after major patch; author signoff required.
10,hu2026lying_truths,collusion,Open-channel manipulation claims,https://aclanthology.org/2026.acl-long.270/,papers/attacks/acl/2026_hu_lying_truths.md,official_source_recorded,5_rows_present_not_human_verified,core_security,source_reviewed_pending_author_signoff,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
