record_id,canonical_paper_id,title,publication_date,venue,doi,arxiv_id,publication_status,venue_type,citations,citation_snapshot_date,candidate_basis,source_review_status,recommended_scope,gate_decision,decision_reason
arxiv:2401.11880,zhang2024psysafe,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",2024-01-22,ACL,10.18653/v1/2024.acl-long.812,2401.11880,peer_reviewed,conference,96,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
arxiv:2402.08567,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024-02-13,ICML,arxiv:2402.08567,2402.08567,peer_reviewed,conference,153,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2407.09897,,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2024-07-13,arXiv.org,arxiv:2407.09897,2407.09897,non_peer_or_unverified,,13,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2407.12532,,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2024-07-17,arXiv.org,arxiv:2407.12532,2407.12532,non_peer_or_unverified,,13,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2410.02506,,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2024-10-03,International Conference on Learning Representations,arxiv:2410.02506,2410.02506,peer_reviewed,conference,121,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2410.14596,,Teaching Models to Balance Resisting and Accepting Persuasion,2024-10-18,North American Chapter of the Association for Computational Linguistics,arxiv:2410.14596,2410.14596,peer_reviewed,conference,19,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2410.22932,,Multi-Agent Large Language Models for Conversational Task-Solving,2024-10-30,arXiv.org,arxiv:2410.22932,2410.22932,non_peer_or_unverified,,31,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2412.11014,,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2024-12-15,,arxiv:2412.11014,2412.11014,non_peer_or_unverified,,11,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2501.07811,,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,arXiv.org,arxiv:2501.07811,2501.07811,non_peer_or_unverified,,37,2026-08-06,non_peer_citations_gt_10,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
arxiv:2502.00757,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025-02-02,NeurIPS,arxiv:2502.00757,2502.00757,peer_reviewed,conference,8,2026-08-06,peer_reviewed_backbone,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,Source review recommends paper-level security-relevant scope.
arxiv:2502.11127,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,2025-02-16,ACL,10.18653/v1/2025.acl-long.359,2502.11127,peer_reviewed,conference,54,2026-08-06,peer_reviewed_backbone,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,Source review recommends core security; named human signoff remains required.
arxiv:2502.16242,,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2025-02-22,Trans. Mach. Learn. Res.,arxiv:2502.16242,2502.16242,peer_reviewed,journal,3,2026-08-06,peer_reviewed_backbone,not_source_reviewed,pending,pending_full_text_adjudication,Candidate rule passed; uniform full-text security gate not yet applied.
