work_key,title,year,review_bucket,why_manual_review
arxiv:2310.00322,Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games.,2023,security-adjacent,Uses a multi-agent game for red teaming but the protected object appears to be model robustness rather than the MAS.
arxiv:2405.18111,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,2024,security-tooling,Multi-agent mechanism is used to harden an external RAG model; unclear whether MAS security is the protected property.
doi:10.1007/978-981-92-1468-6_3,"Beyond Single AI: The Rise of Multi-Agent Orchestration A Survey on Bias, Privacy, Robustness, and Interpretability",2024,broad-survey,Covers privacy/robustness in MAS but security is one theme in a broader orchestration survey.
zhang2025breaking_agents,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024,agentic-security,Security-relevant agent attack but historical review did not establish a material multi-agent interaction path.
supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,2024,interaction-adjacent,Relational persuasion behavior is relevant to collective integrity but the security boundary is not explicit.
arxiv:2511.17621,From Competition to Coordination: Market Making as a Scalable Framework for Safe and Aligned Multi-Agent LLM Systems,2025,safety/governance,Multi-agent safety/alignment but no concrete MAS security property in the historical adjudication.
doi:10.1109/caibda65784.2025.11182780,Continual Defense Against Evolving Jailbreaks: A Multi-Agent Adversarial Framework with Linear Gating MoE,2025,security-tooling,Multi-agent framework defends an LLM against jailbreaks; unclear whether the MAS itself is the security object.
doi:10.3390/app15073676,Minimizing Hallucinations and Communication Costs: Adversarial Debate and Voting Mechanisms in LLM-Based Multi-Agents,2025,reliability,Interaction and collective decision are central but the primary property is hallucination/reliability.
supp_reproducibility_study_of_cooperation_competition_and_maliciousness_llm_stakehold,"Reproducibility Study of Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2025,behavior/evaluation,Studies maliciousness and interaction but historical adjudication treats it as negotiation measurement rather than MAS security.
arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025,reliability/evaluation,Useful interaction counterfactual evidence but the headline property is task effectiveness rather than security.
doi:10.1145/3786335.3813181,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,2025,behavior/evaluation,Persuasion can inform attack mechanisms but the work does not define a MAS security property.
arxiv:2604.09746,CONSCIENTIA: Can LLM Agents Learn to Strategize? Emergent Deception and Trust in a Multi-Agent NYC Simulation,2026,trust/deception,Strongly relevant to deception/trust but the historical review did not establish a material security interaction path.
arxiv:2606.09084,Context-Fractured Decomposition Attacks on Tool-Using LLM Agents: Exploiting Artifact Provenance Gaps,2026,agentic-security,Source-to-sink provenance attack is highly relevant but multi-agent structure was not established in historical review.
doi:10.5281/zenodo.18261735,Differences in Alignment between Single-Agent and Multi-Agent LLM-Systems,2026,alignment/evaluation,Direct single-vs-multi comparison but the primary property is alignment rather than security.
doi:10.1145/3786335.3813173,Does Safety Molt? Evaluating LLM Safety in Multi-Agent Social Environments,2026,safety/evaluation,Direct multi-agent safety evaluation but historical scope did not establish a security-relevant interaction mechanism.
zhou2026shield_target,From Shield to Target: Denial-of-Service Attacks on LLM-Based Agent Guardrails,2026,agentic-security,DoS against agent guardrails is relevant to defense-plane failure but a multi-agent protected system was not established.
arxiv:2606.07937,Hallucination Cascade: Analyzing Error Propagation in Multi-Agent LLM Systems,2026,reliability/propagation,Excellent propagation analogue but the primary protected property is reliability rather than security.
arxiv:2601.04034,HoneyTrap: Deceiving Large Language Model Attackers to Honeypot Traps with Resilient Multi-Agent Defense,2026,security-tooling,Uses a multi-agent defense against external LLM attackers; unclear whether the MAS itself is the protected property.
arxiv:2602.04653,Inference-Time Backdoors via Chat Templates: From LLM Supply Chains to Agentic System Compromise,2026,agentic-security,Relevant compromise mechanism but multi-agent interaction is not established.
arxiv:2605.16746,State Contamination in Memory-Augmented LLM Agents,2026,agentic-security/state,Historical coding maps I2/I3/I4/I6 and propagation risk but the title/source does not clearly establish MAS scope.
doi:10.82419/404,Source Monitoring Failures in Noisy Multi-Agent LLM Systems,2026,reliability/provenance,Directly multi-agent and relevant to provenance but historical review found no security/safety/trust property.
weckbecker2026_thought_virus,Thought Virus: Viral Misalignment via Subliminal Prompting in Multi-Agent Systems,2026,safety/propagation,Strong interaction-dependent propagation analogue but the stated property is misalignment rather than concrete security.
doi:10.1109/ichora69329.2026.11537001,Zero-trust Conceptual Architecture for Secure Integration of Large Language Models and Autonomous AI Agents,2026,zero-trust/architecture,Security is explicit but a multi-agent system and material inter-agent path are not clearly established.
arxiv_2601_11893,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026,agentic-security/authorization,Highly relevant authorization defense but historical review did not establish a material multi-agent path.
arxiv:2606.19356,Trustworthy Multi-Agent Systems: Mitigating Semantic Drift with the Argent Signaling Protocol,2026,reliability/trust,Explicit MAS trust framing but historical review found no concrete security property.
arxiv:2606.30877,A Systematic Approach to Multi-Agent AI from Advanced Regulatory Control Theory: Safe and Auditable LLM Operator Agents for Process Control,2026,safety/audit,Multi-agent auditability is relevant but security/safety property was not established by the historical source review.
arxiv:2604.19752,Soft-Label Governance for Distributional Safety in Multi-Agent Systems,2026,safety/governance,Directly multi-agent safety governance but no concrete security property was established.
