work_key,title,evidence_set,dominant_contribution,note_depth,security_signal,weak_signal,has_threat_actor,has_attack_failure,has_defense,prelim_tier,paper_path
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,evaluation,detailed,malicious,,yes,yes,yes,strong_direct_signal,papers/evaluations/neurips/2024_abdelnabi_cooperation_competition_and_maliciousness_llm_st.md
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,detailed,attack;adversar;jailbreak;integrity;propagation,,no,no,no,strong_direct_signal,papers/attacks/acl/2025_men_troublemaker.md
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,set1_core,attack,detailed,jailbreak;compromis;propagation,,no,no,no,strong_direct_signal,papers/attacks/icml/2024_gu_agent_smith.md
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,defense,metadata_only,byzantine;integrity,robust,no,no,no,metadata_only_needs_source_check,papers/defenses/acm_turing_celebration/2024_blockagents_towards_byzantine_robust_llm_based_multi_agent_coordination.md
doi:10.1109/ijcnn60899.2024.10650172,CRDA: Content Risk Drift Assessment of Large Language Models through Adversarial Multi-Agent Interaction,set1_core,evaluation,metadata_only,adversar,drift,no,no,no,metadata_only_needs_source_check,papers/evaluations/ijcnn/2024_crda_content_risk_drift_assessment_of_large_language_models_through_adve.md
arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,set1_core,general,metadata_only,,,no,no,no,metadata_only_needs_source_check,papers/general/iclr/2024_cut_the_crap_an_economical_communication_pipeline_for_llm_based_multi_ag.md
ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,set1_core,attack,detailed,attack;integrity;injection;propagation,,no,no,no,strong_direct_signal,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md
arxiv:2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,set1_core,general,metadata_only,,,no,no,no,metadata_only_needs_source_check,papers/general/icml/2024_g_designer_architecting_multi_agent_communication_topologies_via_graph_n.md
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,set1_core,evaluation,detailed,attack;security;integrity;propagation,safety;hallucination,no,no,no,security_named_needs_source_check,papers/evaluations/findings_acl/2025_yu_netsafe.md
lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,set1_core,attack,detailed,attack;malicious;integrity;hijack;injection;propagation,,yes,yes,yes,strong_direct_signal,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,set1_core,attack,detailed,attack;leak;collusion;deception;confidential,,no,no,no,strong_direct_signal,papers/attacks/neurips/2024_motwani_secret_collusion.md
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,set1_core,attack,detailed,jailbreak;malicious;compromis;integrity;injection;propagation,,no,no,no,strong_direct_signal,papers/attacks/arxiv/2024_tan_wolf_within.md
arxiv:2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,set1_core,defense,metadata_only,attack;leak;injection,,no,no,no,metadata_only_needs_source_check,papers/defenses/ieee_international_wie_conference_on_electrical_and_computer_engineeri/2025_a_multi_agent_llm_defense_pipeline_against_prompt_injection_attacks.md
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,detailed,attack;security,,no,no,no,strong_direct_signal,papers/attacks/acl/2025_khan_agents_under_siege.md
supp_ai_agents_with_decentralized_identifiers_and_verifiable_credentials,AI Agents with Decentralized Identifiers and Verifiable Credentials,set1_core,defense,detailed,credential,,yes,yes,yes,strong_direct_signal,papers/defenses/icaart_2026/2026_garzon_ai_agents_with_decentralized_identifiers_and_ver.md
supp_atag_ai_agent_application_threat_assessment_with_attack_graphs,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,set1_core,evaluation,detailed,attack;threat;compromis,,yes,yes,yes,strong_direct_signal,papers/evaluations/acm_asiaccs/2026_gandhi_atag_ai_agent_application_threat_assessment_with.md
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,detailed,attack;threat;integrity;tamper;steal,,yes,yes,yes,strong_direct_signal,papers/attacks/aaai/2026_yan_attack_messages.md
nother2026badacts,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harmful Behaviors,set1_core,evaluation,detailed,attack;adversar;malicious;integrity,safety;robust,yes,yes,yes,strong_direct_signal,papers/evaluations/colm/2026_nother_bad_acts.md
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,defense,detailed,attack;malicious;compromis;integrity;propagation,,yes,yes,yes,strong_direct_signal,papers/defenses/acl/2026_miao_blindguard.md
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,defense,detailed,secure;authorization;tamper,,yes,yes,yes,strong_direct_signal,papers/defenses/arxiv/2025_zou_blocka2a.md
jha2026control_flow_hijacking,Breaking and Fixing Defenses Against Control-Flow Hijacking in Multi-Agent Systems,set1_core,defense,detailed,attack;leak;integrity;confidential;hijack,alignment,yes,yes,yes,strong_direct_signal,papers/defenses/iclr/2026_jha_control_flow_hijacking.md
liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,set1_core,attack,detailed,attack;adversar;malicious;compromis;integrity,,yes,yes,yes,strong_direct_signal,papers/attacks/emnlp/2025_liu_manipulate_collective_decisions.md
supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,set1_core,attack,detailed,,,yes,yes,yes,no_direct_security_signal,papers/attacks/acl_2025/2025_xu_comet_metaphor_driven_covert_communication_for_m.md
zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,set1_core,attack,detailed,attack;denial;propagation,,no,no,no,strong_direct_signal,papers/attacks/findings_acl/2026_zhou_corba.md
doi:10.1109/icca66035.2025.11430791,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,set1_core,defense,metadata_only,leak;injection;propagation,robust,no,no,no,metadata_only_needs_source_check,papers/defenses/international_conferences_on_computing_advancements/2025_cross_agent_multimodal_provenance_aware_framework_for_robust_prompt_inje.md
supp_decentralized_multi_agent_system_with_trust_aware_communication,Decentralized Multi-Agent System with Trust-Aware Communication,set1_core,defense,detailed,leak,,yes,yes,yes,strong_direct_signal,papers/defenses/ieee_ispa_2025/2025_ding_decentralized_multi_agent_system_with_trust_awar.md
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,set1_core,defense,detailed,malicious;threat;integrity;propagation,robust,yes,yes,yes,strong_direct_signal,papers/defenses/journals_chinese_journal_of_aeronautics/2026_hu_enhancing_robustness_of_llm_driven_multi_agent_s.md
pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,set1_core,defense,detailed,malicious;compromis,,yes,yes,yes,strong_direct_signal,papers/defenses/acl/2026_pan_xg_guard.md
arxiv:2509.11035,Free-MAD: Consensus-Free Multi-Agent Debate,set1_core,general,metadata_only,integrity;propagation,drift,no,no,no,metadata_only_needs_source_check,papers/general/findings_acl/2025_free_mad_consensus_free_multi_agent_debate.md
wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,set1_core,defense,detailed,attack;security;integrity;injection;propagation,,no,no,no,security_named_needs_source_check,papers/defenses/acl/2025_wang_g_safeguard.md
zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,set1_core,defense,detailed,adversar;propagation,,yes,yes,yes,strong_direct_signal,papers/defenses/neurips/2025_zhou_guardian.md
mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,set1_core,evaluation,detailed,collusion,,no,no,no,security_named_needs_source_check,papers/evaluations/ijcnlp_aacl/2025_mathew_hidden_plain_text.md
juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,set1_core,evaluation,detailed,privacy;leak,,yes,yes,yes,strong_direct_signal,papers/evaluations/neurips_workshop/2025_juneja_magpie.md
doi:10.1109/apsec66846.2025.00086,MAJD: Intent-Aware Multi-Agent Framework for Jailbreak Defense,set1_core,defense,metadata_only,jailbreak,,no,no,no,metadata_only_needs_source_check,papers/defenses/apsec/2025_majd_intent_aware_multi_agent_framework_for_jailbreak_defense.md
triedman2025malicious_code,Multi-Agent Systems Execute Arbitrary Malicious Code,set1_core,attack,detailed,attack;leak;malicious;compromis;authorization;hijack;injection;exploit,,no,no,no,strong_direct_signal,papers/attacks/colm/2025_triedman_malicious_code.md
