review_row,candidate_basis,record_id,title,publication_date,canonical_venue,publication_status,venue_type,citations,citation_snapshot_date,doi,arxiv_id,source_url,current_corpus_paper_id,current_corpus_primary_category,current_corpus_scope_relation,current_corpus_note_path,prior_source_review_status,prior_recommended_scope,prior_gate_decision,canonical_version_reviewed,full_text_read,gate_multiagent_boundary,gate_explicit_interaction,gate_direct_security_relevance,gate_interaction_dependence,gate_canonical_full_text_evidence,human_final_decision,human_primary_category,human_scope_relation,evidence_locations,decision_reason,reviewer,second_reviewer,review_date,adjudication_note,duplicate_of_record_id,human_signoff_complete
1,non_peer_citations_gte_10,arxiv:2508.07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025-08-11,arXiv.org,non_peer_or_unverified,,16,2026-08-06,arxiv:2508.07667,2508.07667,https://www.semanticscholar.org/paper/e62edf39a3c2a7ebaaa797f73934d39133940d2c,,,,,agent_unverified,core_security,provisional_pass_author_signoff_required,arXiv:2508.07667v3 (revised 2026-02-25; HTML full text),yes,yes,yes,yes,yes,yes,include,defense,core_security,Abstract; §3.1 Multi-agent Setting; §3.2 Information Flow Between Three Agents; §4.2 Information Propagation Metrics; §5.1–§5.2; Appendix D,"The extractor, checker, and executor are separately addressable agents whose information-flow topology is experimentally varied. Privacy leakage is the direct endpoint, and the paper shows that upstream extraction or checking errors propagate through inter-agent messages into downstream disclosure.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
2,current_canonical_corpus,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,2026,ICLR,peer_reviewed,,,,,,https://iclr.cc/virtual/2026/poster/10010017,li2026a2asecbench,evaluation,core_security,papers/evaluations/iclr/2026_li_a2asecbench.md,agent_unverified,,,"ICLR 2026 official program / OpenReview record LfdFnakqGJ; official project page and repository materials reviewed, final PDF blocked by OpenReview challenge",unclear,yes,yes,yes,yes,unclear,unclear,evaluation,core_security,"Official ICLR poster record; official project-page Abstract, Background, Threat Models, and Evaluation Framework; OpenReview record LfdFnakqGJ","The accessible official materials clearly describe client and remote A2A agents, six protocol-stage attacks, and CIA impacts that depend on discovery, task-state, request, and artifact exchange. However, the final OpenReview PDF was not retrievable, so exact full-text page/table locators could not be independently verified.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,"Escalate for manual retrieval of the final OpenReview PDF. On the substantive four gates this is a strong include, but gate 5 remains unresolved under the packet's strict full-text rule. A named human reviewer should verify the final PDF and then convert this row to include.",,no
3,current_canonical_corpus,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,2026,ACL,peer_reviewed,,,,10.18653/v1/2026.acl-long.457,,https://aclanthology.org/2026.acl-long.457/,an2026aciarena,evaluation,core_security,papers/evaluations/acl/2026_an_aciarena.md,agent_unverified,,,"ACL 2026 published version, DOI 10.18653/v1/2026.acl-long.457; full text cross-checked against arXiv:2604.07775v1",yes,yes,yes,yes,yes,yes,include,evaluation,core_security,"ACL 2026 pp. 10049–10066; arXiv §§3.1–3.2 (MAS and threat model), §§4.2–4.3 (attacks and benchmark suites), §§5.2–5.4","ACIARena evaluates cascading prompt injection in multi-agent systems with compromised agents and inter-agent message propagation. Hijacking, disruption, and information exfiltration are direct security outcomes whose existence and reach depend on the interaction graph.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
4,peer_reviewed_broad_inclusion,doi:10.48448/71d8-2j58,AgentAsk: Multi-Agent Systems Need to Ask,2026-06-03,Formal proceedings (10.48448 DOI),peer_reviewed,conference,,2026-08-06,10.48448/71d8-2j58,2510.07593,https://doi.org/10.48448/71d8-2j58,,,,,not_source_reviewed,pending,pending_full_text_adjudication,"AAMAS 2026 published version, DOI 10.48448/71d8-2j58",yes,yes,yes,no,no,yes,exclude,general,adjacent,"Abstract and Introduction (Fig. 1); §3 problem formulation; §4 AgentAsk, especially §4.3/Fig. 3; experimental sections","AgentAsk addresses ordinary data gaps, signal corruption, referential drift, and capability gaps by adding clarification requests. The measured endpoints are task accuracy, latency, and cost; the paper does not define an adversary, security property, attack, or security evaluation.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
5,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2502.00757,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025-02-02,NeurIPS,peer_reviewed,conference,8,2026-08-06,arxiv:2502.00757,2502.00757,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,rosser2025agentbreeder,defense,security_relevant,papers/defenses/neurips/2025_rosser_agentbreeder.md,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,NeurIPS 2025 published version; arXiv:2502.00757v4 full text,yes,yes,yes,yes,yes,yes,include,defense,core_security,Abstract; §1 Introduction and contributions; §4 AgentBreeder; §5.1 Blue-Team Defense; §5.2 Red-Team Attack; Fig. 2 and Table 2,"AgentBreeder directly searches over multi-agent scaffolds in red-team mode to expose adversarially weak interaction structures and in blue-team mode to improve safety. The security result depends on the composition and communication pattern of the agents, not merely on a single model.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
6,non_peer_citations_gte_10,arxiv:2601.04170,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026-01-07,arXiv.org,non_peer_or_unverified,,18,2026-08-06,arxiv:2601.04170,2601.04170,https://www.semanticscholar.org/paper/c102b44673da43a07443e3fc7ba2ac27f96800e4,,,,,agent_unverified,adjacent,adjacent_not_core,arXiv:2601.04170v1 (HTML full text),yes,yes,yes,no,no,yes,exclude,evaluation,adjacent,Abstract; §2 methodology and Agent Stability Index; §3 results; §4.2 deployment implications,"The work quantifies semantic, coordination, and behavioral drift in long-running multi-agent workflows. Its endpoints are task completion, consistency, and intervention burden, with no direct adversary, security contract, attack, defense, or security evaluation.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
7,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.1109/access.2026.3704541,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,2026-02-12,IEEE Access,peer_reviewed,journal,6,2026-08-06,10.1109/ACCESS.2026.3704541,2602.11510,https://doi.org/10.1109/ACCESS.2026.3704541,elyagoubi2026agentleak,evaluation,core_security,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,"IEEE Access 2026 published version, DOI 10.1109/ACCESS.2026.3704541; arXiv:2602.11510v3 full text",yes,yes,yes,yes,yes,yes,include,evaluation,core_security,§III-A–§III-D (MAS and threat model); §IV benchmark construction; §V attack taxonomy including F4 multi-agent coordination; §VI evaluation; Tables IV–VII,"AgentLeak treats privacy leakage through inter-agent messages, shared memory, delegation, and coordination channels as the security endpoint. Several attack families and the reported leakage rates are defined specifically by internal multi-agent communication.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
8,non_peer_citations_gte_10,arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2024-08-27,arXiv.org,non_peer_or_unverified,,10,2026-08-06,arxiv:2408.14972,2408.14972,https://www.semanticscholar.org/paper/cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,,,,,,,,arXiv:2408.14972v1 (HTML full text),yes,yes,yes,yes,yes,yes,include,defense,core_security,"Abstract; §§3.1–3.3 AgentMonitor; §4.4 'When Maliciously Configured, MAS Becomes Vulnerable'; Tables 2–3","The paper injects a maliciously configured agent into an interacting workflow, measures harmful content propagation to downstream agents, and evaluates monitor placement and corrective intervention. The threat and defense are therefore interaction-dependent.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
9,current_canonical_corpus;non_peer_citations_gte_10,arxiv:2503.04392,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,arXiv.org,non_peer_or_unverified,,42,2026-08-06,10.48550/arXiv.2503.04392,2503.04392,https://arxiv.org/abs/2503.04392,mao2025agentsafe,defense,core_security,papers/defenses/arxiv/2025_mao_agentsafe.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,arXiv:2503.04392v2 (HTML full text),yes,yes,yes,yes,yes,yes,include,defense,core_security,Abstract; §3.1.1 MAS graph; §3.2 AgentSafe; §3.2.2 security mechanisms; §§4.2–4.5; Appendices D and G,"AgentSafe enforces authority-aware communication and hierarchical memory access against unauthorized retrieval, impersonation, and memory poisoning. The protected boundaries and attack paths are sender–receiver and shared-memory relations among agents.",GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
10,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2402.08567,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024-02-13,ICML,peer_reviewed,conference,153,2026-08-06,arxiv:2402.08567,2402.08567,https://proceedings.mlr.press/v235/gu24e.html,gu2024agent_smith,attack,core_security,papers/attacks/icml/2024_gu_agent_smith.md,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,ICML 2024 published version; arXiv:2402.08567 full text,yes,yes,yes,yes,yes,yes,include,attack,core_security,"Abstract; §§3.1–3.3 infection model; §§4.2, 4.6–4.7; §5 conclusion",Agent Smith demonstrates that a jailbreak seeded through one multimodal agent propagates exponentially through pairwise agent conversations and can induce harmful function calls. Propagation and scale are created by inter-agent interaction.,GPT-5.6 Pro（AI-assisted full-text review; not human signoff）,,2026-08-06,AI-assisted adjudication draft. A named human reviewer must verify the cited source locations and sign off before this row is treated as final.,,no
