analysis_id,paper_id,candidate_signal,eligibility_decision,exclusion_reason,peer_review_status,evidence_locator,adjudicator,adjudication_date,adjudication_note
attack_landscape,tian2023evil_geniuses,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
defense_landscape,tian2023evil_geniuses,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
benchmark_audit,tian2023evil_geniuses,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
metric_comparability,tian2023evil_geniuses,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
observer_scope_audit,tian2023evil_geniuses,no_signal,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
assumption_audit,tian2023evil_geniuses,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
coverage_audit,tian2023evil_geniuses,candidate,pending_expert_adjudication,,arXiv,ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,,,
attack_landscape,gu2024agent_smith,candidate,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
defense_landscape,gu2024agent_smith,no_signal,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
benchmark_audit,gu2024agent_smith,no_signal,pending_expert_adjudication,,ICML,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",,,
