priority,paper_id,review_focus,review_level,human_review_status,reviewer,adjudication_note,recommended_scope,recommended_category,review_outcome,evidence_locators
21,zhang2024psysafe,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Change scope from core_security to security_relevant; change primary category from attack to evaluation/mixed framework; preserve attack as secondary role; fix canonical title punctuation; do not encode JDR/PDR as ASR.,security_relevant,evaluation,ready_after_major_patch,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions."
22,amayuelas2024collaboration_attack,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Keep attack/core_security. Ensure metrics are coded as question-level majority accuracy and adversary agreement, not generic ASR. Record debate topology rather than unspecified collaboration.",core_security,attack,ready_after_minor_patch,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.
23,khan2025agents_under_siege,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_major_patch. Keep attack/core_security. Clarify that primary outcome is target jailbreak, not system-wide compromise. Do not confuse stochastic sample size M with number of agents. Encode ASR denominator as harmful prompt/test case.",core_security,attack,ready_after_major_patch,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.
24,peigne2025security_tax,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,"Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Normalize canonical author metadata; keep attack/core_security; encode system robustness and cooperation separately; mark harmful action as simulated code request, not real-world execution.",core_security,attack,ready_after_minor_patch,AAAI/arXiv PDF pp. 1-3 and Fig. 2; Sec. 3 pp. 4-5; Table 1 pp. 5-6; Sec. 5 “Discussion & Limitations” p. 7; appendices for prompts.
25,zhang2025allies_foes,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Clarify that communication strategies are schedules rather than general graph topology; encode SDI with its question/agent/round denominator; keep external impact claims narrow.,core_security,attack,ready_after_minor_patch,"PDF pp. 1-3, Secs. 2.1-2.4 and Eqs. 1-3; pp. 3-6, Figs. 1-4; p. 9 Limitations."
26,zhu2025master,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Reclassify primary role from attack to evaluation/framework; do not report one fixed agent count; distinguish generated harmful cooperation from verified real-world harm; preserve ASR denominator.,core_security,evaluation,ready_after_major_patch,PDF Sec. 3.1 pp. 3-4 and Fig. 2; Secs. 3.2.4-3.2.5 pp. 5-6; Sec. 4.1 pp. 6-7; Table 2; Fig. 5 p. 9.
27,zhang2025breaking_agents,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=attack; outcome=ready_after_major_patch. Downgrade whole-paper scope to security_relevant; code only advanced MAS claims as core interaction evidence; do not use the >80% headline as a population-level MAS result.,security_relevant,attack,ready_after_major_patch,PDF Secs. 3.2-3.3 pp. 2-3; Tables 2-4 pp. 5-7; Sec. 5.5 pp. 6-7; Limitations p. 8.
28,yan2026evo_attacker,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Do not label its reported metrics as ASR; preserve tool-channel-only visibility and B=3 constraint; do not infer n from G=8 rollouts; narrow “system collapse” to task failure.,core_security,attack,ready_after_minor_patch,PDF Sec. 2 pp. 2-3; Fig. 1; Sec. 4.1 p. 4; Table 1 pp. 5; Table 2 pp. 5-6; Sec. 4.5; Limitations p. 8.
29,yan2026mast,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Separate task-level ASR from message-level stealth denominator; retain strong on-path and graph-knowledge assumptions; do not describe agents themselves as compromised.,core_security,attack,ready_after_minor_patch,"AAAI PDF Sec. 3.2 p. 3; Secs. 4.1-4.2 pp. 3-5, Fig. 2, Eqs. 10-11; Secs. 5.1-5.2 pp. 5-7, Table 1."
30,wang2026shadows_code,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Reclassify paper-level role from attack to evaluation; do not claim fixed agent count; distinguish verified malicious code behavior from real-world compromise.,core_security,evaluation,ready_after_major_patch,"PDF Methodology pp. 3-5 and Fig. 2; Experiment p. 5; attack/defense results pp. 6-8, Figs. 4-5."
31,wu2026cia,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Keep primary failure structural confidentiality; record AUC per edge; remove any claim that topology was modified or that later exploitation was verified.,core_security,attack,ready_after_minor_patch,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Sec. 5 pp. 8-10 and main result tables.
32,ko2026social_dynamics,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Downgrade scope to security_relevant and primary role to evaluation; separate adversarial manipulation from non-adversarial social behavior; do not generalize to all MAS topologies.,security_relevant,evaluation,ready_after_major_patch,PDF study design Sec. 3 pp. 3-5; experiments Secs. 4-5 pp. 4-15 and main tables/figures; limitations section.
33,zhou2026hierarchical_attacks,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=evaluation; outcome=ready_after_major_patch. Reclassify paper-level role as evaluation/attack suite; split claim-level failure categories; record ASR as clean-correct-sample rate; do not treat all variants as equally interaction-native.,core_security,evaluation,ready_after_major_patch,CVPR pp. 42333-42335 Sec. 3 and Fig. 2; p. 42335 Sec. 4.1; p. 42336 Table 2; p. 42338 Fig. 5.
34,kong2026web_fraud,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=core_security; category=attack; outcome=ready_after_minor_patch. Keep ASR definition tied to auditor risk label and ten repeats; separate observed recommendation failure from speculative downstream harm.,core_security,attack,ready_after_minor_patch,PDF Sec. 3.1 p. 14021 Fig. 1; Sec. 3.2 pp. 14022-14023 Table 2; Sec. 4.1 pp. 14023-14024 Fig. 3; Sec. 4.2 pp. 14024-14025 Fig. 4/Table 3.
35,huang2025faulty_agents,metadata; scope; category; evidence locators,standard_attack_review,source_reviewed_pending_author_signoff,GPT-5.6 Pro assistant source audit,Recommended scope=security_relevant; category=evaluation; outcome=ready_after_major_patch. Reclassify from attack to evaluation; scope security_relevant; record 5.5% and 96.4% in their exact structural/error-recovery contexts; tag fault model.,security_relevant,evaluation,ready_after_major_patch,PDF Sec. 3 pp. 3-4 Fig. 2; Sec. 4 pp. 4-6 Tables 1-2; Sec. 5 pp. 6-8; Sec. 6 pp. 8-9 Fig. 6.
