work_key,title,evidence_set,dominant_contribution,venue,primary_url,interaction_interfaces,risk_or_property,interaction_dependence,paper_path,note_depth,system_studied,multi_agent_dependency,threat_actor,attacker_capabilities,main_contribution,attack_or_failure,defense_mechanism,evaluation,sok_relevance,source_review_status,current_scope_reason,current_membership_reason
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,evaluation,NeurIPS 2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9d37cda93f0575e0ca39910b14f5f7dd-Abstract-Datasets_and_Benchmarks_Track.html,I2_communication_routing;I4_delegation_action,unspecified,interaction_amplified,papers/evaluations/neurips/2024_abdelnabi_cooperation_competition_and_maliciousness_llm_st.md,detailed,Not yet extracted at claim level from the canonical full text.,"Imported corpus characterization, pending author signoff: Maliciousness and information sharing are measured in multi-party negotiation.",Not yet extracted.,Not yet extracted.,Imported corpus interpretation: Maliciousness and information sharing are measured in multi-party negotiation.,Not yet extracted.,Not yet extracted.,Not yet extracted.,Do not infer a fixed taxonomy from this imported placement.,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=15. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,ACL,https://aclanthology.org/2025.acl-long.859/,I1_boundary_admission;I2_communication_routing;I3_state_memory,R1_propagation_persistence,unclear,papers/attacks/acl/2025_men_troublemaker.md,detailed,"Large text-based multi-agent societies whose agents maintain independent memories and communicate over line, star, and other graph structures.","One attacker attempts to spread jailbreak content across honest agents; retrieval, replication, topology, and population size determine propagation.",,,"The paper introduces the TMCHT multi-topology evaluation task and Adversarial Replication Contagious Jailbreak, which optimizes retrieval and replication suffixes to sustain attacks across sparse and large agent networks.",,,"- Configuration: One attacker plus honest agents; line, star, and larger population settings, including a 100-agent experiment. - Topology: Line, star, and other benchmarked structures; static experiment graphs. - Baseline or ablation: Prior jailbreak or nonoptimized variants described in the paper. - Metric: ASR by round, maximum ASR over rounds, and rounds to reach a target ASR. - Unit: Agent-question pair and interaction round. - Denominator: The paper defines the round metric over agent by question cases, then reports the maximum over rounds for its summary ASR. - Result boundary: Reported improvements of 23.51%, 18.95%, and 52.93% are setting-specific values. Do not silently relabel them as percentage-point improvements.","- Included concepts: contagious jailbreak, retrieval, replication, independent memory, topology, scale. - Taxonomy implications: supports behavioral contagion and memory-integrity analysis. - Supported research questions: how sparse graphs and large populations affect attack attenuation. - Important limitations: benchmark improvements are not directly comparable to other infection metrics without denominator normalization.",source_reviewed_pending_author_signoff,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=1. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,set1_core,attack,ICML,https://proceedings.mlr.press/v235/gu24e.html,I3_state_memory;I4_delegation_action,R1_propagation_persistence,interaction_amplified,papers/attacks/icml/2024_gu_agent_smith.md,detailed,A population of independently instantiated LLaVA-1.5 agents with memory banks that communicate through randomized pairwise chats.,The attack becomes an infectious jailbreak only when the seeded agent transmits adversarial content to peers; population spread and its growth rate are undefined for a single isolated agent.,,,"The paper introduces infectious jailbreak, demonstrates propagation from one seeded multimodal agent across populations up to one million simulated agents, and analyzes conditions under which a defense can restrain spread.",,,"- Configuration: LLaVA-1.5 agent population; randomized pairwise chats; simulated populations up to one million. - Topology: Randomized pairwise interaction rather than a broad sweep of deployed topologies. - Baseline or ablation: Noninfectious adversarial inputs and modeled alternative settings; exact baseline details should be cited from the experiment section when used. - Metric: Infected population and propagation behavior over interaction rounds. - Unit: Agent and population. - Denominator: Population size, with infection status defined by the paper. - Result boundary: The paper demonstrates rapid population spread from a single seeded agent under its simulated interaction model. Do not turn the title claim into a statement about real deployed systems.","- Included concepts: infection seed, agent memory, behavioral contagion, population spread, containment. - Taxonomy implications: supports a propagation-and-containment failure class. - Supported research questions: how topology and agent interaction amplify a local compromise. - Important limitations: proof-of-concept pairwise simulation does not establish prevalence in deployed systems.",source_reviewed_pending_author_signoff,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,defense,ACM Turing Celebration Conference,,I5_aggregation_outcome,R3_collective_integrity,unclear,papers/defenses/acm_turing_celebration/2024_blockagents_towards_byzantine_robust_llm_based_multi_agent_coordination.md,metadata_only,,,,,,,,,,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=12. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
doi:10.1109/ijcnn60899.2024.10650172,CRDA: Content Risk Drift Assessment of Large Language Models through Adversarial Multi-Agent Interaction,set1_core,evaluation,IEEE International Joint Conference on Neural Network,,I3_state_memory;I4_delegation_action,unspecified,interaction_amplified,papers/evaluations/ijcnn/2024_crda_content_risk_drift_assessment_of_large_language_models_through_adve.md,metadata_only,,,,,,,,,,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,set1_core,general,International Conference on Learning Representations,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,I2_communication_routing,unspecified,interaction_amplified,papers/general/iclr/2024_cut_the_crap_an_economical_communication_pipeline_for_llm_based_multi_ag.md,metadata_only,,,,,,,,,,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,set1_core,attack,Science China Information Sciences,https://doi.org/10.1007/s11432-024-4663-2,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R1_propagation_persistence,interaction_amplified,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md,detailed,"LLM-based agent communities with chat histories, communication, and optional RAG storage/retrieval.",Manipulated knowledge spreads when affected agents persuade peers and persist the resulting chat histories for later retrieval.,,,"The paper presents a two-stage attack using Persuasiveness Injection and Manipulated Knowledge Injection, then studies spread of counterfactual/toxic knowledge and persistence through RAG.",,,"- Configuration: Simulated LLM-agent communities with communication and optional RAG persistence. - Topology: Community interaction settings; exact final-paper topology details must be recoded from the journal PDF. - Baseline or ablation: Attack variants and benign settings described in the final paper. - Metric: Spread accuracy for counterfactual or toxic knowledge, interaction turns, agent-order or population effects, and RAG persistence. - Unit: Agent response, knowledge item, or interaction turn depending on analysis. - Denominator: Must be copied from the final journal metric definitions and tables; the current record is too generic. - Result boundary: The paper reports that manipulated knowledge can spread while preserving general capabilities and persist in retrieved histories. Exact numeric claims should wait for final-journal table verification.","- Included concepts: persuasion, knowledge integrity, persistence, RAG memory. - Taxonomy implications: separates persuasive mechanism from integrity failure. - Supported research questions: how communication and memory jointly sustain an attack. - Important limitations: simulation results do not establish prevalence.",blocked_pending_final_source,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=4. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
arxiv:2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,set1_core,general,International Conference on Machine Learning,,I2_communication_routing,unspecified,unclear,papers/general/icml/2024_g_designer_architecting_multi_agent_communication_topologies_via_graph_n.md,metadata_only,,,,,,,,,,,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,set1_core,evaluation,Findings of ACL,https://aclanthology.org/2025.findings-acl.150/,I2_communication_routing;I4_delegation_action;I5_aggregation_outcome,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,papers/evaluations/findings_acl/2025_yu_netsafe.md,detailed,LLM-based multi-agent workflows unified through iterative relation and communication interactions under multiple communication topologies.,"The paper measures how graph connectivity, network size, and aggregation change the propagation and impact of malicious content.",,,"NetSafe introduces a topology-centered framework for studying multi-agent safety and reports Agent Hallucination, Aggregation Safety, and Security Bottleneck phenomena under attack.",,,"- Configuration: Multiple workflows, graph connectivity levels, system sizes, and per-round interactions. - Topology: RelCom abstraction with multiple graph structures and scales. - Baseline or ablation: Alternative topologies and benign versus attacked conditions. - Metric: Per-agent and aggregate joint accuracy or safety outcomes by round and topology. - Unit: Agent, round, and task. - Denominator: Per-agent or aggregate task cases as defined in each experiment. - Result boundary: The reported 29.7% star-topology decrease is a relative task-performance decrease in a specific setting. It is not a universal severity figure or necessarily a percentage-point change.","- Included concepts: topology, graph connectivity, propagation, aggregation, security bottleneck. - Taxonomy implications: contains both attack evidence and a reusable evaluation framework; later evaluation indexing should point here rather than duplicate it. - Supported research questions: whether topology isolates or amplifies attacks. - Important limitations: reported task drops are setting-specific and not a universal severity scale.",source_reviewed_pending_author_signoff,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,set1_core,attack,ESORICS 2025 International Workshops,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,papers/attacks/esorics_workshops/2026_lee_prompt_infection.md,detailed,Tool-using LLM workflows with global or local message histories and agent societies with changing pairwise conversations.,One externally injected prompt forces each compromised agent to append a self-replicating payload to downstream messages. Infection spreads through communication even to agents that never read the original untrusted content.,"An external adversary able to place one infectious prompt in a PDF, email, or web page.","The payload hijacks the first reader, assigns role-specific malicious tasks, carries stolen state, and tells each agent to reproduce it in the next message.","The paper introduces Prompt Infection, a self-replicating LLM-to-LLM injection that propagates through role-specialized workflows and dynamic agent societies. It evaluates data theft, scams, content manipulation, malware, and LLM Tagging combined with existing prompt defenses.","Prompt hijacking changes the current role, a payload assigns malicious subtasks and carries data, and a self-replication instruction preserves the infection across agent edges.","LLM Tagging prepends the producing agent's identity to downstream messages and is combined with marking, instruction, reminder, and sandwich defenses.",Multi-agent applications and societies using GPT-4o and GPT-3.5-class models.,"Self-replication is the attack mechanism; the system-level failure is propagation and containment, with separate impact fields for theft, manipulation, or execution.",,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=5. Set 1 uses peer_reviewed=yes OR frozen_citation_count>=10; taxonomy readiness is tracked separately.
