paper_id,title,authors,year,primary_url,discovery_source,discovery_query,screening_stage,exclusion_reason,canonical_paper_id,screened_by,screening_date,notes
yu2024giga,Infecting LLM Agents via Generalizable Adversarial Attack,"Weichen Yu; Kai Hu; Tianyu Pang; Chao Du; Min Lin; Matt Fredrikson",2024,https://neurips.cc/virtual/2024/106765,NeurIPS workshop program; OpenReview,site:neurips.cc GIGA infecting LLM agents workshop,version merge,Workshop version superseded by the authors' expanded formal COLM 2025 attack paper,yu2025codes,automated screening,2026-08-05,Retained as provenance but excluded from the canonical denominator
chen2024pandora,PANDORA: Detailed LLM Jailbreaking via Collaborated Phishing Agents with Decomposed Reasoning,"Zhaorun Chen; Zhuokai Zhao; Wenjie Qu; Zichen Wen; Zhiguang Han; Zhihong Zhu; Jiaheng Zhang; Huaxiu Yao",2024,https://openreview.net/forum?id=9o06ugFxIj,OpenReview; attack-framework keyword scan,PANDORA multi-agent phishing agents jailbreak,full-text screening,Multiple agents generate and refine an attack against an isolated victim LLM; the victim is not a multi-agent system,,automated screening,2026-08-05,Out of scope under the multi-agent dependency rule
chen2026metacipher,MetaCipher: A Time-Persistent and Universal Multi-Agent Framework for Cipher-Based Jailbreak Attacks for LLMs,"Boyuan Chen; Minghao Shao; Abdul Basit; Siddharth Garg; Muhammad Shafique",2026,https://ojs.aaai.org/index.php/AAAI/article/view/41058,AAAI publisher; formal-venue completeness scan,AAAI multi-agent attack LLM jailbreak,full-text screening,The multi-agent framework generates cipher attacks against individual victim LLMs; the attacked system has no inter-agent security dependency,,automated screening,2026-08-05,Out of scope under the multi-agent dependency rule
hu2026breakingbarriers,Breaking Barriers: Multi-Agent Prompt Fusion for Automated LLM Jailbreaks,"Jiaen Hu; Juan Zhang; Zichen Li",2026,https://doi.org/10.1007/s12559-026-10552-3,Springer DOI; journal completeness scan,multi-agent prompt fusion automated jailbreak,full-text screening,Multiple attack strategies are fused to jailbreak isolated target models; multi-agent interaction is attack-generation scaffolding rather than the protected system,,automated screening,2026-08-05,Out of scope under the multi-agent dependency rule
zhao2025magpie_old,MAGPIE: A Dataset for Multi-Agent Contextual Privacy Evaluation,"Gurusha Juneja; Jayanth Naga Sai Pasupulati; Wenyue Hua; William Yang Wang",2025,https://arxiv.org/abs/2506.20737,arXiv; version reconciliation,MAGPIE old dataset version,version merge,Earlier 158-scenario version superseded by the 200-task NeurIPS Responsible Foundation Models workshop version,juneja2025magpie,automated screening,2026-08-05,Use the current workshop benchmark as the canonical record; retain old identifier only for provenance
dong2025pear_withdrawn,PEAR planner-executor robustness benchmark (withdrawn preprint),"Shen Dong; Mingxuan Zhang; Pengfei He; Li Ma; Bhavani Thuraisingham; Hui Liu; Yue Xing",2025,https://arxiv.org/abs/2510.07505,arXiv; version reconciliation,PEAR planner executor benchmark,version merge,Withdrawn administrative arXiv version superseded by the published Findings of EACL version,dong2026pear,automated screening,2026-08-05,Use the formal ACL Anthology version; do not cite withdrawn metadata as canonical
jiang2026agentlab,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,"Tanqiu Jiang; Yuhui Wang; Jiacheng Liang; Ting Wang",2026,https://arxiv.org/abs/2602.16901,arXiv; full-text evaluation scan,single-agent agent benchmark,full-text screening,The benchmark evaluates individual tool-using agents under multi-turn user-agent-environment attacks and does not require multiple interacting LLM agent cores,,automated screening,2026-08-06,Excluded under the repository multi-agent dependency rule
hofman2026maps,MAPS: A Multilingual Benchmark for Agent Performance and Security,"Omer Hofman; Jonathan Brokman; Oren Rachmil; Shamik Bose; Vikas Pahuja; Toshiya Shimizu; Trisha Starostina; Kelly Marchisio; Seraphina Goldfarb-Tarrant; Roman Vainshtein",2026,https://aclanthology.org/2026.findings-eacl.42/,ACL Anthology; full-text evaluation scan,multilingual single-agent security benchmark,full-text screening,The suite translates individual-agent capability and security tasks across languages; it does not require security-relevant interaction among multiple LLM agent cores,,automated screening,2026-08-06,Formal Findings EACL paper but out of scope under the multi-agent dependency rule
deng2025grace,GRACE: A Generalizable Method for Multi-agent System Security Evaluation,"Jianlang Deng; Zhiyin Yu; Xiao Luo; Zhulin Liu",2025,https://openreview.net/forum?id=SBgQTj5qOe,OpenReview; completeness search,multi-agent security evaluator,publication-status verification,ICLR 2026 submission is explicitly marked withdrawn and is not an archival publication,,automated screening,2026-08-06,Retained as a negative publication-status decision; do not include in the eligible corpus
zong2026mcpsafetybench,MCP-SafetyBench: A Benchmark for Safety Evaluation of LLM Agents in Real-World MCP Servers,"Xuanjun Zong; Zhiqi Shen; Lei Wang; Yunshi Lan; Chao Yang",2026,https://iclr.cc/virtual/2026/poster/10011290,ICLR official program; full-text screening,MCP security benchmark,full-text screening,The evaluated target is one LLM host agent connected to non-LLM MCP tool servers; no second interacting LLM agent core is required,,automated screening,2026-08-06,Formal ICLR paper but out of scope under the multi-agent dependency rule
zhang2026mcpsecuritybench,MCP Security Bench: A Benchmark for Evaluating Security of LLM Agents with Model Context Protocol,"Dongsen Zhang; Zekun Li; Xu Luo; Xuannan Liu; Pei Li; Wenjun Xu",2026,https://iclr.cc/virtual/2026/poster/10007929,ICLR official program; full-text screening,MCP security benchmark,full-text screening,The threat model explicitly evaluates one LLM agent interacting with MCP tools and servers; endpoint composition is not multiple LLM agents,,automated screening,2026-08-06,Formal ICLR paper but out of scope under the multi-agent dependency rule
nother2025badacts_old,Benchmarking the Robustness of Agentic Systems to Adversarially-Induced Harms,"Jonathan Nöther; Adish Singla; Goran Radanovic",2025,https://arxiv.org/abs/2508.16481,arXiv; COLM accepted-list reconciliation,BAD-ACTS publication version,version merge,Earlier four-environment arXiv version superseded by the expanded and renamed COLM 2026 accepted version,nother2026badacts,automated screening,2026-08-06,Retain arXiv identifier as provenance; do not count it as a separate paper
orogat2026mafbench,Understanding Multi-Agent LLM Frameworks: A Unified Benchmark and Experimental Analysis,"Abdelghny Orogat; Ana Rostam; Essam Mansour",2026,https://arxiv.org/abs/2602.03128,arXiv; final benchmark search,multi-agent framework benchmark,title and abstract screening,The benchmark measures framework performance latency memory planning and coordination without a security privacy robustness misuse or trust outcome,,automated screening,2026-08-06,Excluded under the repository security-scope rule
jin2026skillsafetybench,SkillSafetyBench: Evaluating Agent Safety under Skill-Facing Attack Surfaces,"Chang Jin; An Wang; Zeming Wei; Kai Wang; Biaojie Zeng; Qiaosheng Zhang; Chao Yang; Jingjing Qu; Xia Hu; Xingcheng Xu",2026,https://arxiv.org/abs/2605.12015,arXiv; final benchmark search,skill-facing agent safety benchmark,full-text scope screening,The target is a single CLI agent influenced by skills and environment files; the multiagent arXiv category does not establish interacting LLM agent cores,,automated screening,2026-08-06,Excluded under the repository multi-agent dependency rule
sharma2025unifyingbenchmark,Towards Unifying Quantitative Security Benchmarking for Multi Agent Systems,"Gauri Sharma; Vidhi Kulkarni; Miles King; Ken Huang",2025,https://arxiv.org/abs/2507.21146,arXiv; benchmark-name reverse search,multi-agent security benchmarking,full-text screening,The paper proposes design principles scenarios and metrics but does not implement or empirically evaluate a benchmark artifact,,automated screening,2026-08-06,Relevant position paper but not eligible for the evaluation-primary or artifact sets
anonymous2025maspi,MASPI: A Unified Environment for Evaluating Prompt Injection Robustness in LLM-Based Multi-Agent Systems,Anonymous submission,2025,https://openreview.net/forum?id=1khmNRuIf9,OpenReview; ICLR accepted-list audit,MASPI prompt injection environment,publication-status verification,The record remains an anonymous ICLR 2026 submission and the title is absent from the official accepted-paper list; no archival or arXiv version was verified,,automated screening,2026-08-06,Retained as a negative publication-status decision rather than counted as a citable paper
feng2025sentinelnet_preprint,SentinelNet: Safeguarding Multi-Agent Collaboration Through Credit-Based Dynamic Threat Detection,"Yang Feng; Xudong Pan",2025,https://arxiv.org/abs/2510.16219,arXiv; ACM DOI reconciliation,SentinelNet formal publication,version merge,Preprint superseded by the published WWW 2026 paper,feng2026sentinelnet,automated screening,2026-08-06,Retain arXiv only as the open full-text source
mao2024ibgp_preprint,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,"Yihuan Mao et al.",2024,https://arxiv.org/abs/2410.16237,arXiv; AAMAS proceedings reconciliation,IBGP formal publication,version merge,Preprint superseded by the AAMAS 2025 extended abstract,mao2025ibgp,automated screening,2026-08-06,Canonical record uses official proceedings
rosser2025agentbreeder_preprint,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,"J Rosser; Jakob Foerster",2025,https://arxiv.org/abs/2502.00757,arXiv; NeurIPS proceedings reconciliation,AgentBreeder formal publication,version merge,Preprint superseded by the published NeurIPS 2025 paper,rosser2025agentbreeder,automated screening,2026-08-06,Canonical record uses official proceedings
wu2025cowpox_preprint,Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,"Yutong Wu et al.",2025,https://arxiv.org/abs/2508.09230,arXiv; PMLR reconciliation,Cowpox formal publication,version merge,Preprint merged into the published ICML 2025 version,wu2025cowpox,automated screening,2026-08-06,Canonical record uses PMLR
ebrahimi2025credibility_preprint,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,"Sana Ebrahimi; Mohsen Dehghankar; Abolfazl Asudeh",2025,https://arxiv.org/abs/2505.24239,arXiv; ACL Anthology reconciliation,credibility scoring formal publication,version merge,Preprint superseded by the IJCNLP-AACL 2025 version,ebrahimi2025credibility,automated screening,2026-08-06,Canonical record uses ACL Anthology
raza2025trism_preprint,TRiSM for Agentic AI: A Review of Trust Risk and Security Management in LLM-based Agentic Multi-Agent Systems,"Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis",2025,https://arxiv.org/abs/2506.04133,arXiv; AI Open DOI reconciliation,TRiSM formal publication,version merge,Preprint merged into the published AI Open 2026 review,raza2026trism,automated screening,2026-08-06,Retain arXiv as open full text only
yu2025trustworthy_preprint,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Miao Yu et al.",2025,https://arxiv.org/abs/2503.09648,arXiv; KDD DOI reconciliation,TrustAgent formal publication,version merge,Preprint merged into the published KDD 2025 paper,yu2025trustworthyagents,automated screening,2026-08-06,Retain arXiv as open full text only
