review_row,candidate_basis,record_id,title,publication_date,canonical_venue,publication_status,venue_type,citations,citation_snapshot_date,doi,arxiv_id,source_url,current_corpus_paper_id,current_corpus_primary_category,current_corpus_scope_relation,current_corpus_note_path,prior_source_review_status,prior_recommended_scope,prior_gate_decision,canonical_version_reviewed,full_text_read,gate_multiagent_boundary,gate_explicit_interaction,gate_direct_security_relevance,gate_interaction_dependence,gate_canonical_full_text_evidence,human_final_decision,human_primary_category,human_scope_relation,evidence_locations,decision_reason,reviewer,second_reviewer,review_date,adjudication_note,duplicate_of_record_id,human_signoff_complete
1,non_peer_citations_gte_10,arxiv:2508.07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025-08-11,arXiv.org,non_peer_or_unverified,,16,2026-08-06,arxiv:2508.07667,2508.07667,https://www.semanticscholar.org/paper/e62edf39a3c2a7ebaaa797f73934d39133940d2c,,,,,agent_unverified,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
2,current_canonical_corpus,li2026a2asecbench,A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems,2026,ICLR,peer_reviewed,,,,,,https://iclr.cc/virtual/2026/poster/10010017,li2026a2asecbench,evaluation,core_security,papers/evaluations/iclr/2026_li_a2asecbench.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
3,current_canonical_corpus,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,2026,ACL,peer_reviewed,,,,10.18653/v1/2026.acl-long.457,,https://aclanthology.org/2026.acl-long.457/,an2026aciarena,evaluation,core_security,papers/evaluations/acl/2026_an_aciarena.md,agent_unverified,,,,,,,,,,,,,,,,,,,,
4,peer_reviewed_broad_inclusion,doi:10.48448/71d8-2j58,AgentAsk: Multi-Agent Systems Need to Ask,2026-06-03,Formal proceedings (10.48448 DOI),peer_reviewed,conference,,2026-08-06,10.48448/71d8-2j58,2510.07593,https://doi.org/10.48448/71d8-2j58,,,,,not_source_reviewed,pending,pending_full_text_adjudication,,,,,,,,,,,,,,,,,,
5,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2502.00757,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025-02-02,NeurIPS,peer_reviewed,conference,8,2026-08-06,arxiv:2502.00757,2502.00757,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,rosser2025agentbreeder,defense,security_relevant,papers/defenses/neurips/2025_rosser_agentbreeder.md,assistant_source_reviewed_pending_author_signoff,security_relevant,contextual_not_strict_core,,,,,,,,,,,,,,,,,,
6,non_peer_citations_gte_10,arxiv:2601.04170,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026-01-07,arXiv.org,non_peer_or_unverified,,18,2026-08-06,arxiv:2601.04170,2601.04170,https://www.semanticscholar.org/paper/c102b44673da43a07443e3fc7ba2ac27f96800e4,,,,,agent_unverified,adjacent,adjacent_not_core,,,,,,,,,,,,,,,,,,
7,current_canonical_corpus;peer_reviewed_broad_inclusion,doi:10.1109/access.2026.3704541,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,2026-02-12,IEEE Access,peer_reviewed,journal,6,2026-08-06,10.1109/ACCESS.2026.3704541,2602.11510,https://doi.org/10.1109/ACCESS.2026.3704541,elyagoubi2026agentleak,evaluation,core_security,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
8,non_peer_citations_gte_10,arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2024-08-27,arXiv.org,non_peer_or_unverified,,10,2026-08-06,arxiv:2408.14972,2408.14972,https://www.semanticscholar.org/paper/cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,,,,,,,,,,,,,,,,,,,,,,,,,
9,current_canonical_corpus;non_peer_citations_gte_10,arxiv:2503.04392,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,arXiv.org,non_peer_or_unverified,,42,2026-08-06,10.48550/arXiv.2503.04392,2503.04392,https://arxiv.org/abs/2503.04392,mao2025agentsafe,defense,core_security,papers/defenses/arxiv/2025_mao_agentsafe.md,assistant_source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
10,current_canonical_corpus;peer_reviewed_broad_inclusion,arxiv:2402.08567,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024-02-13,ICML,peer_reviewed,conference,153,2026-08-06,arxiv:2402.08567,2402.08567,https://proceedings.mlr.press/v235/gu24e.html,gu2024agent_smith,attack,core_security,papers/attacks/icml/2024_gu_agent_smith.md,source_reviewed_pending_author_signoff,core_security,provisional_pass_author_signoff_required,,,,,,,,,,,,,,,,,,
