work_key,title,year,source_identifier,context_bucket,mas_security_basis,historical_scope_note
doi:10.23919/softcom62040.2024.10721684,A Multi-Agent Architecture for Privacy-Preserving Natural Language Interaction with FHIR-Based Electronic Health Records,2024,10.23919/softcom62040.2024.10721684,defense/privacy,The system is explicitly multi-agent and the protected property is privacy.,Historical review found no material inter-agent security path; retain as contextual MAS-security architecture.
zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,2024,10.18653/v1/2024.acl-long.812,attack/defense/evaluation,"Explicitly studies attacks, defenses, and safety evaluation in a multi-agent system.",Historical review found no material inter-agent path; retain only as contextual evidence.
ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025,10.18653/v1/2025.ijcnlp-long.90,defense/trust,Explicit adversary-resistant multi-agent LLM defense.,Historical review found no material inter-agent path.
bowers2025code_injection,Analyzing Code Injection Attacks on LLM-based Multi-Agent Systems in Software Development,2025,10.1109/icmla66185.2025.00174,attack/code-integrity,Explicit attack study on an LLM-based multi-agent system.,Historical review found no material inter-agent path.
doi:10.1109/access.2025.3549312,CAPRI: A Context-Aware Privacy Framework for Multi-Agent Generative AI Applications,2025,10.1109/access.2025.3549312,defense/privacy,Explicit privacy framework for multi-agent generative-AI applications.,Historical review found no material inter-agent path.
long2025funcpoison,FuncPoison: Poisoning Function Library to Hijack Multi-agent Autonomous Driving Systems,2025,arXiv:2509.24408,attack/tool-action,Explicit poisoning/hijacking attack against a multi-agent system.,Historical review found no material inter-agent path.
arxiv:2509.10018,GAMA: A General Anonymizing Multi-Agent System for Privacy Preservation Enhanced by Domain Rules and Disproof Mechanism,2025,arXiv:2509.10018,defense/privacy,Explicit multi-agent privacy-preservation system.,Historical review found no material inter-agent path.
zhu2025master,MASTER: Multi-Agent Security Through Exploration of Roles and Topological Structures - A Comprehensive Framework,2025,10.18653/v1/2025.findings-emnlp.917,attack/evaluation,Explicit MAS-security framework centered on roles and topology.,Historical review found no material inter-agent path.
peigne2025security_tax,Multi-Agent Security Tax: Trading Off Security and Collaboration Capabilities in Multi-Agent Systems,2025,10.1609/aaai.v39i26.34970,foundation/evaluation,Directly studies multi-agent security and security/collaboration trade-offs.,Historical scope excluded it because the agents were not LLM-backed; retain as MAS-security foundation.
schroederdewitt2025openchallenges,Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents,2025,arXiv:2505.02077,survey/foundation,Direct survey/foundation on security of interacting AI agents.,Historical scope excluded it because LLM-backed agents were not established.
kong2026web_fraud,Web Fraud Attacks Against LLM-Driven Multi-Agent Systems,2025,10.18653/v1/2026.findings-acl.686,attack/web,Explicit web-fraud attack study against LLM-driven MAS.,Historical review found no material inter-agent path.
supp_a_trace_based_assurance_framework_for_agentic_ai_orchestration_contracts_testing,"A Trace-Based Assurance Framework for Agentic AI Orchestration: Contracts, Testing, and Governance",2026,10.5220/0014840300004015,evaluation/assurance,Security-assurance methodology for orchestrated agent executions; historical coding maps I1-I4 and propagation risk.,Named human review moved it to contextual Set 3; useful for assurance/evaluation rather than active evidence.
doi:10.5281/zenodo.19844471,Accountable Multi-Agent AI Systems: Orchestration Frameworks for Enterprise Workflow Automation with Human-in-the-Loop Verification,2026,10.5281/zenodo.19844471,defense/governance,Multi-agent accountability and intervention; historical coding maps delegation/defense interfaces to propagation and authority risk.,Named human review moved it from emerging to contextual Set 3.
doi:10.15480/882.17223,Adversarial robustness of LLM-based multi-agent systems for engineering problems,2026,10.15480/882.17223,attack/robustness,Explicit adversarial-robustness study of LLM-based MAS.,Named human review moved it from emerging to contextual Set 3.
doi:10.2139/ssrn.6712478,Detecting Algorithmic Collusion in LLM-driven Markets: A Hybrid Causal Framework,2026,10.2139/ssrn.6712478,attack/evaluation/collusion,Collusion is structurally multi-agent; historical coding maps it to R2 coordination/collusion.,Named human review moved it from emerging to contextual Set 3.
doi:10.2139/ssrn.6530594,Detecting Compositional Attacks in Multi-Agent LLM Systems via Graph-Topological Feature Analysis,2026,10.2139/ssrn.6530594,attack/defense/composition,Explicit compositional-attack study for multi-agent LLM systems.,Historical review found no material inter-agent path.
