paper_id,claim_id,claim_type,claim_split_status,adversary_position,adversary_capabilities,preconditions,mechanism,interaction_surface,primary_system_failure,reported_impact,metric_definition,unit_denominator,evidence_locators,source_review_status,expert_decision
tian2023evil_geniuses,,attack_candidate,pending_claim_level_extraction,Malicious user or system designer controlling role/system prompts.,Inject template or Red–Blue-generated role-specific prompts; no model-weight or framework-code control.,Role prompts are configurable and outputs are exchanged during collaboration.,Role-conditioned prompt attack generated through Red–Blue interaction.,Role prompts; system prompts; inter-agent dialogue; downstream review/filter.,Collaborative safety/output-integrity failure.,Higher harmful/non-refusal generation in tested agent systems than selected isolated-model baselines; no environment-side action is verified.,Harmful-output and non-refusal attack-success measures.,"Prompt/query examples per framework/configuration; the paper’s ASR is an output-classification measure, not affected-agent fraction.",ArXiv v2 Sec. 4 p. 5 setup; p. 6 Tables 2-3 for interaction and quantity comparisons; Secs. 3-4 Figs. 2-4 for EG and target settings.,assistant_source_reviewed_pending_author_signoff,pending
gu2024agent_smith,,attack_candidate,pending_claim_level_extraction,External adversary seeds one selected agent with one adversarial image.,Seeds the initial memory item; no continued intervention is required under the modeled propagation process.,Agents retrieve memory content and exchange it through randomized pairwise chats.,Memory seeding followed by retention and retransmission of the adversarial behavior.,Agent memory; pairwise inter-agent communication.,F1 compromise propagation and containment failure.,"Population-level harmful or unaligned behavior. The one-million figure is simulated scale, not deployed prevalence.",Infected population and propagation behavior over interaction rounds.,"Unit: Agent and population.; Denominator: Population size, with infection status defined by the paper.","Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",source_reviewed_pending_author_signoff,pending
amayuelas2024collaboration_attack,,attack_candidate,pending_claim_level_extraction,Malicious member/participant in a debate group.,Chooses an incorrect answer and generates persuasive arguments visible to peer agents; inference-time persuasion optimization.,Debate architecture with shared responses; at least one malicious participant; aggregate majority decision.,Persuasion-driven adversarial debate and collective influence.,Coordination/debate; inter-agent messages; aggregation.,Collective decision integrity failure.,System and individual accuracy drops; increased agreement with the adversary.,"Majority Vote Accuracy and Adversary Agreement, plus individual/group accuracy change from initial to final round.",Question-level proportions over benchmark items; not per-agent or per-message ASR.,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,assistant_source_reviewed_pending_author_signoff,pending
zhang2024psysafe,,attack_candidate,pending_claim_level_extraction,Malicious user and/or system designer modifying human input or agent role/system prompts.,Injects dark-trait prompts at the human-input interface or into one or more agent role prompts; may repeat input attacks across rounds.,Role-conditioned LLM agents; access to user input or agent system prompts; agents exchange outputs over one or more rounds.,"Dark-trait/role prompt injection, human-input attack, and hybrid repeated injection causing dangerous behavior during interaction.",Human input; role/system prompt; inter-agent dialogue.,Collective safety and decision-integrity degradation; not a clean confidentiality/authorization attack.,"Dangerous outputs during safe and dangerous tasks, including process-level and joint collective danger.","Process Danger Rate (at least one dangerous agent behavior in a problem/round process), Joint Danger Rate by round (all agent behaviors dangerous), plus psychological score.",PDR/JDR are proportions over problem instances; JDR is round-specific. They are not conventional task-level ASR.,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",assistant_source_reviewed_pending_author_signoff,pending
motwani2024secret_collusion,,attack_candidate,pending_claim_level_extraction,Two or more colluding agents communicating under an observer or monitor.,"Generate overt messages, encode and decode hidden payloads, and coordinate on a code or strategy.","The observer sees overt traffic but lacks complete access to private knowledge, shared intent, or the covert code.",Steganographic encoding embedded in apparently innocuous communication.,Inter-agent communication; shared implicit knowledge; observer boundary.,Oversight or monitorability integrity failure at claim level.,Can also produce confidentiality loss or collective-decision corruption depending on the scenario. It should not be forced into one universal impact category.,"Coordination success, covert communication success, detectability, task performance, and scenario-specific secrecy or coupling measures.","Unit: Communication episode, group, or task depending on experiment.; Denominator: Experiment-specific trials; there is no single paper-wide ASR denominator.","Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",source_reviewed_pending_author_signoff,pending
tan2024wolf_within,,attack_candidate,pending_claim_level_extraction,External white-box adversary controlling/perturbing the first agent’s multimodal input.,Gradient and sampling access; optimize image/audio perturbation through the wolf-to-sheep composition.,Workflow forwards generated text and perturbed media from first MLLM to second; white-box access to composed models.,Projected-gradient cross-agent multimodal injection through a wolf operative.,Multimodal input; forwarded media; inter-agent prompt.,Downstream agent safety/output-integrity failure.,A clean recipient emits targeted prohibited content; onward reproduction or population spread is not demonstrated.,Manually judged attack-success rate and transferability across 14 prohibited-content scenarios.,Scenario/trial outputs; the note flags an unresolved printed trial denominator that requires final PDF confirmation.,ArXiv v2 Sec. 3 p. 3 Eq. 2/Fig. 2; Sec. 4 pp. 4-5 Table 1/Figs. 2-4.,assistant_source_reviewed_pending_author_signoff,pending
men2025troublemaker,,attack_candidate,pending_claim_level_extraction,One malicious member or troublemaker agent.,Injects optimized retrieval and replication suffixes into messages or memory content that honest agents later retrieve and retransmit.,Agents maintain independent memories and store and retrieve interaction content.,Adversarial retrieval and replication optimization creates a contagious jailbreak.,Inter-agent messages; independent agent memories; communication topology.,F1 compromise propagation and containment failure.,Population-wide jailbreak among previously honest agents.,"ASR by round, maximum ASR over rounds, and rounds to reach a target ASR.","Unit: Agent-question pair and interaction round.; Denominator: The paper defines the round metric over agent by question cases, then reports the maximum over rounds for its summary ASR.","Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",source_reviewed_pending_author_signoff,pending
khan2025agents_under_siege,,attack_candidate,pending_claim_level_extraction,Internal/source-side attacker with ability to inject through an initial agent and partial topology/defense knowledge.,"Partitions and routes adversarial prompt chunks, knows target architecture and partial network/safety placement, optimizes prompt tokens.","Graph-modeled LLM network, chunk accumulation at target memory, edge token budgets and variable arrival order, target model known.",Minimum-cost maximum-flow route selection plus permutation-invariant adversarial prompt optimization.,Communication topology; message chunks; edge safety filters; target memory/context.,Target-agent safety/instruction integrity failure; graph-mediated jailbreak. Population compromise is not directly measured.,Harmful target output and defense-evasion; topology affects ASR.,"ASR over harmful prompts after one sampled chunk permutation, reported as min/mean/max across three random-topology trials; detector F1 for safety mechanisms.","Prompt/test-case level across JailbreakBench, AdversarialBench, and in-the-wild jailbreak sets; not population infection.",PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,assistant_source_reviewed_pending_author_signoff,pending
mao2025agentsafe,,attack_candidate,pending_claim_level_extraction,Unauthorized or impersonating member agent; malicious writer to shared memory.,"Request protected information, present false authority, or write poisoned content to shared memory.",Agents and information are assigned hierarchical security labels; ThreatSieve and HierarCache are trusted enforcement components.,"Authority-aware message filtering and hierarchical memory management are tested against unauthorized requests, impersonation, and poisoning.",Inter-agent communication; identity/authority metadata; shared memory.,Cross-principal confidentiality and shared-state integrity failure.,Unauthorized disclosure or downstream influence from poisoned memory in the evaluated scenarios.,"Defense success rate under adversarial scenarios, task utility, and scalability measures.","Attack-scenario/trial level; the abstract’s “above 80%” is an aggregate defense success statement, not a universal guarantee.",arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.,assistant_source_reviewed_pending_author_signoff,pending
ebrahimi2025credibility,,attack_candidate,pending_claim_level_extraction,Adversarial or persistently unreliable member agents in iterative question answering.,Submit misleading answers/contributions through the normal collaboration protocol.,Agent identity persists across queries; past contribution quality can be scored; the credibility updater and aggregator are trusted.,Historical credibility scores attenuate the influence of agents whose prior contributions were judged poor.,Member contributions; identity/history state; collective aggregation.,Collective decision-integrity failure under adversarial member influence.,Reduced answer accuracy under adversarial populations and empirical recovery from credibility-weighted aggregation.,Final task accuracy/robustness by adversarial population ratio; credibility values and related ablations.,"Question/task-instance level aggregated over experimental sets. “Adversary-majority” is an empirical task-accuracy condition, not Byzantine agreement.","ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff.",assistant_source_reviewed_pending_author_signoff,pending
