cve_id,title,affected_product,publication_date,scope_relation,interaction_dependency,vulnerability_or_mechanism,security_property_violated,impact,official_cve_url,vendor_advisory,verification_status,cutoff
CVE-2025-47777,5ire Client Vulnerable to Cross-Site Scripting and Remote Code Execution,5ire MCP client,2025-05-14,protocol_ecosystem,MCP client used to connect an agent to external servers; not by itself evidence of a multi-agent failure,stored XSS in chatbot responses and unsafe Electron protocol handling,integrity; confidentiality,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-47777,https://github.com/nanbingxyz/5ire/security/advisories/GHSA-mr8w-mmvv-6hq8,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-34072,Anthropic Slack MCP Server zero-click data exfiltration via link unfurling,Deprecated Anthropic Slack MCP Server,2025-07-02,protocol_ecosystem,An AI agent processes untrusted data and posts an attacker-crafted URL; Slack preview services create the outbound exfiltration request.,prompt-influenced hyperlink generation combined with automatic link unfurling,confidentiality,zero-click exfiltration of sensitive data,https://www.cve.org/CVERecord?id=CVE-2025-34072,https://embracethered.com/blog/posts/2025/security-advisory-anthropic-slack-mcp-server-data-leakage,official_cve_and_research_advisory_verified,2026-07-01
CVE-2025-53365,MCP Python SDK streamable HTTP session exception denial of service,modelcontextprotocol/python-sdk before 1.10.0,2025-07-04,protocol_ecosystem,A malicious MCP client can deliberately trigger an exception after opening a streamable HTTP session.,uncaught ClosedResourceError after a client-triggered exception,availability,server crash requiring restart,https://www.cve.org/CVERecord?id=CVE-2025-53365,https://github.com/modelcontextprotocol/python-sdk/security/advisories/GHSA-j975-95f5-7wqh,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2025-53366,MCP Python SDK FastMCP validation error denial of service,modelcontextprotocol/python-sdk before 1.9.4,2025-07-04,protocol_ecosystem,Malformed requests sent through the MCP transport can terminate the FastMCP server path.,unhandled validation exception,availability,service unavailability until restart,https://www.cve.org/CVERecord?id=CVE-2025-53366,https://github.com/modelcontextprotocol/python-sdk/security/advisories/GHSA-3qhf-m339-9g5v,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2025-53832,Lara Translate MCP Server command injection,@translated/lara-mcp,2025-07-21,protocol_ecosystem,An MCP server is an agent-tool interaction endpoint; this record is contextual unless deployed between separately addressable agents,unsanitized import_tmx parameters passed to child_process.exec,integrity; authorization,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-53832,https://github.com/translated/lara-mcp/security/advisories/GHSA-xj5p-8h7g-76m7,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-54133,Cursor MCP install deeplink hides command arguments,Cursor MCP deeplink handler,2025-08-01,protocol_ecosystem,The flaw crosses an MCP installation trust boundary but is not inherently multi-agent,hidden command arguments in a social-engineering installation flow,integrity; authorization,arbitrary command execution after user confirmation,https://www.cve.org/CVERecord?id=CVE-2025-54133,https://github.com/cursor/cursor/security/advisories/GHSA-r22h-5wp2-2wfv,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-8665,Agno MultiMCPTools command injection,agno-agi agno up to 1.7.5,2025-08-06,agent_framework_and_protocol_ecosystem,The vulnerable MCPTools or MultiMCPTools handler constructs operating-system commands from attacker-controlled configuration.,OS command injection through the command argument,integrity; authorization; availability,remote command execution,https://www.cve.org/CVERecord?id=CVE-2025-8665,https://nvd.nist.gov/vuln/detail/CVE-2025-8665,official_cve_verified_unreviewed_advisory,2026-07-01
CVE-2025-58444,MCP Inspector command execution through an untrusted MCP server,MCP Inspector before 0.16.6,2025-09-08,protocol_ecosystem,The vulnerable path is an inspector-to-untrusted-server interaction,malicious redirect URI triggers XSS and can reach the inspector proxy,integrity; authorization,arbitrary command execution,https://www.cve.org/CVERecord?id=CVE-2025-58444,https://github.com/modelcontextprotocol/inspector/security/advisories/GHSA-g9hg-qhmf-q45m,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-56405,Unauthorized control of litmus MCP service,litmusautomation litmus-mcp-server,2025-09-10,protocol_ecosystem,The affected SSE endpoint mediates agent-to-tool communication,missing access control on the SSE service,authorization; confidentiality,unauthorized control of the MCP service,https://www.cve.org/CVERecord?id=CVE-2025-56405,https://github.com/litmusautomation/litmus-mcp-server/issues/4,official_cve_verified_vendor_issue_only,2026-07-01
CVE-2025-56406,mcp-neo4j SSE service information disclosure and command execution,mcp-neo4j 0.3.0,2025-09-10,protocol_ecosystem,The affected SSE service exposes a shared data and tool endpoint to agent clients,missing access control on the SSE service; supplier disputes the assumed deployment boundary,authorization; confidentiality; integrity,sensitive information disclosure or arbitrary command execution,https://www.cve.org/CVERecord?id=CVE-2025-56406,https://github.com/neo4j-contrib/mcp-neo4j/issues/124,official_cve_verified_disputed,2026-07-01
CVE-2025-63603,MCP Data Science Server command injection,MCP server for data exploration 0.1.6,2025-11-18,protocol_ecosystem,The vulnerable run_script tool is exposed through an MCP interaction endpoint,unsafe Python exec with unrestricted builtins,integrity; authorization,arbitrary code execution with server privileges,https://www.cve.org/CVERecord?id=CVE-2025-63603,https://github.com/reading-plus-ai/mcp-server-data-exploration/issues/12,official_cve_verified_vendor_issue_only,2026-07-01
CVE-2025-66414,MCP TypeScript SDK DNS rebinding protection disabled by default,@modelcontextprotocol/sdk before 1.24.0,2025-12-02,protocol_ecosystem,A malicious website can reach a locally running unauthenticated HTTP MCP server through DNS rebinding.,missing default Host and Origin protection for local HTTP transports,authorization; confidentiality; integrity,tool invocation or resource access on behalf of the local user,https://www.cve.org/CVERecord?id=CVE-2025-66414,https://github.com/modelcontextprotocol/typescript-sdk/security/advisories/GHSA-w48q-cv73-mx4w,official_nvd_or_cve_and_advisory_verified,2026-07-01
CVE-2025-66416,DNS rebinding protection disabled by default in MCP Python SDK,MCP Python SDK before 1.23.0,2025-12-02,protocol_ecosystem,The flaw lets a malicious website invoke tools or resources on a local MCP server,DNS rebinding against unauthenticated localhost HTTP servers,authorization; confidentiality; integrity,tool invocation or resource access on behalf of the user,https://www.cve.org/CVERecord?id=CVE-2025-66416,https://github.com/modelcontextprotocol/python-sdk/security/advisories/GHSA-9h52-p55h-vw2f,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-20381,Splunk MCP Server SPL allowlist bypass,Splunk MCP Server app before 0.2.4,2025-12-03,protocol_ecosystem,An agent or user with MCP tool access can exceed the intended query authority,SPL sub-searches bypass the run_splunk_query allowlist,authorization; integrity,unauthorized actions beyond intended MCP restrictions,https://www.cve.org/CVERecord?id=CVE-2025-20381,https://advisory.splunk.com/advisories/SVD-2025-1210,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-68143,mcp-server-git unrestricted repository initialization,Model Context Protocol reference mcp-server-git before 2025.9.25,2025-12-17,protocol_ecosystem,The vulnerable tool extends an agent's effective filesystem authority,git_init accepts arbitrary filesystem locations,authorization; integrity,creation and later manipulation of repositories in accessible directories,https://www.cve.org/CVERecord?id=CVE-2025-68143,https://github.com/modelcontextprotocol/servers/security/advisories/GHSA-5cgr-j3jf-jw3v,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-68669,5ire remote code execution through Mermaid rendering,5ire MCP client through 0.15.2,2025-12-23,protocol_ecosystem,Untrusted content received by an MCP-capable client crosses into its renderer,unsafe Mermaid rendering with HTML enabled,integrity; confidentiality; availability,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-68669,https://github.com/nanbingxyz/5ire/security/advisories/GHSA-5hpf-p8fw-j349,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-0621,MCP TypeScript SDK UriTemplate regular-expression denial of service,@modelcontextprotocol/sdk 1.3.0 to before 1.25.2,2026-01-05,protocol_ecosystem,An untrusted MCP client sends a crafted resources/read URI to a server using exploded resource templates.,catastrophic regular-expression backtracking in UriTemplate,availability,"CPU exhaustion, server hang, or crash",https://www.cve.org/CVERecord?id=CVE-2026-0621,https://github.com/modelcontextprotocol/typescript-sdk/security/advisories/GHSA-cqwc-fm46-7fff,official_nvd_or_cve_and_advisory_verified,2026-07-01
