paper_id,title,authors,source_date,primary_url,publication_status,scope_status,note_path,last_checked,cutoff_reason
ramaswamy2026managedautonomy,Managed Autonomy at Runtime: Gear-Based Safety and Governance for Single- and Multi-Agent Cyber-Physical Systems,"Srini Ramaswamy; Wang Miaosheng",2026-07-01,https://arxiv.org/abs/2607.00334,arXiv-only,not_assessed,,2026-08-06,First retrievable at or after the frozen cutoff
wang2026minos,Minos: A Multi-Agent Collaborative Framework for Provenance-Based Backward Tracking,"Jiahui Wang; Zhenyuan Li; Zhengkai Wang; Xiangmin Shen; Fan Zhang",2026-07-01,https://arxiv.org/abs/2607.00440,accepted ESORICS 2026 (author-stated),not_assessed,,2026-08-06,First retrievable at or after the frozen cutoff
yang2026riseashes,Rise From The Ashes: LLM-based Static Analysis for Deep Learning Framework Bugs,"Shaoyu Yang; Haifeng Lin; Chunrong Fang; Xiang Chen; Wei Cheng; Jiawei Liu; Yiyu Zhang; Hongyu Liu; Zhenyu Chen",2026-07-01,https://arxiv.org/abs/2607.00555,arXiv-only,not_assessed,,2026-08-06,First retrievable at or after the frozen cutoff
he2026pentestsurvey,"A Survey of LLM-Driven Penetration Testing: Taxonomy, Co-Evolution, and Open Challenges","Zheyuan He; Jiaxun Dong; Zihao Li; Ting Chen; Gelei Deng; Feng Luo; Jinkun Ji; Yuanlong Cao; Xiapu Luo",2026-07-01,https://arxiv.org/abs/2607.02605,arXiv-only,not_assessed,,2026-08-06,First retrievable at or after the frozen cutoff
fernandez2026registercompression,Semantic Register Compression in Multi-Agent LLM Cascades,Manuele Tele Junior Fernandez,2026-05-12,https://arxiv.org/abs/2607.14119,arXiv-only,not_assessed,,2026-08-06,Post-cutoff indexed version; source reports an earlier version date
wang2026planflip,PlanFlip: Attacking Multi-Agent LLM Systems via Planning-Phase Prompt Injection,Yuhang Wang,2026-04-30,https://arxiv.org/abs/2607.16199,arXiv-only,not_assessed,,2026-08-06,Post-cutoff identifier; source reports an earlier submission date
zhang2026openevoshield,OpenEvoShield: Dual Non-Stationary Continual Defense for Open-World Multi-Agent System Attacks,"Litian Zhang; Chaozhuo Li; Yuting Zhang; Zejian Chen; Bingyu Yan; Qiwei Ye",2026-05-13,https://arxiv.org/abs/2607.19351,arXiv-only,not_assessed,,2026-08-06,Post-cutoff identifier; source reports an earlier submission date
sidik2026topologymutation,"Autonomous Topology Mutation: Safe Runtime Restructuring for Multi-Agent LLM Systems with Capability, State, and Shadow Invariants","Bronislav Sidik; Chaya Levi; Nizzan Kimhi",2026-06-04,https://arxiv.org/abs/2607.20488,arXiv-only,not_assessed,,2026-08-06,Post-cutoff identifier; source reports an earlier submission date
shehata2026formalismtrap,The Formalism Trap: Are LLM-as-a-Judge Evaluators Blinded by Consensus Mimicry under Social Load?,"Dahlia Shehata; Ming Li",2026-05-20,https://arxiv.org/abs/2607.28641,arXiv-only,not_assessed,,2026-08-06,Post-cutoff identifier; source reports an earlier submission date
bappy2026adversarialpipelines,Adversarial Attacks in Multi-Agent LLM Pipelines: Unveiling Structural Vulnerabilities in Agentic AI Architectures,"Faisal Haque Bappy; Tahrim Hossain; Tarannum Shaila Zaman; Raiful Hasan; Kamrul Hasan; Tariqul Islam",2026-08-01,https://arxiv.org/abs/2608.00718,accepted IEEE GLOBECOM 2026 (author-stated),would_meet_scope,papers/post_cutoff/attacks/2026_bappy_adversarial_pipelines.md,2026-08-06,First submitted after the frozen cutoff
wang2026weclawarena,WeClawArena: An Auditable Sandbox and Benchmark for Cross-User Agents Collaboration and Security in Human-Centered Agent Networks,"Prince Zizhuang Wang; Aojie Yuan; Haiyue Zhang; Xiyang Hu; Yue Zhao; Shuli Jiang",2026-08-04,https://arxiv.org/abs/2608.03499,arXiv-only,would_meet_scope,papers/post_cutoff/evaluations/2026_wang_weclawarena.md,2026-08-06,First submitted after the frozen cutoff
