work_key,canonical_paper_id,title,identifier_type,identifier,identifier_status,observed_in_routes
yu2025trustworthyagents,yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,arxiv,1896.37365,canonical,canonical:yu2025trustworthyagents;structured-exclude:yu2025trustworthyagents
supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth,Enhancing Robustness of LLM-Driven Multi-Agent Systems through Randomized Smoothing,arxiv,2025.10377,canonical,canonical:supp_enhancing_robustness_of_llm_driven_multi_agent_systems_through_randomized_smooth
arxiv:2026.01704,,Interruptible Multi-Agent Debate: Sentence-Level Disclosure and Urgency-Based Turn-Taking for Early Error Correction,arxiv,2026.01704,canonical,broad:doi:10.14569/ijacsa.2026.0170403;targeted:doi:10.14569/ijacsa.2026.0170403;venue:international_journal_of_advanced_computer_science_and_applications:10_14569_ijacsa_2026_0170403
rabieinejad2026alteda,rabieinejad2026alteda,ALTEDA: An Adaptive Layered Threat Detection Architecture for Multi-Agent Systems,arxiv,2026.10476,canonical,canonical:rabieinejad2026alteda
xu2026trust_paradox,xu2026trust_paradox,The Trust Paradox in LLM-Based Multi-Agent Systems: When Collaboration Becomes a Security Vulnerability,arxiv,2026.36950,canonical,canonical:xu2026trust_paradox
elyagoubi2026agentleak,elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,arxiv,2026.37045,canonical,canonical:elyagoubi2026agentleak
arxiv:2306.03314,,Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents,arxiv,2306.03314,canonical,search:arxiv:2306.03314
arxiv:2308.12086,,Out of the Cage: How Stochastic Parrots Win in Cyber Security Environments,arxiv,2308.12086,canonical,search:doi:10.5220/0012391800003636
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",arxiv,2309.17234,canonical,broad:doi:10.52202/079017-2658;peerfirst:doi:10.52202/079017-2658;search:doi:10.52202/079017-2658;targeted:doi:10.52202/079017-2658;venue:neurips_2024:10_52202_079017_2658
arxiv:2310.00322,,Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games.,arxiv,2310.00322,canonical,broad:doi:10.1109/tpami.2026.3694367;peerfirst:doi:10.1109/tpami.2026.3694367;search:doi:10.1109/tpami.2026.3694367;targeted:doi:10.1109/tpami.2026.3694367;venue:ieee_transactions_on_pattern_analysis_and_machine_intelligence:10_1109_tpami_2026_3694367
arxiv:2310.10844,,Survey of Vulnerabilities in Large Language Models Revealed by Adversarial Attacks,arxiv,2310.10844,canonical,search:arxiv:2310.10844
arxiv:2311.06622,,TrainerAgent: Customizable and Efficient Model Training through LLM-Powered Multi-Agent System,arxiv,2311.06622,canonical,search:arxiv:2311.06622
arxiv:2311.08107,,SAIE Framework: Support Alone Isn’t Enough - Advancing LLM Training with Adversarial Remarks,arxiv,2311.08107,canonical,search:doi:10.3233/faia240931
tian2023evil_geniuses,tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,arxiv,2311.11855,canonical,canonical:tian2023evil_geniuses
arxiv:2312.07130,,Harnessing LLM to Attack LLM-Guarded Text-to-Image Models,arxiv,2312.07130,canonical,search:arxiv:2312.07130
arxiv:2401.10019,,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,arxiv,2401.10019,canonical,search:arxiv:2401.10019
zhang2024psysafe,zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,arxiv,2401.11880,canonical,broad:arxiv:2401.11880;peerfirst:arxiv:2401.11880;search:arxiv:2401.11880;targeted:arxiv:2401.11880;venue:acl:10_18653_v1_2024_acl_long_812
arxiv:2401.13011,,CCA: collaborative competitive agents for image editing,arxiv,2401.13011,canonical,search:doi:10.1007/s11704-025-41244-0
arxiv:2402.01411,,CodePori: Large Scale Model for Autonomous Software Development by Using Multi-Agents,arxiv,2402.01411,canonical,search:arxiv:2402.01411
motwani2024secret_collusion,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,arxiv,2402.07510,canonical,broad:doi:10.52202/079017-2336;peerfirst:doi:10.52202/079017-2336;search:doi:10.52202/079017-2336;targeted:doi:10.52202/079017-2336;venue:neurips:10_52202_079017_2336
gu2024agent_smith,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,arxiv,2402.08567,canonical,broad:arxiv:2402.08567;peerfirst:arxiv:2402.08567;search:arxiv:2402.08567;targeted:arxiv:2402.08567;venue:icml:arxiv_2402_08567
arxiv:2402.10178,,TDAG: A Multi-Agent Framework based on Dynamic Task Decomposition and Agent Generation,arxiv,2402.10178,canonical,search:doi:10.1016/j.neunet.2025.107200
arxiv:2402.11314,,Simulating Multi-Stakeholder Decision-Making with Generative Agents in Urban Planning,arxiv,2402.11314,canonical,search:doi:10.3233/atde251076
tan2024wolf_within,tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,arxiv,2402.14859,canonical,canonical:tan2024wolf_within
arxiv:2402.17896,,"Researchy Questions: A Dataset of Multi-Perspective, Decompositional Questions for LLM Web Agents",arxiv,2402.17896,canonical,search:arxiv:2402.17896
arxiv:2403.04783,,AutoDefense: Multi-Agent LLM Defense against Jailbreak Attacks,arxiv,2403.04783,canonical,search:arxiv:2403.04783
arxiv:2403.13313,,Polaris: A Safety-focused LLM Constellation Architecture for Healthcare,arxiv,2403.13313,canonical,search:arxiv:2403.13313
