work_key,title,evidence_set,dominant_contribution,venue,paper_path,note_status,system_studied,multi_agent_dependency,threat_actor,attack_or_failure,defense,evaluation,sok_relevance,security_terms,weak_terms,preliminary_tier,final_verdict,final_reason
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,attack,2026 1st International Conference on Emerging Technologies and Engineering Systems (ICETES),papers/attacks/2026_1st_international_conference_on_emerging_technologies_and_enginee/2026_rag_induced_failures_in_multi_agent_large_language_model_debate.md,metadata_only,,,,,,,,attack;integrity,,metadata_only_requires_primary_source_check,PENDING_MANUAL_REVIEW,
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,AAAI,papers/attacks/aaai/2026_yan_attack_messages.md,detailed_unreviewed,"LLM multi-agent systems using flat, chain, or hierarchical message-passing architectures.","The adversary controls some communication links, observes messages across rounds, and adaptively rewrites them while leaving agent states unchanged. The attack objective is deviation of the joint task outcome through the communication transcript.",An on-path communication adversary.,"An attack-policy model chooses whether, where, and how to rewrite intercepted messages across rounds while satisfying two similarity thresholds.",No new defense; an LLM tamper detector is part of the threat/evaluation model.,,The paper separates an exposed communication surface and attack mechanism from the resulting system-level task-integrity violation.,adversar;attack;authentication;compromis;integrity;malicious;security;tamper;threat,,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,attack,AAAI,papers/attacks/aaai/2026_wang_shadows_code.md,detailed_unreviewed,"End-to-end multi-agent software-development systems using design, coding, and testing roles in ChatDev, MetaGPT, and AgentVerse.",The paper studies malicious requirements entering through a user and benign requirements interacting with compromised role agents. It varies which development phase is compromised or defended and measures the final software assembled through the workflow.,A malicious user or compromised third-party development agent.,"IMBIA combines a benign software request with an implicit malicious behavior; in the compromised-agent scenario, malicious instructions are embedded in selected role profiles.",Adv-IMBIA adds security instructions at the user interface or selected agent-profile stages.,,It illustrates how individually scoped role capabilities compose into unauthorized final software behavior.,adversar;attack;authorization;compromis;injection;integrity;jailbreak;malicious;security;threat,,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,set1_core,attack,AAAI Symposium Series,papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md,detailed_unreviewed,LLM orchestration pipelines that decompose an enterprise request into subtasks executed or assessed separately by multiple components or agents.,"Each subtask appears benign in isolation, while their composed plan violates a security policy. The attack therefore depends on distributed task decomposition and on guards that observe only local pieces of the execution.",,- Attack surface: orchestrator task decomposition and per-subtask safety checks. - Attack mechanism: harmful intent is fragmented into individually benign subtasks whose composition performs an unauthorized operation. - System-level failure: compositional authorization and information-flow failure. - Security consequence: policy-violating plans pass all local classifiers.,"- Defense mechanism: a Compositional Intent Verifier combined with information-flow-control taint analysis. - Intervention point: before subtask dispatch, at the complete-plan boundary. - Required observability: all subtasks, their data dependencies, and the original request. - Assumptions: the plan is available before execution and can be checked as a whole. - Limitations: the reported study uses 14 generated enterprise scenarios and a particular orchestrator rather than deployed production traces.","- Evaluated systems: an LLM orchestrator plus six subtask-level classifier families and three independent validation signals. - Agent configuration: one orchestrator decomposes each request into a multi-step plan assessed locally and globally. - Dataset or environment: 14 scenarios across finance, security, and HR. - Baselines: local subtask classifiers without compositional plan checking. - Metrics: attack success, classifier pass rate, and defense false-positive rate. - Main results: 10 of 14 requests yield policy-violating plans while every individual subtask passes local checks; the reported combined defense detects all confirmed cases with no false positives in this study.","- Included concepts: task decomposition, partial observability, compositional intent, provenance gaps, and pre-dispatch enforcement. - Taxonomy implications: the attack mechanism differs from the violated property, which is system-level action and authorization integrity. - Supported research questions: what global context a defense needs to validate a distributed plan. - Important limitations: reported sufficiency applies to the paper's scenarios and checker configuration, not arbitrary multi-agent workflows.",attack;authorization;injection;integrity;malicious;security;taint;threat,compliance;safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,ACL,papers/attacks/acl/2025_men_troublemaker.md,source_reviewed,"Large text-based multi-agent societies whose agents maintain independent memories and communicate over line, star, and other graph structures.","One attacker attempts to spread jailbreak content across honest agents; retrieval, replication, topology, and population size determine propagation.",,- Attack surface: independent memories and inter-agent messages. - Attack mechanism: optimized retrieval and replication suffixes make poison retrievable and contagious. - System-level failure: propagation and containment failure. - Security consequence: jailbreak spreads from one malicious member to honest agents.,- Defense mechanism: Not reported as the primary contribution. - Intervention point: Not reported. - Required observability: Not reported. - Assumptions: Not reported. - Limitations: the reported topology and population settings do not cover all deployed communication and memory designs.,"- Evaluated systems: text-based LLM agents with independent memory. - Agent configuration: one attacker and honest agents under multiple topologies; includes a 100-agent setting. - Dataset or environment: TMCHT. - Baselines: non-optimized and prior jailbreak approaches described in the paper. - Metrics: attack success and propagation effectiveness. - Main results: ARCJ improves reported attack outcomes by 23.51% in line, 18.95% in star, and 52.93% in the 100-agent setting.","- Included concepts: contagious jailbreak, retrieval, replication, independent memory, topology, scale. - Taxonomy implications: supports behavioral contagion and memory-integrity analysis. - Supported research questions: how sparse graphs and large populations affect attack attenuation. - Important limitations: benchmark improvements are not directly comparable to other infection metrics without denominator normalization.",adversar;attack;compromis;integrity;jailbreak;malicious;poison;security;threat,safety,strong_existing_source_evidence,PENDING_MANUAL_REVIEW,
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,ACL,papers/attacks/acl/2025_khan_agents_under_siege.md,detailed_unreviewed,"Pragmatic multi-agent LLM systems with communication latency, limited token bandwidth, varied graph topology, and distributed safety mechanisms.","The attack optimizes how adversarial prompt components traverse a constrained agent network; message ordering, routes, and distributed defenses are part of the attack objective.",,"- Attack surface: messages, graph paths, and distributed safety checks. - Attack mechanism: distribute optimized adversarial prompt components across communication paths to evade detection. - System-level failure: collective decision and safety-integrity failure. - Security consequence: unsafe output despite distributed safeguards.","- Defense mechanism: Llama-Guard and PromptGuard variants are evaluated, not introduced. - Intervention point: agent/message content filters. - Required observability: local content presented to each guard. - Assumptions: safeguards inspect distributed prompt fragments locally. - Limitations: evaluated defenses do not reliably prohibit the attack.","- Evaluated systems: Llama, Mistral, Gemma, DeepSeek, and other model variants in multi-agent configurations. - Agent configuration: multiple constrained network topologies. - Dataset or environment: JailbreakBench and AdversarialBench among the reported datasets. - Baselines: conventional attacks and guard variants. - Metrics: attack success and detection/evasion outcomes. - Main results: the authors report improvements up to 7x over conventional attacks in the evaluated settings.","- Included concepts: topology-aware optimization, bandwidth, latency, distributed guard evasion. - Taxonomy implications: topology is a precondition/amplifier, not the violated security property itself. - Supported research questions: whether distributed guardrails compose under fragmented attacks. - Important limitations: evaluation scope does not establish behavior for every deployed framework or closed model.",adversar;attack;injection;integrity;jailbreak;security;threat,reliab;safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,attack,ACL,papers/attacks/acl/2026_yang_among_us.md,detailed_unreviewed,"Multi-model collaboration at four interaction levels: API routing, text exchange, logit aggregation, and weight merging.","The failure arises when one or more malicious contributor models participate in a collaboration pool and influence routing, debate, aggregation, or merging; the measured outcome is degradation of the composed system relative to a benign-only pool.",,"- Attack surface: contributor admission, routing, exchanged text, aggregated logits, and merged parameters. - Attack mechanism: insert models whose outputs or internal behavior have been made malicious through one of four engineering methods. - System-level failure: collective output integrity and safety degradation. - Security consequence: compromised contributors lower performance in reasoning and safety domains and can influence multiple collaboration mechanisms.","- Defense mechanism: external supervisors score contributor outputs and disable or mask models judged malicious. - Intervention point: collaboration supervisor and contributor aggregation. - Required observability: access to candidate model outputs or contributions. - Assumptions: an external supervisor is sufficiently trustworthy and capable of distinguishing malicious from benign contributions. - Limitations: the authors report substantial recovery rather than complete resistance, and evaluate a bounded set of models, tasks, and collaboration methods.","- Evaluated systems: eight methods at API, text, logit, and weight levels. - Agent configuration: pools combining benign and malicious language models, with malicious count and diversity varied in ablations. - Dataset or environment: ten datasets covering safety, reasoning, knowledge, code, and instruction following. - Baselines: corresponding benign-only collaboration systems and unmitigated malicious settings. - Metrics: task performance, degradation relative to the benign system, and performance recovery after mitigation. - Main results: the paper reports average degradation of 7.12% in reasoning and 7.94% in safety and average recovery of 95.31% of initial performance under its supervisor strategies.","- Included concepts: malicious membership, contributor diversity, collaboration level, aggregation, external supervision, and collective integrity. - Taxonomy implications: contributor compromise is an adversary capability; routing, debate, logit aggregation, and weight merging are distinct exposed surfaces rather than separate failure categories. - Supported research questions: how malicious fractions and collaboration mechanisms affect system-level robustness, and what observer scope mitigation requires. - Important limitations: only text-level debate directly matches persistent message-passing LLM-MAS; API, logit, and weight collaboration remain adjacent multi-model composition settings and should be coded separately.",adversar;attack;compromis;integrity;malicious;security;threat,robust;safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,attack,ACL,papers/attacks/acl/2026_wu_cia.md,detailed_unreviewed,Black-box LLM multi-agent systems whose hidden communication graphs were optimized for collaborative task solving.,"The protected asset is the graph of inter-agent edges. CIA induces and correlates intermediate agent outputs to infer those edges from black-box queries, a target that is undefined for one agent.",An external black-box querier.,"Construct queries that elicit diverse reasoning signals, remove global semantic bias, create weak edge labels with an LLM, and train an edge classifier.",No implemented defense; the paper motivates protecting intermediate outputs and reducing topology-revealing correlations.,,"Topology inference is an attack mechanism or enabling step, while the direct failure is structural confidentiality loss; it should not be conflated with topology corruption.",adversar;attack;compromis;confidential;exploit;leak;privacy;security;threat,safety,plausible_requires_manual_confirmation,PENDING_MANUAL_REVIEW,
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,attack,ACL,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md,source_reviewed,"Agentic LLM pipelines with a client agent, remote agents, and star, chain, or DAG routing structures.",A trigger in the user query and a template in one compromised remote agent are benign in isolation but become harmful when routing composes them.,,"- Attack surface: segmented prompts, remote-agent templates, and routing. - Attack mechanism: composition activates a harmful instruction that is absent from every isolated component. - System-level failure: compositional action and safety-integrity failure. - Security consequence: harmful behavior with low false activation.","- Defense mechanism: PromptGuard, Llama-Guard variants, and tool restrictions are evaluated rather than introduced. - Intervention point: local inputs/outputs and tool boundary. - Required observability: tested guards see components locally. - Assumptions: local defenses do not reconstruct full routing provenance. - Limitations: evaluated defenses do not reliably stop the attack.","- Evaluated systems: multi-agent LLM pipelines. - Agent configuration: client plus remote agents under star, chain, and DAG. - Dataset or environment: attack scenarios specified in the paper. - Baselines: non-optimized attacks and existing guards/system controls. - Metrics: attack success and false activation. - Main results: routing-aware optimization improves success while retaining low false activation across evaluated topologies.","- Included concepts: compromised remote agent, routing, fragmented intent, provenance gap. - Taxonomy implications: vulnerability/precondition is cross-component context; mechanism is conjunctive activation. - Supported research questions: whether local monitors can enforce global policies. - Important limitations: evaluated topologies and system controls are bounded.",adversar;attack;authorization;compromis;injection;integrity;malicious;security;threat,reliab;safety,strong_existing_source_evidence,PENDING_MANUAL_REVIEW,
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,attack,ACL,papers/attacks/acl/2026_hu_lying_truths.md,source_reviewed,Agent populations consuming public evidence posts and making belief judgments about rumor events.,Several colluding agents coordinate truthful evidence fragments in an open channel; victim agents synthesize the distributed fragments into a false narrative and may pass that belief to downstream judges.,"A coalition of writer, editor, and director agents.",Colluders select and arrange true fragments so that their composition implies an unsupported false conclusion.,The paper evaluates reasoning prompts and model-based safeguards but does not establish a complete defense against compositional narrative manipulation.,"- Configuration: Coalition attackers, victim belief agents, downstream judge agents, and 14 proprietary and open-weight model families. - Topology: Fixed writer-editor-director attack pipeline plus victim and judge stages. - Baseline or ablation: Base prompts, reasoning variants, alternate constructions, and model families. - Metric: Victim attack success and downstream deception rate. - Unit: Rumor-event case or victim/judge decision. - Denominator: CoPHEME cases used in each evaluated split. - Result boundary: The authors report peak victim ASR of 74.4% for proprietary and 70.6% for open-weight models, with downstream deception above 60% in evaluated settings.","The mechanism is cognitive collusion, while the failed system property is collective decision integrity; it also exposes why per-message truth checks are insufficient.",adversar;attack;backdoor;collusion;compromis;deception;integrity;security;threat,misinformation,strong_existing_source_evidence,PENDING_MANUAL_REVIEW,
