cve_id,title,affected_product,publication_date,scope_relation,interaction_dependency,vulnerability_or_mechanism,security_property_violated,impact,official_cve_url,vendor_advisory,verification_status,cutoff
CVE-2025-47777,5ire Client Vulnerable to Cross-Site Scripting and Remote Code Execution,5ire MCP client,2025-05-14,protocol_ecosystem,"MCP client used to connect an agent to external servers; not by itself evidence of a multi-agent failure",stored XSS in chatbot responses and unsafe Electron protocol handling,integrity; confidentiality,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-47777,https://github.com/nanbingxyz/5ire/security/advisories/GHSA-mr8w-mmvv-6hq8,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-53832,Lara Translate MCP Server command injection,@translated/lara-mcp,2025-07-21,protocol_ecosystem,"An MCP server is an agent-tool interaction endpoint; this record is contextual unless deployed between separately addressable agents",unsanitized import_tmx parameters passed to child_process.exec,integrity; authorization,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-53832,https://github.com/translated/lara-mcp/security/advisories/GHSA-xj5p-8h7g-76m7,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-54133,Cursor MCP install deeplink hides command arguments,Cursor MCP deeplink handler,2025-08-01,protocol_ecosystem,"The flaw crosses an MCP installation trust boundary but is not inherently multi-agent",hidden command arguments in a social-engineering installation flow,integrity; authorization,arbitrary command execution after user confirmation,https://www.cve.org/CVERecord?id=CVE-2025-54133,https://github.com/cursor/cursor/security/advisories/GHSA-r22h-5wp2-2wfv,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-56405,Unauthorized control of litmus MCP service,litmusautomation litmus-mcp-server,2025-09-10,protocol_ecosystem,"The affected SSE endpoint mediates agent-to-tool communication",missing access control on the SSE service,authorization; confidentiality,unauthorized control of the MCP service,https://www.cve.org/CVERecord?id=CVE-2025-56405,https://github.com/litmusautomation/litmus-mcp-server/issues/4,official_cve_verified_vendor_issue_only,2026-07-01
CVE-2025-56406,mcp-neo4j SSE service information disclosure and command execution,mcp-neo4j 0.3.0,2025-09-10,protocol_ecosystem,"The affected SSE service exposes a shared data and tool endpoint to agent clients",missing access control on the SSE service; supplier disputes the assumed deployment boundary,authorization; confidentiality; integrity,sensitive information disclosure or arbitrary command execution,https://www.cve.org/CVERecord?id=CVE-2025-56406,https://github.com/neo4j-contrib/mcp-neo4j/issues/124,official_cve_verified_disputed,2026-07-01
CVE-2025-58444,MCP Inspector command execution through an untrusted MCP server,MCP Inspector before 0.16.6,2025-09-08,protocol_ecosystem,"The vulnerable path is an inspector-to-untrusted-server interaction",malicious redirect URI triggers XSS and can reach the inspector proxy,integrity; authorization,arbitrary command execution,https://www.cve.org/CVERecord?id=CVE-2025-58444,https://github.com/modelcontextprotocol/inspector/security/advisories/GHSA-g9hg-qhmf-q45m,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-63603,MCP Data Science Server command injection,MCP server for data exploration 0.1.6,2025-11-18,protocol_ecosystem,"The vulnerable run_script tool is exposed through an MCP interaction endpoint",unsafe Python exec with unrestricted builtins,integrity; authorization,arbitrary code execution with server privileges,https://www.cve.org/CVERecord?id=CVE-2025-63603,https://github.com/reading-plus-ai/mcp-server-data-exploration/issues/12,official_cve_verified_vendor_issue_only,2026-07-01
CVE-2025-66416,DNS rebinding protection disabled by default in MCP Python SDK,MCP Python SDK before 1.23.0,2025-12-02,protocol_ecosystem,"The flaw lets a malicious website invoke tools or resources on a local MCP server",DNS rebinding against unauthenticated localhost HTTP servers,authorization; confidentiality; integrity,tool invocation or resource access on behalf of the user,https://www.cve.org/CVERecord?id=CVE-2025-66416,https://github.com/modelcontextprotocol/python-sdk/security/advisories/GHSA-9h52-p55h-vw2f,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-68143,mcp-server-git unrestricted repository initialization,Model Context Protocol reference mcp-server-git before 2025.9.25,2025-12-17,protocol_ecosystem,"The vulnerable tool extends an agent's effective filesystem authority",git_init accepts arbitrary filesystem locations,authorization; integrity,creation and later manipulation of repositories in accessible directories,https://www.cve.org/CVERecord?id=CVE-2025-68143,https://github.com/modelcontextprotocol/servers/security/advisories/GHSA-5cgr-j3jf-jw3v,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-68669,5ire remote code execution through Mermaid rendering,5ire MCP client through 0.15.2,2025-12-23,protocol_ecosystem,"Untrusted content received by an MCP-capable client crosses into its renderer",unsafe Mermaid rendering with HTML enabled,integrity; confidentiality; availability,remote code execution,https://www.cve.org/CVERecord?id=CVE-2025-68669,https://github.com/nanbingxyz/5ire/security/advisories/GHSA-5hpf-p8fw-j349,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-20381,Splunk MCP Server SPL allowlist bypass,Splunk MCP Server app before 0.2.4,2025-12-03,protocol_ecosystem,"An agent or user with MCP tool access can exceed the intended query authority",SPL sub-searches bypass the run_splunk_query allowlist,authorization; integrity,unauthorized actions beyond intended MCP restrictions,https://www.cve.org/CVERecord?id=CVE-2025-20381,https://advisory.splunk.com/advisories/SVD-2025-1210,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2025-61260,Codex CLI code execution through project-local MCP configuration,OpenAI Codex CLI through 0.23.0,2026-04-14,protocol_ecosystem,"A malicious repository controls configuration for spawned MCP processes; not inherently multi-agent",automatic loading of project-local configuration containing commands,integrity; authorization,arbitrary code execution,https://www.cve.org/CVERecord?id=CVE-2025-61260,https://research.checkpoint.com/2025/openai-codex-cli-command-injection-vulnerability/,official_cve_and_research_advisory_verified,2026-07-01
CVE-2026-34237,Wildcard CORS in MCP Java SDK,MCP Java SDK before 0.83.0 or affected 1.x patch releases,2026-03-31,protocol_ecosystem,"The SDK implements client-server transport used by agent interaction endpoints",hardcoded wildcard Access-Control-Allow-Origin,authorization; confidentiality; integrity,cross-origin access to exposed MCP HTTP services,https://www.cve.org/CVERecord?id=CVE-2026-34237,https://github.com/modelcontextprotocol/java-sdk/security/advisories/GHSA-hv2w-8mjj-jw22,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-39974,Authenticated SSRF in multi-tenant n8n-MCP,n8n-MCP before 2.47.4,2026-04-09,protocol_ecosystem,"The vulnerable deployment serves multiple MCP clients and reflects fetched data through JSON-RPC",attacker-controlled instance URL in multi-tenant HTTP headers,confidentiality; authorization,access to cloud metadata and internal network resources,https://www.cve.org/CVERecord?id=CVE-2026-39974,https://github.com/czlonkowski/n8n-mcp/security/advisories/GHSA-4ggg-h7ph-26qr,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40088,PraisonAI workflow command injection,PraisonAI multi-agent teams system before 4.5.121,2026-04-09,direct_multiagent_framework,"The vulnerable functions execute LLM-generated tool calls and workflow definitions in a multi-agent teams framework",shell metacharacters reach execute_command and workflow shell execution,integrity; authorization; availability,arbitrary shell command execution,https://www.cve.org/CVERecord?id=CVE-2026-40088,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-2763-cj5r-c79m,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40150,PraisonAIAgents SSRF and local file read,PraisonAIAgents before 1.5.128,2026-04-09,direct_multiagent_framework,"The vulnerable web_crawl tool accepts URLs selected by agents in a multi-agent teams system",no scheme or private-network validation before fetching,confidentiality; authorization,cloud metadata access; internal service access; local file read,https://www.cve.org/CVERecord?id=CVE-2026-40150,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-8f4v-xfm9-3244,official_cve_and_vendor_advisory_verified,2026-07-01
CVE-2026-40156,PraisonAI implicit arbitrary code execution through tools.py,PraisonAI before 4.5.128,2026-04-10,direct_multiagent_framework,"The framework implicitly imports project-local agent tools before agent execution",automatic execution of an untrusted tools.py file,integrity; authorization,arbitrary code execution at startup,https://www.cve.org/CVERecord?id=CVE-2026-40156,https://github.com/MervinPraison/PraisonAI/security/advisories/GHSA-2g3w-cpc4-chr4,official_cve_and_vendor_advisory_verified,2026-07-01
