work_key,title,evidence_set,dominant_contribution,venue,primary_url,doi,arxiv_id,paper_path,note_status,scope_reason_current,interaction_dependence_current,risk_or_property_current,system_studied,multi_agent_dependency,threat_or_security_model,attack_or_failure,defense,evaluation,sok_relevance,security_hits,interaction_hits,weak_hits,triage,final_verdict,recommendation,final_reason,source_checked
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,attack,2026 1st International Conference on Emerging Technologies and Engineering Systems (ICETES),,10.1109/icetes68504.2026.11518808,,papers/attacks/2026_1st_international_conference_on_emerging_technologies_and_enginee/2026_rag_induced_failures_in_multi_agent_large_language_model_debate.md,metadata_only,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",interaction_amplified,R3_collective_integrity,,,,,,,,integrity;security,collective;inter-agent;multi-agent,,source_check_metadata_security,KEEP,keep,"Paper-level source/metadata review supports a security or privacy mechanism/evaluation that is tied to inter-agent communication, state, delegation, aggregation, topology, identity, collusion, malicious membership, or propagation; no boundary issue requiring author adjudication surfaced.",yes_source_or_official_metadata_pass
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/40224,10.1609/aaai.v40i35.40224,2508.03125,papers/attacks/aaai/2026_yan_attack_messages.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",unclear,unspecified,"LLM multi-agent systems using flat, chain, or hierarchical message-passing architectures.","The adversary controls some communication links, observes messages across rounds, and adaptively rewrites them while leaving agent states unchanged. The attack objective is deviation of the joint task outcome through the communication transcript.",An on-path communication adversary.,,,,,adversar;attack;security;tamper,communication;inter-agent;message;multi-agent,,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,attack,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/41134,10.1609/aaai.v40i44.41134,2511.18467,papers/attacks/aaai/2026_wang_shadows_code.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",unclear,unspecified,"End-to-end multi-agent software-development systems using design, coding, and testing roles in ChatDev, MetaGPT, and AgentVerse.",The paper studies malicious requirements entering through a user and benign requirements interacting with compromised role agents. It varies which development phase is compromised or defended and measures the final software assembled through the workflow.,A malicious user or compromised third-party development agent.,,,,,compromis;malicious;security,inter-agent;multi-agent,,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,set1_core,attack,AAAI Symposium Series,https://ojs.aaai.org/index.php/AAAI-SS/article/view/42936,10.1609/aaaiss.v9i1.42936,2604.08608,papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",composition_induced,R5_private_data_leakage,LLM orchestration pipelines that decompose an enterprise request into subtasks executed or assessed separately by multiple components or agents.,"Each subtask appears benign in isolation, while their composed plan violates a security policy. The attack therefore depends on distributed task decomposition and on guards that observe only local pieces of the execution.","- Protected assets: plan integrity, information-flow policy, and authorization. - Threat actor: a user submitting one legitimately phrased enterprise request. - Trusted components: individual subtask classifiers and the orchestrator are treated as non-malicious but locally scoped. - Attacker capabilities: choose the initial request; no later interaction or system modification is required. - Security assumptions: the orchestrator autonomously decomposes work and local controls assess subtasks without reconstructing their joint intent.",- Attack surface: orchestrator task decomposition and per-subtask safety checks. - Attack mechanism: harmful intent is fragmented into individually benign subtasks whose composition performs an unauthorized operation. - System-level failure: compositional authorization and information-flow failure. - Security consequence: policy-violating plans pass all local classifiers.,"- Defense mechanism: a Compositional Intent Verifier combined with information-flow-control taint analysis. - Intervention point: before subtask dispatch, at the complete-plan boundary. - Required observability: all subtasks, their data dependencies, and the original request. - Assumptions: the plan is available before execution and can be checked as a whole. - Limitations: the reported study uses 14 generated enterprise scenarios and a particular orchestrator rather than deployed production traces.","- Evaluated systems: an LLM orchestrator plus six subtask-level classifier families and three independent validation signals. - Agent configuration: one orchestrator decomposes each request into a multi-step plan assessed locally and globally. - Dataset or environment: 14 scenarios across finance, security, and HR. - Baselines: local subtask classifiers without compositional plan checking. - Metrics: attack success, classifier pass rate, and defense false-positive rate. - Main results: 10 of 14 requests yield policy-violating plans while every individual subtask passes local checks; the reported combined defense detects all confirmed cases with no false positives in this study.","- Included concepts: task decomposition, partial observability, compositional intent, provenance gaps, and pre-dispatch enforcement. - Taxonomy implications: the attack mechanism differs from the violated property, which is system-level action and authorization integrity. - Supported research questions: what global context a defense needs to validate a distributed plan. - Important limitations: reported sufficiency applies to the paper's scenarios and checker configuration, not arbitrary multi-agent workflows.",attack;authorization;integrity;leak;malicious;security;taint;threat,inter-agent;multi-agent;orchestrat,safety,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,ACL,https://aclanthology.org/2025.acl-long.859/,10.18653/v1/2025.acl-long.859,2410.16155,papers/attacks/acl/2025_men_troublemaker.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",unclear,R1_propagation_persistence,"Large text-based multi-agent societies whose agents maintain independent memories and communicate over line, star, and other graph structures.","One attacker attempts to spread jailbreak content across honest agents; retrieval, replication, topology, and population size determine propagation.",- Protected assets: integrity of each agent's memory and population safety. - Threat actor: one attacker/troublemaker agent. - Trusted components: honest agents and their initially clean memories. - Attacker capabilities: inject crafted content that recipients may retrieve and replicate. - Security assumptions: agents store interaction content and later retrieve it.,- Attack surface: independent memories and inter-agent messages. - Attack mechanism: optimized retrieval and replication suffixes make poison retrievable and contagious. - System-level failure: propagation and containment failure. - Security consequence: jailbreak spreads from one malicious member to honest agents.,- Defense mechanism: Not reported as the primary contribution. - Intervention point: Not reported. - Required observability: Not reported. - Assumptions: Not reported. - Limitations: the reported topology and population settings do not cover all deployed communication and memory designs.,"- Evaluated systems: text-based LLM agents with independent memory. - Agent configuration: one attacker and honest agents under multiple topologies; includes a 100-agent setting. - Dataset or environment: TMCHT. - Baselines: non-optimized and prior jailbreak approaches described in the paper. - Metrics: attack success and propagation effectiveness. - Main results: ARCJ improves reported attack outcomes by 23.51% in line, 18.95% in star, and 52.93% in the 100-agent setting.","- Included concepts: contagious jailbreak, retrieval, replication, independent memory, topology, scale. - Taxonomy implications: supports behavioral contagion and memory-integrity analysis. - Supported research questions: how sparse graphs and large populations affect attack attenuation. - Important limitations: benchmark improvements are not directly comparable to other infection metrics without denominator normalization.",attack;integrity;jailbreak;malicious;poison;security;threat,communication;inter-agent;message;multi-agent;topology,safety,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,ACL,https://aclanthology.org/2025.acl-long.476/,10.18653/v1/2025.acl-long.476,2504.00218,papers/attacks/acl/2025_khan_agents_under_siege.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",unclear,R7_availability_cost,"Pragmatic multi-agent LLM systems with communication latency, limited token bandwidth, varied graph topology, and distributed safety mechanisms.","The attack optimizes how adversarial prompt components traverse a constrained agent network; message ordering, routes, and distributed defenses are part of the attack objective.",- Protected assets: integrity and safety of the collective system output. - Threat actor: an adversary able to introduce optimized prompt content into the network. - Trusted components: nominally honest agents and distributed safeguards. - Attacker capabilities: optimize prompt distribution over network paths while accounting for latency and bandwidth. - Security assumptions: agents exchange messages and make decentralized reasoning decisions.,"- Attack surface: messages, graph paths, and distributed safety checks. - Attack mechanism: distribute optimized adversarial prompt components across communication paths to evade detection. - System-level failure: collective decision and safety-integrity failure. - Security consequence: unsafe output despite distributed safeguards.","- Defense mechanism: Llama-Guard and PromptGuard variants are evaluated, not introduced. - Intervention point: agent/message content filters. - Required observability: local content presented to each guard. - Assumptions: safeguards inspect distributed prompt fragments locally. - Limitations: evaluated defenses do not reliably prohibit the attack.","- Evaluated systems: Llama, Mistral, Gemma, DeepSeek, and other model variants in multi-agent configurations. - Agent configuration: multiple constrained network topologies. - Dataset or environment: JailbreakBench and AdversarialBench among the reported datasets. - Baselines: conventional attacks and guard variants. - Metrics: attack success and detection/evasion outcomes. - Main results: the authors report improvements up to 7x over conventional attacks in the evaluated settings.","- Included concepts: topology-aware optimization, bandwidth, latency, distributed guard evasion. - Taxonomy implications: topology is a precondition/amplifier, not the violated security property itself. - Supported research questions: whether distributed guardrails compose under fragmented attacks. - Important limitations: evaluation scope does not establish behavior for every deployed framework or closed model.",adversar;attack;integrity;jailbreak;security;threat,collective;communication;inter-agent;message;multi-agent;topology,reliab;safety,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,attack,ACL,https://aclanthology.org/2026.acl-long.725/,10.18653/v1/2026.acl-long.725,2602.05176,papers/attacks/acl/2026_yang_among_us.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",interaction_dependent_mechanism,R3_collective_integrity,"Multi-model collaboration at four interaction levels: API routing, text exchange, logit aggregation, and weight merging.","The failure arises when one or more malicious contributor models participate in a collaboration pool and influence routing, debate, aggregation, or merging; the measured outcome is degradation of the composed system relative to a benign-only pool.","- Protected assets: system-level safety, reasoning quality, factuality, code correctness, and instruction following. - Threat actor: a contributor supplying one or more malicious models. - Trusted components: the collaboration method and external supervisor are treated as benign in their respective evaluations. - Attacker capabilities: introduce maliciousness through prompting, activation steering, supervised fine-tuning, or inverted-reward reinforcement learning. - Security assumptions: the collaboration system accepts models from multiple parties and does not perfectly identify malicious contributors before use.","- Attack surface: contributor admission, routing, exchanged text, aggregated logits, and merged parameters. - Attack mechanism: insert models whose outputs or internal behavior have been made malicious through one of four engineering methods. - System-level failure: collective output integrity and safety degradation. - Security consequence: compromised contributors lower performance in reasoning and safety domains and can influence multiple collaboration mechanisms.","- Defense mechanism: external supervisors score contributor outputs and disable or mask models judged malicious. - Intervention point: collaboration supervisor and contributor aggregation. - Required observability: access to candidate model outputs or contributions. - Assumptions: an external supervisor is sufficiently trustworthy and capable of distinguishing malicious from benign contributions. - Limitations: the authors report substantial recovery rather than complete resistance, and evaluate a bounded set of models, tasks, and collaboration methods.","- Evaluated systems: eight methods at API, text, logit, and weight levels. - Agent configuration: pools combining benign and malicious language models, with malicious count and diversity varied in ablations. - Dataset or environment: ten datasets covering safety, reasoning, knowledge, code, and instruction following. - Baselines: corresponding benign-only collaboration systems and unmitigated malicious settings. - Metrics: task performance, degradation relative to the benign system, and performance recovery after mitigation. - Main results: the paper reports average degradation of 7.12% in reasoning and 7.94% in safety and average recovery of 95.31% of initial performance under its supervisor strategies.","- Included concepts: malicious membership, contributor diversity, collaboration level, aggregation, external supervision, and collective integrity. - Taxonomy implications: contributor compromise is an adversary capability; routing, debate, logit aggregation, and weight merging are distinct exposed surfaces rather than separate failure categories. - Supported research questions: how malicious fractions and collaboration mechanisms affect system-level robustness, and what observer scope mitigation requires. - Important limitations: only text-level debate directly matches persistent message-passing LLM-MAS; API, logit, and weight collaboration remain adjacent multi-model composition settings and should be coded separately.",adversar;attack;compromis;integrity;malicious;security;threat,aggregat;collab;collective;inter-agent;message,robust;safety;trustworthy,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,attack,ACL,https://aclanthology.org/2026.acl-long.815/,10.18653/v1/2026.acl-long.815,2604.12461,papers/attacks/acl/2026_wu_cia.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",unclear,R5_private_data_leakage,Black-box LLM multi-agent systems whose hidden communication graphs were optimized for collaborative task solving.,"The protected asset is the graph of inter-agent edges. CIA induces and correlates intermediate agent outputs to infer those edges from black-box queries, a target that is undefined for one agent.",An external black-box querier.,,,,,leak;security,collab;communication;inter-agent;multi-agent;topology,,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,attack,ACL,https://aclanthology.org/2026.acl-long.1577/,10.18653/v1/2026.acl-long.1577,2604.16543,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",composition_induced,unspecified,"Agentic LLM pipelines with a client agent, remote agents, and star, chain, or DAG routing structures.",A trigger in the user query and a template in one compromised remote agent are benign in isolation but become harmful when routing composes them.,- Protected assets: action and output safety of the composed pipeline. - Threat actor: attacker controlling trigger placement and one remote template. - Trusted components: model weights and client agent remain unchanged. - Attacker capabilities: insert two fragments but not alter model weights. - Security assumptions: routing eventually brings the fragments into one context.,"- Attack surface: segmented prompts, remote-agent templates, and routing. - Attack mechanism: composition activates a harmful instruction that is absent from every isolated component. - System-level failure: compositional action and safety-integrity failure. - Security consequence: harmful behavior with low false activation.","- Defense mechanism: PromptGuard, Llama-Guard variants, and tool restrictions are evaluated rather than introduced. - Intervention point: local inputs/outputs and tool boundary. - Required observability: tested guards see components locally. - Assumptions: local defenses do not reconstruct full routing provenance. - Limitations: evaluated defenses do not reliably stop the attack.","- Evaluated systems: multi-agent LLM pipelines. - Agent configuration: client plus remote agents under star, chain, and DAG. - Dataset or environment: attack scenarios specified in the paper. - Baselines: non-optimized attacks and existing guards/system controls. - Metrics: attack success and false activation. - Main results: routing-aware optimization improves success while retaining low false activation across evaluated topologies.","- Included concepts: compromised remote agent, routing, fragmented intent, provenance gap. - Taxonomy implications: vulnerability/precondition is cross-component context; mechanism is conjunctive activation. - Supported research questions: whether local monitors can enforce global policies. - Important limitations: evaluated topologies and system controls are bounded.",attack;compromis;integrity;security;threat,inter-agent;multi-agent,reliab;safety,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,attack,ACL,https://aclanthology.org/2026.acl-long.270/,10.18653/v1/2026.acl-long.270,2601.01685,papers/attacks/acl/2026_hu_lying_truths.md,detailed,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",structurally_multi_agent,R1_propagation_persistence;R2_collusion_coordination;R3_collective_integrity,Agent populations consuming public evidence posts and making belief judgments about rumor events.,Several colluding agents coordinate truthful evidence fragments in an open channel; victim agents synthesize the distributed fragments into a false narrative and may pass that belief to downstream judges.,"A coalition of writer, editor, and director agents.",,,,,collusion;integrity;security,coalition;collective;coordination;inter-agent;multi-agent,,likely_keep_detailed,KEEP,keep,"Existing detailed source review supports separately addressable LLM-backed agents, a material inter-agent relation, and a concrete adversarial/security/privacy property or security evaluation; this pass found no scope contradiction.",yes_existing_detailed_source_review
