population,dimension,value,count,note
all_work_queue,decision,exclude,1396,
all_work_queue,decision,pending,341,
all_work_queue,decision,primary,303,
all_work_queue,decision,secondary,177,
canonical_142,decision,primary,92,
canonical_142,decision,secondary,50,
canonical_142,current_primary_category,attack,58,
canonical_142,current_primary_category,defense,40,
canonical_142,current_primary_category,evaluation,34,
canonical_142,current_primary_category,general,3,
canonical_142,current_primary_category,survey,7,
canonical_142,recommended_primary_category,attack,30,
canonical_142,recommended_primary_category,attack; benchmark; evaluation,3,
canonical_142,recommended_primary_category,attack; defense evaluation; empirical study,1,
canonical_142,recommended_primary_category,attack; defense evaluation; empirical study; theoretical analysis,1,
canonical_142,recommended_primary_category,attack; defense; ecosystem evaluation,1,
canonical_142,recommended_primary_category,attack; empirical study; theoretical analysis,1,
canonical_142,recommended_primary_category,attack; evaluation,5,
canonical_142,recommended_primary_category,attack; measurement; ecosystem evaluation,1,
canonical_142,recommended_primary_category,benchmark,15,
canonical_142,recommended_primary_category,benchmark; evaluation; attack study,1,
canonical_142,recommended_primary_category,benchmark; evaluation; attack suite,1,
canonical_142,recommended_primary_category,benchmark; evaluation; topology analysis,1,
canonical_142,recommended_primary_category,defense,40,
canonical_142,recommended_primary_category,defense; evaluation; attack analysis,1,
canonical_142,recommended_primary_category,defense; evaluation; fault study,1,
canonical_142,recommended_primary_category,evaluation,26,
canonical_142,recommended_primary_category,perspective,1,
canonical_142,recommended_primary_category,position_paper,1,
canonical_142,recommended_primary_category,protocol; evaluation; dual-use security,1,
canonical_142,recommended_primary_category,review,1,
canonical_142,recommended_primary_category,security evaluation; attack elicitation; defense evaluation,1,
canonical_142,recommended_primary_category,sok,1,
canonical_142,recommended_primary_category,survey,3,
canonical_142,recommended_primary_category,survey_position,1,
canonical_142,recommended_primary_category,system_demo,1,
canonical_142,recommended_primary_category,theoretical_framework,1,
canonical_142,recommended_primary_category,threat_modeling_study,1,
targeted_318_records,decision,exclude,1,Route-record count; version records remain separate.
targeted_318_records,decision,primary,283,Route-record count; version records remain separate.
targeted_318_records,decision,secondary,34,Route-record count; version records remain separate.
targeted_317_works,decision,exclude,1,Work-level count after version merging.
targeted_317_works,decision,primary,282,Work-level count after version merging.
targeted_317_works,decision,secondary,34,Work-level count after version merging.
final_primary,current_primary_category,attack,44,
final_primary,current_primary_category,defense,30,
final_primary,current_primary_category,evaluation,16,
final_primary,current_primary_category,survey,2,
final_primary,current_primary_category,unclassified,211,
final_secondary,current_primary_category,attack,14,
final_secondary,current_primary_category,defense,10,
final_secondary,current_primary_category,evaluation,18,
final_secondary,current_primary_category,general,3,
final_secondary,current_primary_category,survey,5,
final_secondary,current_primary_category,unclassified,127,
final_exclude,current_primary_category,unclassified,1396,
final_pending,current_primary_category,unclassified,341,
route_ledger,route_type,broad,325,
route_ledger,route_type,canonical,142,
route_ledger,route_type,peerfirst,115,
route_ledger,route_type,search,2182,
route_ledger,route_type,structured_exclude,29,
route_ledger,route_type,targeted,318,
route_ledger,route_type,targeted_gap,12,
route_ledger,route_type,venue,94,
