paper_id,title,year,venue,arxiv_id,doi,primary_url,citations,citation_source,citation_snapshot_date,scope_relation,screening_status,threshold_rule,cutoff,semantic_scholar_id
tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,2023,arXiv,2311.11855,10.48550/arXiv.2311.11855,https://arxiv.org/abs/2311.11855,123,Semantic Scholar Graph API,2026-08-06,security_relevant,full_text_source_reviewed,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,263a58f4fd32caca1dad2351af4d711aec451fe6
schroederdewitt2025openchallenges,Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents,2025,arXiv,2505.02077,10.48550/arXiv.2505.02077,https://arxiv.org/abs/2505.02077,76,Semantic Scholar Graph API,2026-08-06,security_relevant,full_text_source_reviewed,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,bfbc4873584f1daec31589d58a53607db6e2e170
mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025,arXiv.org,2503.04392,10.48550/arXiv.2503.04392,https://arxiv.org/abs/2503.04392,42,Semantic Scholar Graph API,2026-08-06,core_security,full_text_source_reviewed,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
arxiv_2601_11893,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026,arXiv.org,2601.11893,arxiv:2601.11893,https://arxiv.org/abs/2601.11893,37,Semantic Scholar Graph API,2026-08-06,core_security,full_text_scope_screened,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
arxiv_2506_07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025,arXiv.org,2506.07468,arxiv:2506.07468,https://arxiv.org/abs/2506.07468,31,Semantic Scholar Graph API,2026-08-06,security_relevant,boundary_full_text_screened,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
arxiv_2506_07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,2025,arXiv.org,2506.07564,arxiv:2506.07564,https://arxiv.org/abs/2506.07564,25,Semantic Scholar Graph API,2026-08-06,core_security,full_text_scope_screened,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
tan2024wolf_within,The Wolf Within: Covert Injection of Malice into MLLM Societies via an MLLM Operative,2024,arXiv,2402.14859,10.48550/arXiv.2402.14859,https://arxiv.org/abs/2402.14859,25,Semantic Scholar Graph API,2026-08-06,core_security,full_text_source_reviewed,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,d42c94924fb0117e4fdb746c21071a950c2eb83a
juneja2025magpie,MAGPIE: A benchmark for Multi-AGent contextual PrIvacy Evaluation,2025,NeurIPS Responsible Foundation Models Workshop,2510.15186,arxiv:2510.15186,https://arxiv.org/abs/2510.15186,21,Semantic Scholar Graph API,2026-08-06,core_security,full_text_source_reviewed,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
arxiv_2505_22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025,arXiv.org,2505.22960,arxiv:2505.22960,https://arxiv.org/abs/2505.22960,19,Semantic Scholar Graph API,2026-08-06,security_relevant,claim_level_review_required,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
arxiv_2505_24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2025,arXiv.org,2505.24201,arxiv:2505.24201,https://arxiv.org/abs/2505.24201,19,Semantic Scholar Graph API,2026-08-06,core_security,full_text_scope_screened,"citationCount > 10; citation count is a retrieval gate, not automatic inclusion",2026-07-01,
