work_key,title,evidence_set,dominant_contribution,venue,venue_folder,paper_path
doi:10.1109/icetes68504.2026.11518808,RAG-Induced Failures in Multi-Agent Large Language Model Debate,set1_core,attack,2026 1st International Conference on Emerging Technologies and Engineering Systems (ICETES),2026_1st_international_conference_on_emerging_technologies_and_enginee,papers/attacks/2026_1st_international_conference_on_emerging_technologies_and_enginee/2026_rag_induced_failures_in_multi_agent_large_language_model_debate.md
yan2026mast,"Attack the Messages, Not the Agents: A Multi-round Adaptive Stealthy Tampering Framework for LLM-MAS",set1_core,attack,AAAI,aaai,papers/attacks/aaai/2026_yan_attack_messages.md
wang2026shadows_code,Shadows in the Code: Exploring the Risks and Defenses of LLM-based Multi-Agent Software Development Systems,set1_core,attack,AAAI,aaai,papers/attacks/aaai/2026_wang_shadows_code.md
ahad2026sif,Semantic Intent Fragmentation: A Single-Shot Compositional Attack on Multi-Agent AI Pipelines,set1_core,attack,AAAI Symposium Series,aaai_symposium,papers/attacks/aaai_symposium/2026_ahad_semantic_intent_fragmentation.md
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,attack,ACL,acl,papers/attacks/acl/2025_men_troublemaker.md
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,set1_core,attack,ACL,acl,papers/attacks/acl/2025_khan_agents_under_siege.md
yang2026among_us,Among Us: Measuring and Mitigating Malicious Contributions in Model Collaboration Systems,set1_core,attack,ACL,acl,papers/attacks/acl/2026_yang_among_us.md
wu2026cia,CIA: Inferring the Communication Topology from LLM-based Multi-Agent Systems,set1_core,attack,ACL,acl,papers/attacks/acl/2026_wu_cia.md
arif2026conjunctive,Conjunctive Prompt Attacks in Multi-Agent LLM Systems,set1_core,attack,ACL,acl,papers/attacks/acl/2026_arif_conjunctive_prompt_attacks.md
hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,set1_core,attack,ACL,acl,papers/attacks/acl/2026_hu_lying_truths.md
supp_comet_metaphor_driven_covert_communication_for_multi_agent_language_games,CoMet: Metaphor-Driven Covert Communication for Multi-Agent Language Games,set1_core,attack,ACL 2025,acl_2025,papers/attacks/acl_2025/2025_xu_comet_metaphor_driven_covert_communication_for_m.md
arxiv:2603.15727,AgentWorm: Self-Propagating Attacks Across LLM Agent Ecosystems,set2_emerging,attack,,arxiv,papers/attacks/arxiv/2026_agentworm_self_propagating_attacks_across_llm_agent_ecosystems.md
arxiv:2504.16489,Amplified Vulnerabilities: Structured Jailbreak Attacks on LLM-based Multi-Agent Debate,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2025_amplified_vulnerabilities_structured_jailbreak_attacks_on_llm_based_mult.md
arxiv:2605.05632,Architecture Matters: Comparing RAG Systems under Knowledge Base Poisoning,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_architecture_matters_comparing_rag_systems_under_knowledge_base_poisonin.md
arxiv:2605.22001,Blind Spots in the Guard: How Domain-Camouflaged Injection Attacks Evade Detection in Multi-Agent LLM Systems,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_blind_spots_in_the_guard_how_domain_camouflaged_injection_attacks_evade.md
arxiv:2606.07790,Byzantine Cheap Talk: Adversarial Resilience and Topology Effects in LLM Coordination Games,set2_emerging,attack,arXiv (Cornell University),arxiv,papers/attacks/arxiv/2026_byzantine_cheap_talk_adversarial_resilience_and_topology_effects_in_llm.md
zhu2025_collaborative_shadows,Collaborative Shadows: Distributed Backdoor Attacks in LLM-Based Multi-Agent Systems,set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2025_zhu_collaborative_shadows.md
zheng2025integrity_attacks,Demonstrations of Integrity Attacks in Multi-Agent Systems,set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2025_zheng_integrity_attacks.md
liang2025_dont_trust_upstream,Don't Trust Your Upstream: Exploiting LLM Multi-Agent System via Topology-Guided Adversarial Propagation,set2_emerging,attack,arXiv,arxiv,papers/attacks/arxiv/2025_liang_dont_trust_upstream.md
arxiv:2605.11514,FlowSteer: Prompt-Only Workflow Steering Exposes Planning-Time Vulnerabilities in Multi-Agent LLM Systems,set2_emerging,attack,arXiv.org,arxiv,papers/attacks/arxiv/2026_flowsteer_prompt_only_workflow_steering_exposes_planning_time_vulnerabil.md
