work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths,broad_role,role_source,role_status
tian2023evil_geniuses,tian2023evil_geniuses,Evil Geniuses: Delving into the Safety of LLM-based Agents,2023,2023,arXiv,,2311.11855,https://arxiv.org/abs/2311.11855,attack,attack,attack,assistant_source_reviewed_pending_author_signoff,secondary,canonical:tian2023evil_geniuses,"Some claims concern interaction-amplified jailbreak risk, but the paper predates a precise independently-stateful-agent boundary and several results are general role-prompt jailbreak findings.",,,yes,canonical,canonical:tian2023evil_geniuses,corpus/final/all_relevant_papers.csv,attack,existing_corpus_role,source_reviewed_or_imported
arxiv:2310.10844,,Survey of Vulnerabilities in Large Language Models Revealed by Adversarial Attacks,2023-10-16,2023,arXiv.org,,2310.10844,,,,,,secondary,search:arxiv:2310.10844,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2310.10844,corpus/sets/01_search_catalog/search_catalog.csv,attack,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2407.09897,,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2024-07-13,2024,COLM 2024,,2407.09897,https://openreview.net/forum?id=3ypWPhMGhV,,,,,secondary,peerfirst:arxiv:2407.09897,Multiple agents exchange dialogue and memory but the endpoint is dialogue authenticity and factual consistency without an adversary or security contract.,,,yes,broad;peerfirst;search;venue,broad:arxiv:2407.09897;peerfirst:arxiv:2407.09897;search:arxiv:2407.09897;venue:colm_2024:10_48550_arxiv_2407_09897,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",2024,2024,NeurIPS 2024,10.52202/079017-2658,2309.17234,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9d37cda93f0575e0ca39910b14f5f7dd-Abstract-Datasets_and_Benchmarks_Track.html,evaluation,evaluation,evaluation,official_metadata_and_abstract_screened,secondary,canonical:supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,Maliciousness and information sharing are measured in multi-party negotiation.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:doi:10.52202/079017-2658;canonical:supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati;peerfirst:doi:10.52202/079017-2658;search:doi:10.52202/079017-2658;targeted:doi:10.52202/079017-2658;venue:neurips_2024:10_52202_079017_2658,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,evaluation,existing_corpus_role,source_reviewed_or_imported
arxiv:2412.11014,,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2024-12-15,2024,,,2412.11014,https://www.semanticscholar.org/paper/d3172458e2ac692892ff090ddb216f05787fc4d4,,,,,secondary,peerfirst:arxiv:2412.11014,The agents generate and correct Verilog; the endpoint is functional correctness rather than a security property.,,,yes,broad;peerfirst;search,broad:arxiv:2412.11014;peerfirst:arxiv:2412.11014;search:arxiv:2412.11014,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2405.04294,,Enhancing the Efficiency and Accuracy of Underlying Asset Reviews in Structured Finance: The Application of Multi-agent Framework,2024-05-07,2024,arXiv.org,,2405.04294,,,,,,secondary,search:arxiv:2405.04294,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2405.04294,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
arxiv:2410.22932,,Multi-Agent Large Language Models for Conversational Task-Solving,2024-10-30,2024,arXiv.org,,2410.22932,https://www.semanticscholar.org/paper/2f6ef455c7272b726712fdfd64f1ca9166ca0478,,,,,secondary,peerfirst:arxiv:2410.22932,The paper measures task performance and alignment collapse in prolonged discussion but does not specify a security adversary or security contract.,,,yes,broad;peerfirst;search;targeted,broad:arxiv:2410.22932;peerfirst:arxiv:2410.22932;search:arxiv:2410.22932;targeted:arxiv:2410.22932,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
zhang2024psysafe,zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,2024,2024,ACL,10.18653/v1/2024.acl-long.812,2401.11880,https://aclanthology.org/2024.acl-long.812/,attack,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,secondary,canonical:zhang2024psysafe,"Interaction and collective danger are central, but the paper primarily studies broad psychological safety and role-prompt effects rather than a narrowly defined technical security property.",,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:arxiv:2401.11880;canonical:zhang2024psysafe;peerfirst:arxiv:2401.11880;search:arxiv:2401.11880;targeted:arxiv:2401.11880;venue:acl:10_18653_v1_2024_acl_long_812,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv,attack,existing_corpus_role,source_reviewed_or_imported
arxiv:2402.17896,,"Researchy Questions: A Dataset of Multi-Perspective, Decompositional Questions for LLM Web Agents",2024-02-27,2024,arXiv (Cornell University),,2402.17896,,,,,,secondary,search:arxiv:2402.17896,No attack-family query hit and no canonical attack record.,,,yes,search,search:arxiv:2402.17896,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
doi:10.1145/3663530.3676516,,Responsible AI Engineering from a Data Perspective (Keynote),2024-07-15,2024,SEA4DQ@SIGSOFT FSE,10.1145/3663530.3676516,,,,,,,secondary,search:doi:10.1145/3663530.3676516,No attack-family query hit and no canonical attack record.,,,yes,search,search:doi:10.1145/3663530.3676516,corpus/sets/01_search_catalog/search_catalog.csv,other,title_rule_v2,assistant_derived_pending_author_signoff
