paper_id,field,previous_value,active_value,change_reason,evidence_source
li2026a2asecbench,version_status,"Official ICLR program and project repository confirm title, authors, and ICLR 2026 status. No DOI is reported. The full OpenReview PDF was not reliably retrievable during this audit, so exact page and table locators remain pending.","Published ICLR 2026 paper recovered from the official proceedings; it matches OpenReview LfdFnakqGJ, contains 24 pages, and reports no DOI.",Replaces the metadata-only audit after recovery of the published primary source.,https://proceedings.iclr.cc/paper_files/paper/2026/file/c6a4c60e4c12b4157d33f34b29d22067-Paper-Conference.pdf
li2026a2asecbench,identity_verdict,blocked_exact_source,published_iclr_2026_primary_source_reviewed_pending_author_signoff,The exact published source and six-author identity are now resolved; claim interpretation still awaits named human signoff.,https://openreview.net/forum?id=LfdFnakqGJ
li2026a2asecbench,source_url,https://iclr.cc/virtual/2026/poster/10010017,https://openreview.net/pdf?id=LfdFnakqGJ,Points the active review at the user-designated published PDF while preserving the canonical catalog URL.,https://proceedings.iclr.cc/paper_files/paper/2026/file/c6a4c60e4c12b4157d33f34b29d22067-Paper-Conference.pdf
li2026a2asecbench,adversary_position,"Malicious registered remote agent, spoofed AgentCard publisher, or adversarial A2A protocol peer.","Attack-dependent: spoofed publisher for AS; malicious registered remote agent for CC and ATSI; adversarial client or user for CO, HOTF, and ASRF; the Host acts as a confused deputy for ASRF and ATSI.",The paper assigns different actors to different attack paths rather than one uniform malicious-peer model.,"pp. 3-8, Sections 3-5.3"
li2026a2asecbench,mechanism,Protocol-logic abuse or supply-chain manipulation introduces and activates a malicious peer.,Discovery attacks manipulate AgentCards or capability claims; lifecycle attacks create cycles or half-open tasks; relay attacks exploit privileged FilePart dereferencing or untrusted artifact forwarding.,Separates the three mechanism families instead of forcing every attack into malicious-peer admission.,"pp. 3-6, Sections 3 and 4.2"
li2026a2asecbench,primary_system_failure,"Claim-level identity, confidentiality, integrity, or availability failures.",Agent-selection/capability integrity; workflow availability; privileged-resource confidentiality; or artifact integrity failure.,Replaces a generic CIA label with the source-specific system failures.,"pp. 3-6, Table 1 and Section 4.2"
li2026a2asecbench,reported_impact,"Unsafe request handling, resource exhaustion, or artifact execution.",Unsafe request handling or resource exhaustion; for ATSI the operational result is artifact delivery targeting downstream execution rather than independently verified execution or harm.,Separates the formal ATSI impact target from the measured operational endpoint.,"pp. 6-8, Sections 4.2 and 5.2-5.3"
li2026a2asecbench,agent_count_or_configuration,"Official A2A demos in travel, healthcare, and finance through a dynamic adapter; deterministic offline and optional LLM-backed SUTs in the released repository.","One Host coordinates three A2A client wrappers connected to three remote servers; the Host and S1-S3 use Gemini 2.5 Flash; scenarios cover travel, healthcare, and finance.",Uses the exact main-paper system under test rather than repository-only implementation details.,"p. 7, Section 5.1 and Figure 2"
li2026a2asecbench,topology,Client-to-remote-agent A2A interactions and task lifecycle rather than a generic graph benchmark.,Front end to Host to three client wrappers and three remote A2A servers; the Host relays requests and responses across trust boundaries.,Records the concrete main-study topology.,"p. 7, Figure 2"
li2026a2asecbench,communication,,AgentCard discovery; A2A messages and tasks; session and stream state; FileParts; returned artifacts.,Records the protocol objects exercised by the attack suite.,"pp. 3-6, Table 1 and Section 4.2"
li2026a2asecbench,baselines,Matched benign controls and default safeguard behavior; release includes deterministic offline baselines.,Default safeguards and matched benign tasks; NVIDIA NeMo Guardrails as an evaluated input gateway; LangGraph and ANP as transfer targets.,Aligns controls with the published experiments and avoids repository-only baseline claims.,"pp. 7-9, Sections 5.2-5.5 and Tables 2-4"
li2026a2asecbench,metric_definition,Attack or safety outcome plus benign utility or helpfulness; Capability Cloaking also reports label accuracy and evidence quality.,Per-condition ASR with attack-specific card-selection timeout repeated-routing and canary criteria; benign utility degradation for Capability Cloaking.,Uses the metric contract stated in the published paper.,"p. 7, Section 5.2"
li2026a2asecbench,unit_denominator,"Unit: Benchmark case and SUT trial.; Denominator: Repository release includes 100 AgentCard Spoofing cases and 100 cases for each Capability Cloaking split; other executable families have attack cases and matched controls.","Unit: benchmark case and SUT trial. Denominator: Table 5 reports 100 benign and 100 each for AS, CO, HOTF, ASRF, and ATSI per domain, totaling 600 per domain and 1,800 overall; CC has no separately reported task denominator.",Replaces repository-derived counts with the published benchmark denominator.,"p. 14, Appendix A, Figure 5 and Table 5"
li2026a2asecbench,system_level_impact_verified,Official materials state that the six attack families bypass default safeguards in evaluated demos. Exact paper table values and full denominators must be copied from the final PDF before any quantitative manuscript claim.,"Table 2 reports AS at 0.820/0.816/0.828 and the other five rows at 1.00 across travel/healthcare/finance; CC is also reported as utility degradation, and ATSI operationally establishes return of a canary-bearing artifact rather than independently verified browser harm.",Records exact results while preserving the source-defined result boundary.,"pp. 6-8, Sections 4.2 and 5.2-5.3, Table 2"
li2026a2asecbench,evidence_locators,"Official ICLR 2026 poster record; project README for the seven listed benchmark rows, release-case counts, matched controls, deterministic baselines, and output schema. Exact paper page and table references remain unresolved.","Abstract p. 1; threat model and Table 1 pp. 3-4; attack definitions pp. 5-6; adapter p. 6; system and metric p. 7; main results and Table 2 pp. 7-8; transfer and defense Tables 3-4 p. 9; task counts in Appendix A Figure 5 and Table 5 p. 14.",Adds exact locators from the published paper.,https://proceedings.iclr.cc/paper_files/paper/2026/file/c6a4c60e4c12b4157d33f34b29d22067-Paper-Conference.pdf
li2026a2asecbench,author_claim_vs_corpus_interpretation,"Benchmark attacks, release structure, and official program status are author or official-project claims. Taxonomic mapping is a corpus interpretation.","Attack taxonomy, configuration, counts, and results are author claims. SoK category, impact-stage, and counterfactual labels are corpus interpretations. The gap between ATSI's formal and operational criteria is a source-boundary observation.",Separates reported evidence from corpus coding and the ATSI boundary.,"pp. 5-8, Sections 4.2 and 5.2-5.3"
li2026a2asecbench,limitations_maturity,"Official demo set and three domains; adapter semantics; full paper locators unavailable in this audit; no DOI; not all A2A stacks or deployment policies are covered. Evidence maturity: Archival peer-reviewed benchmark, but exact full-text evidence locators still require manual author access.","Archival peer-reviewed benchmark. Limits: official demos and three domains; no CC trial denominator; Tables 3-4 omit trial denominators; AS candidate count differs between formal text and prompts; ATSI operational success stops at artifact return; no DOI; incomplete implementation coverage.",Replaces the resolved source block with substantive evidence and generalization limits.,"pp. 5-9 and 14, Sections 4.2, 5.2-5.5, and Appendix A"
li2026a2asecbench,key_corrections,See load-bearing correction log and detailed source review.,"Replace the blocked-source status; use Table 5's 1,800-case denominator; keep CC and Tables 3-4 denominators unstated; distinguish ATSI artifact return from verified browser execution or harm.",Summarizes the active corrections after primary-source recovery.,https://openreview.net/forum?id=LfdFnakqGJ
li2026a2asecbench,review_outcome,pending_exact_full-text_verification,primary_source_recovered_claims_extracted_pending_named_human_signoff,The published paper is available and extracted but has not received named human signoff.,https://openreview.net/forum?id=LfdFnakqGJ
li2026a2asecbench,review_status,blocked_pending_exact_source,assistant_source_reviewed_pending_author_signoff,Removes only the resolved source-access blocker and does not claim human verification.,https://openreview.net/forum?id=LfdFnakqGJ
