evidence_set,work_key,title,recommended_membership,recommended_contribution,general_subtype,set3_role_if_moved,reason_code,confidence
set1_core,doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,keep_current,general,system_protocol_design,,true_general_system_level_security,high
set1_core,arxiv:2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,keep_current,general,system_protocol_design,,true_general_system_level_security,high
set1_core,arxiv:2506.22957,Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set1_core,doi:10.1109/iccc68654.2025.11437910,"Agentic Graph-RAG: A Multi-Agent Framework for Robust, Decomposed Multi-Hop Reasoning",move_set3,context,,related_work,generic_mas_method_not_security_central,high
set1_core,arxiv:2503.21080,EmoDebt: Bayesian-Optimized Emotional Intelligence for Strategic Agent-to-Agent Debt Recovery,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set1_core,arxiv:2509.11035,Free-MAD: Consensus-Free Multi-Agent Debate,keep_current,general,system_protocol_design,,true_general_system_level_security,high
set1_core,arxiv:2503.01829,Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models,keep_current,evaluation,,,reclassify_dominant_contribution,high
set1_core,doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/trustcom66490.2025.00226,Security of LLM Agents: A Case Study Approach,keep_current,evaluation,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/icassp49660.2025.10890479,Supervisor Alignment Framework: Enhancing LLM Alignment with Query-Ignoring Strategy and Multi-Agent Interaction,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/tdsc.2026.3685256,AgentChain: Blockchain-Empowered Multi-Agent Coordination for Trustworthy LLM Question-Answering Systems,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.1109/iccces62661.2026.11437027,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.19139/soic-2310-5070-3574,Cascading Instruction Influence Indirect Prompt Injection in Hierarchical Multi-Agent Systems,keep_current,attack,,,reclassify_dominant_contribution,high
set1_core,doi:10.63412/8vgf0b98,Consensus-Driven Metacognition in Multi-Agent Systems: A Logic-Based Byzantine Fault-Tolerant Protocol,keep_current,defense,,,reclassify_dominant_contribution,high
set1_core,doi:10.65109/ydmy4904,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,keep_current,defense,,,reclassify_dominant_contribution,high
