artifact_id,primary_eval_category,secondary_eval_categories,impact_stage_max,interaction_counterfactual,availability_kind,coding_basis,coding_status,evidence_locator
artifact_tamas,delegation_protocol_action,privacy_information_flow,S3_executed_or_persistent,matched_single_agent,code_or_harness,The note reports unsafe task and tool execution plus an explicit single-agent comparison; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/acl/2026_kavathekar_tamas.md#Attack or Failure; #Evaluation
artifact_aciarena,propagation_topology,delegation_protocol_action,S2_trace,component_or_attack_controls,paper_only,The note reports cascading injection and propagation success with benign and defended controls but no matched interaction ablation.,assistant_derived_pending_author_signoff,papers/evaluations/acl/2026_an_aciarena.md#Attack or Failure; #Evaluation
artifact_risklab,trace_procedural_compliance,collective_decision_deception,S2_trace,edge_state_authority_ablation,code_or_harness,The note reports global trajectories and independently varied structural factors; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/acl_demo/2026_jiang_risklab.md#Defense; #Evaluation
artifact_liecraft,collective_decision_deception,adaptive_defense_detection,S1_observable,component_or_attack_controls,code_or_harness,The note reports observable game deception and accusation outcomes under identical role conditions; the indexed URL is a GitHub repository.,assistant_derived_pending_author_signoff,papers/evaluations/aaai/2026_olson_liecraft.md#Attack or Failure; #Evaluation
artifact_agentleak,privacy_information_flow,trace_procedural_compliance,S2_trace,matched_single_agent,paper_only,The note reports instrumented internal-channel traces and an explicit multi-agent versus single-agent comparison.,assistant_derived_pending_author_signoff,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md#Evaluation
artifact_pear,delegation_protocol_action,propagation_topology,S3_executed_or_persistent,edge_state_authority_ablation,paper_only,The note reports adversarial objective execution while varying attacked role and memory state.,assistant_derived_pending_author_signoff,papers/evaluations/findings_eacl/2026_dong_pear.md#Attack or Failure; #Evaluation
artifact_amongus_aamas,collective_decision_deception,adaptive_defense_detection,S2_trace,component_or_attack_controls,paper_only,The note reports speech acts and repeated game outcomes with role and model controls but no matched interaction removal.,assistant_derived_pending_author_signoff,papers/evaluations/aamas/2026_milkowski_among_us.md#Attack or Failure; #Evaluation
artifact_magpie,privacy_information_flow,,S2_trace,component_or_attack_controls,paper_only,The note reports role-relative disclosure within collaborative messages under benign and manipulation conditions.,assistant_derived_pending_author_signoff,papers/evaluations/neurips_workshop/2025_juneja_magpie.md#Attack or Failure; #Evaluation
artifact_gambit,adaptive_defense_detection,collective_decision_deception,S1_observable,component_or_attack_controls,paper_only,The note reports collective-answer degradation and detector outcomes across attack and recalibration modes.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_le_mercier_gambit.md#Attack or Failure; #Evaluation
artifact_gammaf,adaptive_defense_detection,propagation_topology,S2_trace,component_or_attack_controls,paper_only,The note reports node and round anomaly monitoring with undefended and defense controls.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_mateo_torrejon_gammaf.md#Attack or Failure; #Evaluation
artifact_harp,trace_procedural_compliance,propagation_topology; adaptive_defense_detection,S3_executed_or_persistent,component_or_attack_controls,paper_only,The note reports paired full traces together with temporal and memory persistence under attack and defense controls.,assistant_derived_pending_author_signoff,papers/evaluations/arxiv/2026_rahman_harp.md#Security Model; #Evaluation
