priority,paper_id,paper_title,severity,field,required_correction,review_outcome,source_url
1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,medium,Result wording,Do not equate one million simulated agents with a real deployment or prevalence claim.,Ready after minor patch,https://proceedings.mlr.press/v235/gu24e.html
1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,medium,Evidence locator,Replace broad abstract-only locator with exact propagation-analysis pages before citing a specific round or growth constant.,Ready after minor patch,https://proceedings.mlr.press/v235/gu24e.html
2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,medium,Primary failure,"Use claim-level outcomes. Oversight, confidentiality, and decision integrity should not be collapsed into one paper-level label.",Ready after minor patch,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html
2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,medium,Metric coding,Record each metric and denominator separately rather than a generic covert-communication ASR.,Ready after minor patch,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html
3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,high,Metric denominator,Replace generic attack success with the paper's agent-question and round-specific definition.,Ready after minor patch,https://aclanthology.org/2025.acl-long.859/
3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,medium,Result wording,Report the three improvements exactly as authors report them; do not call them percentage points without table support.,Ready after minor patch,https://aclanthology.org/2025.acl-long.859/
4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,critical,Canonical version,Replace preprint title and Morris-II terminology with the final CCS title and final names; retain the preprint only as a linked version.,Ready after major patch,https://doi.org/10.1145/3719027.3765196
4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,critical,Metrics,Use final-paper FPR 0.017 and final latency/result tables. Do not mix preprint FPR 0.015.,Ready after major patch,https://doi.org/10.1145/3719027.3765196
4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,high,Scope relation,Downgrade from core_security to security_relevant under the independent LLM-agent-core boundary.,Ready after major patch,https://doi.org/10.1145/3719027.3765196
5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,critical,Author list,Resolve the final journal author list from the publisher PDF before updating papers.csv.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2
5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,critical,Evidence locators,Replace accessible-version locators with final journal page and table locations.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2
5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,high,Attacker model,Do not describe this as only an external runtime message attacker; the attack includes predeployment model manipulation.,Pending final source verification,https://doi.org/10.1007/s11432-024-4663-2
6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,critical,Primary category,Change from attack to defense/evaluation with attack analysis as a secondary role.,Ready after major patch,https://aclanthology.org/2025.acl-long.359/
6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,high,Guarantee language,"Describe empirical recovery under evaluated assumptions, not a general security guarantee.",Ready after major patch,https://aclanthology.org/2025.acl-long.359/
6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,high,Observer assumptions,Record complete or reconstructable utterance graph and topology-control authority.,Ready after major patch,https://aclanthology.org/2025.acl-long.359/
7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,critical,Primary category,Change from attack to benchmark/evaluation.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/
7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,critical,Scope relation,Use claim-level screening; paper-level core_security overstates broad safety and reliability content.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/
7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,high,Result wording,Label 29.7% as a setting-specific relative performance decrease.,Ready after major patch,https://aclanthology.org/2025.findings-acl.150/
8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,high,Primary failure,"Use availability/resource boundedness, not behavioral infection, as the primary failure.",Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/
8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,high,Metric denominator,Record P-ASR explicitly as blocked agents over network population.,Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/
8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,medium,Cross-paper comparison,Do not compare P-ASR directly with harmful-output ASR.,Ready after minor patch,https://aclanthology.org/2026.findings-acl.342/
9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,critical,Primary category,Change from attack to mixed security evaluation and attack/defense elicitation.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/
9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,high,Metric coding,Store each collusion and oversight metric separately.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/
9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,high,Maturity wording,Do not infer spontaneous real-world collusion prevalence or universal paraphrasing failure.,Ready after major patch,https://aclanthology.org/2025.ijcnlp-long.34/
10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,medium,Mechanism label,Do not label the channel covert or the fragments false; the novelty is public composition of individually true fragments.,Ready after minor patch,https://aclanthology.org/2026.acl-long.270/
10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,medium,Evidence locator,Tie ASR and downstream rates to the exact Sec. 5 tables and CoPHEME denominator.,Ready after minor patch,https://aclanthology.org/2026.acl-long.270/
11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,critical,Primary category,Change from attack to dual-use protocol/evaluation.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380
11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,high,Scope relation,Downgrade to security_relevant unless a claim explicitly uses the protocol for malicious coordination.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380
11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,medium,Canonical title,Use the PDF's grammatical title and record the OJS display discrepancy.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40380
12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,high,Version linkage,Use USENIX title as canonical and link the arXiv title as a prior or expanded version.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen
12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,high,Open access,Add the arXiv PDF as the open-access URL.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen
12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,high,Metric denominator,Do not treat ER or all component results as one ASR.,Ready after minor patch,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen
13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,critical,Primary category,Change from attack to benchmark/evaluation with an attack study role.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/
13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,high,Metric denominator,Store exact-match and LLM-inference leakage definitions and seeded-entity denominator.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/
13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,medium,Generalization,Do not state a universal topology ranking across models.,Ready after major patch,https://aclanthology.org/2026.findings-acl.1980/
14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,high,Metric denominator,Record ASR as whole-dataset task-level success with separate targeted and denial-of-service predicates.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/
14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,medium,Failure versus impact,Use message integrity as primary and collective task corruption as downstream impact.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/
14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,medium,Assumption,Explicitly record lack of authenticated or integrity-protected channels.,Ready after minor patch,https://aclanthology.org/2025.findings-acl.349/
15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,high,Metric definition,Store targeted and untargeted collective predicates exactly.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/
15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,high,BFT boundary,Do not describe this as Byzantine agreement or a fault-threshold result.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/
15,liu2025collective_manipulation,Can an Individual Manipulate the Collective Decisions of Multi-Agents?,medium,Scale,Record the up-to-101-agent result with its specific task and aggregation assumptions.,Ready after minor patch,https://aclanthology.org/2025.emnlp-main.611/
16,zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,critical,Primary category,Change from attack to defense/evaluation/fault study.,Ready after major patch,https://ojs.aaai.org/index.php/AAAI/article/view/40806
