record_id,title,authors,year,venue_or_status,peer_reviewed,primary_url,relation_level,mas_security_scope,why_strongly_related,evidence_basis,cutoff
kim2026agenticai,SoK: Attack and Defense Landscape of Agentic AI Systems,Juhee Kim; Wenbo Guo; Dawn Song,2026,USENIX Security 2026,yes,https://www.usenix.org/conference/usenixsecurity26/presentation/kim-juhee-agentic,closest_agentic_security_sok_comparator,Component-centered agentic AI security SoK with partial multi-agent coverage; not MAS-first.,Closest accepted SoK in venue and method. It motivates why the new work must move from agent components to interaction structure and global properties.,Official USENIX page and prepublication full text,2026-07-01
schroederdewitt2025openchallenges,Open Challenges in Multi-Agent Security: Towards Secure Systems of Interacting AI Agents,Christian Schroeder de Witt et al.,2025,arXiv:2505.02077,no,https://arxiv.org/abs/2505.02077,direct_mas_security_agenda,Defines multi-agent security around threats that emerge or amplify through interaction.,"Directly claims the field boundary, discusses collusion, propagation, observability, containment, attribution, and systemic risk.",Primary preprint full text; author list abbreviated because the paper has a large consortium,2026-07-01
ko2026sevenchallenges,Seven Security Challenges in Cross-Domain Multi-Agent LLM Systems,Ronny Ko; Jiseong Chung; Shuyuan Zheng; Chuan Xiao; Tae-Wan Kim; Makoto Onizuka; Won-Yong Shin,2026,"npj Artificial Intelligence, Perspective",yes,https://doi.org/10.1038/s44387-026-00128-9,direct_cross_domain_mas_security_perspective,Security agenda for heterogeneous LLM agents collaborating across organizational and trust domains.,"Direct MAS security competitor covering seven challenges, plausible attacks, metrics, and research directions, but not a corpus-level SoK.",Publisher record and full text,2026-07-01
raza2026trism,"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems",Shaina Raza; Ranjan Sapkota; Manoj Karkee; Christos Emmanouilidis,2026,"AI Open 7, pages 71-95",yes,https://doi.org/10.1016/j.aiopen.2026.02.006,direct_mas_governance_review,"Review of trust, risk, privacy, security, explainability, ModelOps, and lifecycle governance in agentic MAS.","MAS-primary review, but broader governance and trust management rather than an interaction-native security evidence audit.",Publisher record and author preprint,2026-07-01
nguyen2026securityconsiderations,Security Considerations for Multi-agent Systems,Tam Nguyen; Moses Ndebugre; Dheeraj Arremsetty,2026,arXiv:2603.09002,no,https://arxiv.org/abs/2603.09002,direct_mas_framework_coverage_study,Constructs a MAS threat inventory and scores 16 security and governance frameworks against 193 threat items.,"Directly quantifies framework coverage for MAS, but its unit is framework coverage rather than academic attack, defense, and benchmark evidence.",Primary preprint full text,2026-07-01
shi2025trustauthorization,SoK: Trust-Authorization Mismatch in LLM Agent Interactions,Guanquan Shi; Haohua Du; Zhiqiang Wang; Xiaoyu Liang; Weiwenpei Liu; Song Bian; Zhenyu Guan,2025,arXiv:2512.06914,no,https://arxiv.org/abs/2512.06914,direct_narrow_causal_lens,"Unifies agent-interaction threats through belief, intention, permission, and trust-authorization mismatch.","Strong SoK-style comparator with a formal causal lens, but not a comprehensive MAS architecture, failure-property, and observability systematization.",Primary preprint full text,2026-07-01
sun2026unique_security,"A Survey on the Unique Security of Autonomous and Collaborative LLM Agents: Threats, Defenses, and Futures",Yinggang Sun; Haining Yu; Wei Jiang; Xiangzhan Yu; Dongyang Zhan; Lixu Wang; Siyue Ren; Yue Sun; Tianqing Zhu,2026,Preprints.org 202602.1655 v2,no,https://www.preprints.org/manuscript/202602.1655/v2,broad_agent_security_with_collaboration_branch,"Covers external interaction, internal cognition, and multi-agent collaboration attacks.","Explicit collaboration-attack branch and benchmark comparison, but MAS is one branch within a broader agent-security survey.",Official preprint page and full text,2026-07-01
mcp_sok_2025,Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem,Shiva Gaire; Srijan Gyawali; Saroj Mishra; Suman Niroula; Dilip Thakur; Umesh Yadav,2025,arXiv:2512.08290,no,https://arxiv.org/abs/2512.08290,protocol_adjacent_sok,MCP security and safety taxonomy with implications for distributed tool delegation and multi-agent environments.,"Important protocol and infrastructure comparator, but MCP often connects one host agent to tools and is broader than strict multi-agent interaction.",Primary preprint full text,2026-07-01
dehghantanha2026attack_surface,"SoK: The Attack Surface of Agentic AI -- Tools, and Autonomy",Ali Dehghantanha; Sajad Homayoun,2026,arXiv:2603.22928,no,https://arxiv.org/abs/2603.22928,agentic_security_sok_comparator,"Agentic attack-surface SoK covering tools, RAG, autonomy, and some multi-agent emergent threats.","Useful systems-security comparator, but multi-agent interaction is not the primary analysis boundary.",Primary preprint full text,2026-07-01
chu2026layered,A Systematic Survey of Security Threats and Defenses in LLM-Based AI Agents: A Layered Attack Surface Framework,Kexin Chu,2026,arXiv:2604.23338,no,https://arxiv.org/abs/2604.23338,agentic_security_systematic_survey_comparator,Uses a seven-layer agentic attack-surface model with multi-agent coordination as one layer.,"Auditable broad agent-security survey and coverage analysis, but not MAS-first.",Primary preprint full text,2026-07-01
