priority,paper_id,title,year,venue,primary_category,paper_type,scope_relation,primary_url,note_path,review_focus,minimum_review_status,attack_evidence_status,attack_role,attack_instance_coding_required,reviewer,review_date,adjudication_note,assistant_review_status,recommended_scope,recommended_category,review_outcome,evidence_locators
63,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025,NeurIPS,defense,Defense; Attack; Evaluation; Empirical study,security_relevant,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,papers/defenses/neurips/2025_rosser_agentbreeder.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_major_patch. Use the NeurIPS title and spotlight venue; merge the earlier arXiv title; recategorize from mixed defense/attack to defense/evaluation primary; do not treat the 79.4% safety uplift as attack robustness or a guarantee.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_major_patch,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.
64,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025,arXiv,defense,Defense; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2503.04392,papers/defenses/arxiv/2025_mao_agentsafe.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep as defense-primary; record v2/preprint status; do not call it the first systematic memory defense without qualification; make policy-label and identity assumptions explicit; do not generalize the >80% figure.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,arXiv abstract for two-component design and >80% headline; paper Sec. 3 framework and Sec. 4 experiments. Exact table/page locators require author signoff against v2 PDF.
65,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025,IJCNLP-AACL,defense,Defense; Evaluation; Empirical study,core_security,https://aclanthology.org/2025.ijcnlp-long.90/,papers/defenses/ijcnlp_aacl/2025_ebrahimi_credibility_scoring.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Make defense the primary category; encode stable identity and trusted scoring as assumptions; do not compare the adversary-majority task result to f/n Byzantine thresholds or call it a consensus guarantee.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,"ACL Anthology metadata and abstract; published PDF Secs. 2–4 for scoring, Sec. 5/results tables for adversarial ratios. Exact table locators require author signoff."
66,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,2025,arXiv,defense,Defense; Benchmark; Evaluation; Theoretical analysis,security_relevant,https://arxiv.org/abs/2510.04303,papers/defenses/arxiv/2025_tailor_audit_whisper.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep as defense/benchmark primary, not attack; record preprint status; code attack instances as secondary evidence; do not claim covert collusion is generally detectable or that finite-sample guarantees cover arbitrary channels.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,"arXiv abstract for contributions, 10^-3 FPR, 10k honest runs, and external-suite evaluation; paper Secs. 5–6 and results/limitations for benchmark and detectors. Exact pages/tables require author signoff."
67,zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2508.01332,papers/defenses/arxiv/2025_zou_blocka2a.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_major_patch. Keep defense/system primary; record v3 and preprint status; do not treat “guarantees” or Byzantine flagging as a classical consensus theorem; explicitly list ledger/oracle/endpoint adoption assumptions and avoid “first” claims without independent verification.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_major_patch,"arXiv abstract for architecture, DOE, attack classes, and sub-second overhead; paper Secs. 3–6 for components and prototype tables. Exact locator validation remains for author signoff."
68,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2507.14928,papers/defenses/arxiv/2025_jo_byzantine_robust.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,"Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_major_patch. Keep defense-primary; never cite f<n/2 without synchrony, authentication, and correctness definition; do not compare directly with classical asynchronous f<n/3 or call task accuracy an agreement guarantee; require distributed-systems signoff.",assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_major_patch,arXiv abstract for DecentLLMs and empirical claim; full paper threat model/theorems in pp. 3–7 and experiment tables. All formal statements require expert signoff against exact theorem text.
69,wu2025cowpox,Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,2025,ICML,defense,Defense; Evaluation; Theoretical analysis; Empirical study,core_security,https://proceedings.mlr.press/v267/wu25aq.html,papers/defenses/icml/2025_wu_cowpox.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense-primary and explicitly code prevention plus recovery; separate infection and recovery denominators; quote theoretical guarantees only with full model assumptions; do not generalize to arbitrary LLM-MAS or open populations.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,PMLR abstract for defense concept and theoretical guarantee; published PDF Secs. 3–4 and theorem/result tables for exact conditions. Author signoff required for every bound and denominator.
70,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025,arXiv,defense,Defense; Benchmark; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2506.00509,papers/defenses/arxiv/2025_li_argus.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_minor_patch. Keep defense/benchmark primary; downgrade scope to security_relevant unless specific claims involve adversarial integrity; use abstract’s toxicity/task-success metrics rather than generic ASR; make global-goal and trusted-reviewer assumptions explicit.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_minor_patch,arXiv abstract for MisinfoTask/ARGUS and 28.17%/10.33% averages; paper Secs. 3–5 and result tables for exact metrics. Exact page/table validation remains for author signoff.
71,zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,NeurIPS,defense,Defense; Evaluation; Empirical study,core_security,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,papers/defenses/neurips/2025_zhou_guardian.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=core_security; category=defense; outcome=ready_after_minor_patch. Keep defense-primary; distinguish anomaly detection from task recovery; make full temporal-graph visibility and edge-control assumptions explicit; do not generalize 3–7 agent results to open ecosystems.,assistant_source_reviewed_pending_author_signoff,core_security,defense,ready_after_minor_patch,"NeurIPS proceedings abstract for temporal graph method and main claim; published PDF Secs. 3–5 for method, setup, and results. Exact table/page locators remain for author signoff."
72,mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,2025,AAMAS,defense,Defense; Theoretical analysis; Evaluation,core_security,https://www.ifaamas.org/Proceedings/aamas2025/pdfs/p2654.pdf,papers/defenses/aamas/2025_mao_ibgp.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review; author signoff required. Recommended scope=security_relevant; category=defense; outcome=ready_after_major_patch. Replace the incorrect seven-author list with the six official authors; label as AAMAS extended abstract; downgrade from any “super-ceiling BFT” framing; report k-of-n partial coordination and global-randomizer assumptions; never compare directly to f<n/3.,assistant_source_reviewed_pending_author_signoff,security_relevant,defense,ready_after_major_patch,Official PDF p. 1 authors/metadata and problem framing; pp. 1–2 Definitions 2.1–2.2; p. 2 Table 1 and protocol description.
