work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths
doi:10.2139/ssrn.5405222,,"&lt;p&gt;Low-Load Inputs, High-Structure Outputs: Empirical Evidence for Pre-Structural Expression (PSE) in LLM Collaboration&lt;b&gt;&lt;/b&gt;&lt;/p&gt;",2025-01-01,2025,SSRN Electronic Journal,10.2139/ssrn.5405222,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.5405222,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6445299,,&lt;span&gt;&lt;b&gt;Systematic Discovery and Security Verification of Personality-Driven Safety Override in Multi-Agent Markets&lt;/b&gt;&lt;/span&gt;,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6445299,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6445299,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6996678,,&lt;span&gt;Cognitive Guardrails in Medical LLMs: Fusing Latent Routing with T-Adaptive Attention to Mitigate Aleatoric and Epistemic Uncertainty&lt;/span&gt;,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6996678,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6996678,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.48448/9y2w-sr84,,1064 - MetaCipher: A Time-Persistent and Universal Multi-Agent Framework for Cipher-Based Jailbreak Attacks for LLMs,2026-01-07,2026,Open MIND,10.48448/9y2w-sr84,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.48448/9y2w-sr84,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.7112163,,A heterogeneous multi-agent reinforcement learning framework with LLM-guided preference-score rewards for data center cooling optimization,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.7112163,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.7112163,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6381010,,A Multi-Agent and Explainable Semantic-Guided Smart Contract Fuzzing with LLMs,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6381010,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6381010,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/bigdata66926.2025.11401633,,A Multi-Agent Architecture for Governance and Security of LLM-Based Knowledge Access,2025-12-08,2025,BigData Congress [Services Society],10.1109/bigdata66926.2025.11401633,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/bigdata66926.2025.11401633,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.23919/softcom62040.2024.10721684,,A Multi-Agent Architecture for Privacy-Preserving Natural Language Interaction with FHIR-Based Electronic Health Records,2024-09-26,2024,,10.23919/softcom62040.2024.10721684,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.23919/softcom62040.2024.10721684,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.5332825,,A Multi-Agent Collaborative Model for Directed Multi-Modal Knowledge Integration and Fault Diagnosis Code Generation,2025-01-01,2025,SSRN Electronic Journal,10.2139/ssrn.5332825,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.5332825,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.5281/zenodo.18496511,,A multi-agent hierarchical framework for students' risk-aware mental health monitoring. SENTIA: State-Enabled Neuro-symbolic Trajectory-aware Intelligent Architecture,2026-02-05,2026,Open MIND,10.5281/zenodo.18496511,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.5281/zenodo.18496511,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.aei.2025.104135,,A multi-agent LLM framework for severity classification of complaint events: Probabilistic reasoning with scene uncertainty,2025-11-26,2025,Advanced Engineering Informatics,10.1016/j.aei.2025.104135,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.aei.2025.104135,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.eswa.2026.132241,,A multi-agent LLM framework with Bayesian fusion and safety guardrails for ATC-pilot communication error detection,2026-04-01,2026,Expert systems with applications,10.1016/j.eswa.2026.132241,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.eswa.2026.132241,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6686400,,A Multi-Embodied-Agent-Based Dual-Level VLM Framework for Construction Safety Inspection,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6686400,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6686400,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1016/j.ijrobp.2024.07.1392,,A Novel Localized Student-Teacher LLM for Enhanced Toxicity Extraction in Radiation Oncology,2024-09-27,2024,International Journal of Radiation Oncology*Biology*Physics,10.1016/j.ijrobp.2024.07.1392,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1016/j.ijrobp.2024.07.1392,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/cscwd68734.2026.11581554,,A Rule-Filtered and Voting-based Consensus Cooperative Multi-Agent Framework for Zero-Shot Named Entity Recognition,2026-05-13,2026,International Conference on Computer Supported Cooperative Work in Design,10.1109/cscwd68734.2026.11581554,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/cscwd68734.2026.11581554,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6025576,,"A Safe, Secure, and Uncertainty-Aware Demand Response Architecture Using LLM-Guided Hierarchical Multi-Agent Deep Reinforcement Learning in Integrated Energy System",2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6025576,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6025576,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/icmi68585.2026.11539939,,A Study of Model Poisoning Attacks on Federated Large Language Models,2026-04-09,2026,International Conference on Multimodal Interaction,10.1109/icmi68585.2026.11539939,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/icmi68585.2026.11539939,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-15632-7_7,,A Study on Multi-agent Collaboration for Business Process Automation in Enterprise Resource Planning Systems,2026-01-01,2026,Communications in computer and information science,10.1007/978-3-032-15632-7_7,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-15632-7_7,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1109/taslpro.2025.3642728,,A Synergistic Multi-Agent Framework for Camouflage Attack on Large Language Models,2025-12-10,2025,IEEE Transactions on Audio Speech and Language Processing,10.1109/taslpro.2025.3642728,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1109/taslpro.2025.3642728,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.2139/ssrn.6672582,,A Trustworthy Hybrid Human–AI Framework Enabled by LLM for Context-Aware and Explainable Stress Detection and Intervention in Safety-Critical Environments,2026-01-01,2026,SSRN Electronic Journal,10.2139/ssrn.6672582,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.2139/ssrn.6672582,corpus/sets/01_search_catalog/search_catalog.csv
doi:10.1007/978-3-032-00828-2_25,,A Vision for Access Control in LLM Agent Systems,2025-10-16,2025,Lecture notes in computer science,10.1007/978-3-032-00828-2_25,,,,,,,pending,no_explicit_decision,No explicit source-level classification is available.,,,yes,search,search:doi:10.1007/978-3-032-00828-2_25,corpus/sets/01_search_catalog/search_catalog.csv
