route_id,route_type,work_key,canonical_paper_id,route_title,canonical_title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,source_decision,source_scope,source_status,source_reason,source_path,route_strength,ledger_decision,ledger_decision_source,human_signoff_required
broad:arxiv:2401.11880,broad,zhang2024psysafe,zhang2024psysafe,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,2024-01-22,2024,ACL,10.18653/v1/2024.acl-long.812,2401.11880,https://dblp.org/rec/conf/acl/ZhangZLSG0WLZ24,attack,evaluation,evaluation,assistant_source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,canonical:zhang2024psysafe,yes
broad:arxiv:2402.08567,broad,gu2024agent_smith,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024-02-13,2024,ICML,,2402.08567,https://dblp.org/rec/conf/icml/GuZPDL00L24,attack,attack; empirical study; theoretical analysis,attack; empirical study; theoretical analysis,source_reviewed_pending_author_signoff,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2404.02532,broad,arxiv:2404.02532,,Learn to Disguise: Avoid Refusal Responses in LLM's Defense via a Multi-agent Attacker-Disguiser Game,Learn to Disguise: Avoid Refusal Responses in LLM's Defense via a Multi-agent Attacker-Disguiser Game,2024-04-03,2024,arXiv.org,,2404.02532,https://www.semanticscholar.org/paper/611088d69b8d1e829e9f0d9d0f63c460c2b76674,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2404.02532,yes
broad:arxiv:2405.12604,broad,arxiv:2405.12604,,Tiny Refinements Elicit Resilience: Toward Efficient Prefix-Model Against LLM Red-Teaming,Tiny Refinements Elicit Resilience: Toward Efficient Prefix-Model Against LLM Red-Teaming,2024-05-21,2024,arXiv.org,,2405.12604,https://www.semanticscholar.org/paper/4c2afc5e358a328286eb40f4e64572ba84a7f536,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2405.12604,yes
broad:arxiv:2407.09897,broad,arxiv:2407.09897,,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2024-07-13,2024,COLM 2024,,2407.09897,https://openreview.net/forum?id=3ypWPhMGhV,,,,,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2407.09897,yes
broad:arxiv:2407.12532,broad,arxiv:2407.12532,,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2024-07-17,2024,arXiv.org,,2407.12532,https://www.semanticscholar.org/paper/e3dc5680f7de9db8a1aff9b9c936563e9f8aba45,,,,,include-primary-interaction-security,broad_scope_included,influential_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,peerfirst:arxiv:2407.12532,yes
broad:arxiv:2408.13406,broad,arxiv:2408.13406,,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,2024-08-23,2024,,,2408.13406,https://www.semanticscholar.org/paper/f1c9f9f11204015d2822b14d5b5595723c20ee8a,,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,search:arxiv:2408.13406,yes
broad:arxiv:2408.14972,broad,arxiv:2408.14972,,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2024-08-27,2024,arXiv.org,,2408.14972,https://www.semanticscholar.org/paper/cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,defense,,,,include-primary-interaction-security,broad_scope_included,emerging_non_peer,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2410.02506,broad,arxiv:2410.02506,,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2024-10-03,2024,International Conference on Learning Representations,,2410.02506,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,general,,,,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,primary,manual-corpus-classification:2026-08-21,no
broad:arxiv:2410.14596,broad,supp_teaching_models_to_balance_resisting_and_accepting_persuasion,supp_teaching_models_to_balance_resisting_and_accepting_persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,Teaching Models to Balance Resisting and Accepting Persuasion,2024-10-18,2024,NAACL 2025,10.18653/v1/2025.naacl-long.412,2410.14596,https://dblp.org/rec/conf/naacl/StengelEskinHB25,defense,defense,defense; evaluation,official_metadata_and_abstract_screened,include-primary-interaction-security,broad_scope_included,peer_reviewed_conference,Frozen broad-screen inclusion.,corpus/sets/02_broad_included/broad_included.csv,60,secondary,manual-corpus-classification:2026-08-21,no
