work_key,canonical_paper_id,title,publication_date,year,venue,doi,arxiv_id,primary_url,current_primary_category,recommended_primary_category,secondary_roles,category_review_status,decision,decision_source,rationale,reviewer,reviewed_at,human_signoff_required,route_types,route_ids,source_paths
arxiv:2310.00322,,Evolving Diverse Red-team Language Models in Multi-round Multi-agent Games.,2023-09-30,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2026.3694367,2310.00322,https://doi.org/10.1109/tpami.2026.3694367,,,,,primary,search:doi:10.1109/tpami.2026.3694367,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.1109/tpami.2026.3694367;peerfirst:doi:10.1109/tpami.2026.3694367;search:doi:10.1109/tpami.2026.3694367;targeted:doi:10.1109/tpami.2026.3694367;venue:ieee_transactions_on_pattern_analysis_and_machine_intelligence:10_1109_tpami_2026_3694367,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2406.05651,,A Superalignment Framework in Autonomous Driving with Large Language Models,2024-06-02,2024,2024 IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55156.2024.10588403,2406.05651,https://dblp.org/rec/conf/ivs/KongBFW24,,,,,primary,search:doi:10.1109/iv55156.2024.10588403,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.1109/iv55156.2024.10588403;peerfirst:doi:10.1109/iv55156.2024.10588403;search:doi:10.1109/iv55156.2024.10588403;targeted:doi:10.1109/iv55156.2024.10588403;venue:2024_ieee_intelligent_vehicles_symposium_iv:10_1109_iv55156_2024_10588403,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
gu2024agent_smith,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024,2024,ICML,,2402.08567,https://proceedings.mlr.press/v235/gu24e.html,attack,attack; empirical study; theoretical analysis,attack; empirical study; theoretical analysis,source_reviewed_pending_author_signoff,primary,canonical:gu2024agent_smith,The system contains independently instantiated multimodal agents with memory banks and randomized pairwise communication. Population spread and its growth are undefined for a single isolated agent.,,,yes,broad;canonical;peerfirst;search;targeted;venue,broad:arxiv:2402.08567;canonical:gu2024agent_smith;peerfirst:arxiv:2402.08567;search:arxiv:2402.08567;targeted:arxiv:2402.08567;venue:icml:arxiv_2402_08567,corpus/final/all_relevant_papers.csv;corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2408.14972,,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2024-08-27,2024,arXiv.org,,2408.14972,https://www.semanticscholar.org/paper/cc47d7d1e08f4a1adfd4c734b387040ad3b3ff0d,,,,,primary,search:arxiv:2408.14972,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2408.14972;search:arxiv:2408.14972;targeted:arxiv:2408.14972,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2405.18111,,ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,2024-01-01,2024,EMNLP MAIN,10.18653/v1/2024.emnlp-main.610,2405.18111,https://doi.org/10.18653/v1/2024.emnlp-main.610,,,,,primary,search:doi:10.18653/v1/2024.emnlp-main.610,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:doi:10.18653/v1/2024.emnlp-main.610;peerfirst:doi:10.18653/v1/2024.emnlp-main.610;search:doi:10.18653/v1/2024.emnlp-main.610;targeted:doi:10.18653/v1/2024.emnlp-main.610;venue:emnlp_main:10_18653_v1_2024_emnlp_main_610,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2501.10385,,Autonomous Microscopy Experiments through Large Language Model Agents,2024-12-18,2024,arXiv.org,,2501.10385,https://www.semanticscholar.org/paper/04dfe87495b6df0d1ed805deabefc9a8f0c9a06a,,,,,primary,search:arxiv:2501.10385,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2501.10385;search:arxiv:2501.10385;targeted:arxiv:2501.10385,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2408.13406,,Collaboration Dynamics and Reliability Challenges of Multi-Agent LLM Systems in Finite Element Analysis,2024-08-23,2024,,,2408.13406,https://www.semanticscholar.org/paper/f1c9f9f11204015d2822b14d5b5595723c20ee8a,,,,,primary,search:arxiv:2408.13406,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2408.13406;search:arxiv:2408.13406;targeted:arxiv:2408.13406,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2410.02506,,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,2024-10-03,2024,International Conference on Learning Representations,,2410.02506,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,,,,,primary,search:arxiv:2410.02506,Full-text interaction-security screen included the work.,,,yes,broad;peerfirst;search;targeted;venue,broad:arxiv:2410.02506;peerfirst:arxiv:2410.02506;search:arxiv:2410.02506;targeted:arxiv:2410.02506;venue:international_conference_on_learning_representations:arxiv_2410_02506,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv;corpus/sets/03_taxonomy_eligible/taxonomy_candidates.csv
arxiv:2404.02532,,Learn to Disguise: Avoid Refusal Responses in LLM's Defense via a Multi-agent Attacker-Disguiser Game,2024-04-03,2024,arXiv.org,,2404.02532,https://www.semanticscholar.org/paper/611088d69b8d1e829e9f0d9d0f63c460c2b76674,,,,,primary,search:arxiv:2404.02532,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2404.02532;search:arxiv:2404.02532;targeted:arxiv:2404.02532,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
arxiv:2410.19000,,Make LLMs better zero-shot reasoners: Structure-orientated autonomous reasoning,2024-10-18,2024,arXiv.org,,2410.19000,https://www.semanticscholar.org/paper/5e0e7ed3fe38b1f54adf7749678a90e1d2eefbc7,,,,,primary,search:arxiv:2410.19000,Full-text interaction-security screen included the work.,,,yes,broad;search;targeted,broad:arxiv:2410.19000;search:arxiv:2410.19000;targeted:arxiv:2410.19000,corpus/sets/01_search_catalog/search_catalog.csv;corpus/sets/02_broad_included/broad_included.csv
