work_key,title,human_decision,adjudicated_membership,adjudicated_contribution,reviewer,reviewed_at,decision_scope,source_evidence_verified,human_notes,adjudication_note
doi:10.2139/ssrn.6944801,Adversarial Consensus Verification for Reliable LLM agents in Financial Forensics: The Pave Interchange Benchmark,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.5281/zenodo.18902320,Algorithmic Cowardice: Cognitive Dissonance and Moral Conformity in Multi-Agent LLM Interactions,reject,set2_emerging,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,"Reject move to Set 3. Full text v1.0.0, Sections 2.4, 3.1, and 6.3 define an adversarial Influencer whose messages are passed directly to the Target. Retain set2_emerging/evaluation; evaluation remains the dominant contribution.","Reject move to Set 3. Full text v1.0.0, Sections 2.4, 3.1, and 6.3 define an adversarial Influencer whose messages are passed directly to the Target. Retain set2_emerging/evaluation; evaluation remains the dominant contribution."
doi:10.52710/cfs.1067,"Autonomous Evaluation Architectures: Multi-Agent LLM Pipelines, Browser-Grounded Testing: Programmatic Alignment via DSPy, and Adversarial Robustness in Production Orchestration Systems",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.2139/ssrn.6420858,"Behavioral Drift in Multi-Agent LLM Systems: Emergent Failure Modes, Cascade Dynamics, and Measurement Challenges",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.5281/zenodo.20844300,Beyond Individual Agent Monitoring: Empirical Evidence of Three Relational Failure Modes in LLM-Based Multi-Agent Systems,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.5281/zenodo.20174515,Chain-Centric Multi-Agent Framework: Layer-Separated LLM Collaboration Without Subjective Confidence Evaluation,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.5281/zenodo.21314249,Containing the Cascade: A Benchmark and Reference Mediator for Failure Propagation in Tool-Using LLM Multi-Agent Systems,reject,post_cutoff,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,"Reject both previous and proposed placement. DataCite records the DOI as created and registered on 2026-07-11, after the 2026-07-01 00:00 UTC cutoff. Zenodo reports deletion on 2026-07-22 for copyright. Route to post-cutoff provenance and exclude from the frozen Set 1/2/3 denominator; canonical full text is unavailable.","Reject both previous and proposed placement. DataCite records the DOI as created and registered on 2026-07-11, after the 2026-07-01 00:00 UTC cutoff. Zenodo reports deletion on 2026-07-22 for copyright. Route to post-cutoff provenance and exclude from the frozen Set 1/2/3 denominator; canonical full text is unavailable."
arxiv:2410.04663,"Debate, Deliberate, Decide (D3): A Cost-Aware Adversarial Framework for Reliable and Interpretable LLM Evaluation",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
arxiv:2606.28456,Is Lying an Emergent Behaviour in LLMs? Evidence from Gaslighting AI agents in a Sustainability Game,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
doi:10.1109/jiot.2026.3697293,Multi-AI Agent Oriented Privacy Policy Compliance Checking Based on Large Language Models in Mobile IoT Systems,approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
arxiv:2605.16821,"Multi-Paradigm Agent Interaction in Practice:A Systematic Analysis of Generator-Evaluator, ReAct Loop,and Adversarial Evaluation in the buddyMe Framework",approve,set3_context,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Approved the proposed membership and dominant contribution.
