work_key,title,previous_membership,human_scope_decision,adjudicated_membership,previous_contribution,human_contribution_decision,adjudicated_contribution,reviewer,reviewed_at,decision_scope,source_evidence_verified,human_notes,adjudication_note
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,canonical source为空，无法点开,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,accept,set1_core,defense,defense,defense,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=defense. This classification signoff does not assert source/evidence verification.
doi:10.1109/ijcnn60899.2024.10650172,CRDA: Content Risk Drift Assessment of Large Language Models through Adversarial Multi-Agent Interaction,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,set1_core,accept,set1_core,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=general. This classification signoff does not assert source/evidence verification.
ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
arxiv:2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,set1_core,accept,set1_core,general,general,general,expiol,2026-08-21,membership_and_dominant_contribution_only,no,还有一个icml2025的正式版本，而不是arxiv,Human scope decision=accept; contribution decision=general. This classification signoff does not assert source/evidence verification.
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,set1_core,accept,set1_core,evaluation,evaluation,evaluation,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=evaluation. This classification signoff does not assert source/evidence verification.
lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,set1_core,accept,set1_core,attack,attack,attack,expiol,2026-08-21,membership_and_dominant_contribution_only,no,,Human scope decision=accept; contribution decision=attack. This classification signoff does not assert source/evidence verification.
