work_key,title,evidence_set,year,venue,primary_url,interaction_interfaces,risk_or_property,interaction_dependence,scope_reason,evidence_basis,paper_section,decision_reason
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",set1_core,2023,NeurIPS 2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/9d37cda93f0575e0ca39910b14f5f7dd-Abstract-Datasets_and_Benchmarks_Track.html,I2_communication_routing;I4_delegation_action,unspecified,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",full_text,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=15. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,set1_core,2024,ACL,https://aclanthology.org/2025.acl-long.859/,I1_boundary_admission;I2_communication_routing;I3_state_memory,R1_propagation_persistence,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=1. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,set1_core,2024,ICML,https://proceedings.mlr.press/v235/gu24e.html,I3_state_memory;I4_delegation_action,R1_propagation_persistence,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,2024,ACM Turing Celebration Conference,,I5_aggregation_outcome,R3_collective_integrity,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=defense. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=defense.
doi:10.1109/ijcnn60899.2024.10650172,CRDA: Content Risk Drift Assessment of Large Language Models through Adversarial Multi-Agent Interaction,set1_core,2024,IEEE International Joint Conference on Neural Network,,I3_state_memory;I4_delegation_action,unspecified,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=0. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
arxiv:2410.02506,Cut the Crap: An Economical Communication Pipeline for LLM-based Multi-Agent Systems,set1_core,2024,International Conference on Learning Representations,https://dblp.org/rec/conf/iclr/ZhangYLYWWCY025,I2_communication_routing,unspecified,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=general. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=general.
ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,set1_core,2024,Science China Information Sciences,https://doi.org/10.1007/s11432-024-4663-2,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R1_propagation_persistence,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=4. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
arxiv:2410.11782,G-Designer: Architecting Multi-agent Communication Topologies via Graph Neural Networks,set1_core,2024,International Conference on Machine Learning,,I2_communication_routing,unspecified,unclear,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,2026-08-18 general-category adjudication retained this work in set1_core and assigned dominant_contribution=general. 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=general.
yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,set1_core,2024,Findings of ACL,https://aclanthology.org/2025.findings-acl.150/,I2_communication_routing;I4_delegation_action;I5_aggregation_outcome,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=2. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=evaluation.
lee2026prompt_infection,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,set1_core,2024,ESORICS 2025 International Workshops,https://link.springer.com/chapter/10.1007/978-3-032-16092-8_28,I1_boundary_admission;I2_communication_routing;I4_delegation_action,R1_propagation_persistence;R3_collective_integrity,interaction_amplified,"Source evidence identifies multiple LLM-backed agents, an inter-agent relation, and a security effect tied to that relation.",abstract,,Passed MAS-security scope. Maturity: peer_reviewed=yes; frozen_citations=5. Meets the Set 1 union rule (peer reviewed OR citations >= 10). 2026-08-21 named corpus classification signoff by expiol: retained in set1_core; dominant_contribution=attack.
