priority,paper_id,title,year,venue,primary_category,paper_type,scope_relation,primary_url,note_path,review_focus,minimum_review_status,attack_evidence_status,attack_role,attack_instance_coding_required,reviewer,review_date,adjudication_note
63,rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025,NeurIPS,defense,Defense; Attack; Evaluation; Empirical study,security_relevant,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,papers/defenses/neurips/2025_rosser_agentbreeder.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,candidate_from_secondary_role,,pending,,,
64,mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025,arXiv,defense,Defense; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2503.04392,papers/defenses/arxiv/2025_mao_agentsafe.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
65,ebrahimi2025credibility,An Adversary-Resistant Multi-Agent LLM System via Credibility Scoring,2025,IJCNLP-AACL,defense,Defense; Evaluation; Empirical study,core_security,https://aclanthology.org/2025.ijcnlp-long.90/,papers/defenses/ijcnlp_aacl/2025_ebrahimi_credibility_scoring.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
66,tailor2025auditwhisper,Audit the Whisper: Detecting Steganographic Collusion in Multi-Agent LLMs,2025,arXiv,defense,Defense; Benchmark; Evaluation; Theoretical analysis,security_relevant,https://arxiv.org/abs/2510.04303,papers/defenses/arxiv/2025_tailor_audit_whisper.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
67,zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2508.01332,papers/defenses/arxiv/2025_zou_blocka2a.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
68,jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2507.14928,papers/defenses/arxiv/2025_jo_byzantine_robust.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
69,wu2025cowpox,Cowpox: Towards the Immunity of VLM-based Multi-Agent Systems,2025,ICML,defense,Defense; Evaluation; Theoretical analysis; Empirical study,core_security,https://proceedings.mlr.press/v267/wu25aq.html,papers/defenses/icml/2025_wu_cowpox.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
70,li2025argus,Goal-Aware Identification and Rectification of Misinformation in Multi-Agent Systems,2025,arXiv,defense,Defense; Benchmark; Evaluation; Empirical study,core_security,https://arxiv.org/abs/2506.00509,papers/defenses/arxiv/2025_li_argus.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
71,zhou2025guardian,GUARDIAN: Safeguarding LLM Multi-Agent Collaborations with Temporal Graph Modeling,2025,NeurIPS,defense,Defense; Evaluation; Empirical study,core_security,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,papers/defenses/neurips/2025_zhou_guardian.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
72,mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,2025,AAMAS,defense,Defense; Theoretical analysis; Evaluation,core_security,https://www.ifaamas.org/Proceedings/aamas2025/pdfs/p2654.pdf,papers/defenses/aamas/2025_mao_ibgp.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
73,cui2025maris,Maris: A Formally Verifiable Privacy Policy Enforcement Paradigm for Multi-Agent Collaboration Systems,2025,arXiv,defense,Defense; Theoretical analysis; Evaluation,core_security,https://arxiv.org/abs/2505.04799,papers/defenses/arxiv/2025_cui_maris.md,metadata; scope; primary and secondary roles; attack-bearing claims; evidence locators,pending_minimum_review,not_screened,,pending,,,
