global_priority,review_track,paper_id,canonical_title,canonical_authors,canonical_year,canonical_venue,doi,source_url,version_status,identity_verdict,current_scope,recommended_scope,scope_rationale,current_category,recommended_category,secondary_roles,multiagent_verdict,attack_evidence_status,attack_role,attack_instance_coding_required,adversary_position,adversary_capabilities,preconditions,mechanism,attack_surfaces,primary_system_failure,reported_impact,agent_count_or_configuration,topology,communication,baselines,metric_definition,unit_denominator,system_level_impact_verified,evidence_locators,author_claim_vs_corpus_interpretation,limitations_maturity,key_corrections,review_outcome,promote_to_load_bearing,review_status
1,load_bearing,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,,,"ICML 2024, PMLR 235",Not reported,https://proceedings.mlr.press/v235/gu24e.html,"Canonical published ICML version confirmed. Current title, author list, and year are consistent with PMLR. Use the PMLR record as canonical and retain any arXiv copy only as a linked version.",source_identity_reviewed,core_security,core_security,The system contains independently instantiated multimodal agents with memory banks and randomized pairwise communication. Population spread and its growth are undefined for a single isolated agent.,attack,attack; empirical study; theoretical analysis,,The system contains independently instantiated multimodal agents with memory banks and randomized pairwise communication. Population spread and its growth are undefined for a single isolated agent.,load_bearing_source_review,attack; empirical study; theoretical analysis,yes,External adversary seeds one selected agent with one adversarial image.,Seeds the initial memory item; no continued intervention is required under the modeled propagation process.,Agents retrieve memory content and exchange it through randomized pairwise chats.,Memory seeding followed by retention and retransmission of the adversarial behavior.,Agent memory; pairwise inter-agent communication.,F1 compromise propagation and containment failure.,"Population-level harmful or unaligned behavior. The one-million figure is simulated scale, not deployed prevalence.",LLaVA-1.5 agent population; randomized pairwise chats; simulated populations up to one million.,Randomized pairwise interaction rather than a broad sweep of deployed topologies.,,Noninfectious adversarial inputs and modeled alternative settings; exact baseline details should be cited from the experiment section when used.,Infected population and propagation behavior over interaction rounds.,"Unit: Agent and population.; Denominator: Population size, with infection status defined by the paper.",The paper demonstrates rapid population spread from a single seeded agent under its simulated interaction model. Do not turn the title claim into a statement about real deployed systems.,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",The seeded-image attack and simulated spread are author claims. Labeling the outcome F1 and interpreting it as a containment failure are corpus interpretations.,Proof-of-concept simulation; one principal model family; randomized pairwise interaction; no evidence of real-world prevalence; practical defense construction remains open. Evidence maturity: Archival peer-reviewed primary evidence.,See load-bearing correction log and detailed source review.,ready_after_minor_patch,already_load_bearing,source_reviewed_pending_author_signoff
2,load_bearing,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,,,NeurIPS 2024,10.52202/079017-2336,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,"Canonical NeurIPS 2024 proceedings version confirmed. Current title, authors, year, venue, and DOI are consistent with the proceedings.",source_identity_reviewed,core_security,core_security,"Secret collusion requires at least a sender, receiver, and oversight model. The prohibited coordination and detectability question do not exist for one isolated agent.",attack,attack; defense evaluation; empirical study; theoretical analysis,,"Secret collusion requires at least a sender, receiver, and oversight model. The prohibited coordination and detectability question do not exist for one isolated agent.",load_bearing_source_review,attack; defense evaluation; empirical study; theoretical analysis,yes,Two or more colluding agents communicating under an observer or monitor.,"Generate overt messages, encode and decode hidden payloads, and coordinate on a code or strategy.","The observer sees overt traffic but lacks complete access to private knowledge, shared intent, or the covert code.",Steganographic encoding embedded in apparently innocuous communication.,Inter-agent communication; shared implicit knowledge; observer boundary.,Oversight or monitorability integrity failure at claim level.,Can also produce confidentiality loss or collective-decision corruption depending on the scenario. It should not be forced into one universal impact category.,Sender-receiver or multi-agent communication setups with an overseer and mitigation variants.,Primarily communicating endpoints and monitored channels rather than broad population topology.,,"Overt communication and mitigation variants such as monitoring, paraphrasing, and parameter optimization.","Coordination success, covert communication success, detectability, task performance, and scenario-specific secrecy or coupling measures.","Unit: Communication episode, group, or task depending on experiment.; Denominator: Experiment-specific trials; there is no single paper-wide ASR denominator.",The paper formalizes and demonstrates secret collusion and evaluates limits of several mitigations. It does not establish deployment prevalence or universal undetectability.,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.","The existence of the steganographic setup, metrics, and evaluated mitigations are author claims. Choosing oversight failure as the primary SoK property is a corpus interpretation.",Capability elicitation rather than prevalence; mixed single-model and multi-agent setups; detectability depends on observer and channel assumptions; no universal defense conclusion. Evidence maturity: Archival peer-reviewed primary evidence.,See load-bearing correction log and detailed source review.,ready_after_minor_patch,already_load_bearing,source_reviewed_pending_author_signoff
3,load_bearing,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,,,ACL 2025,10.18653/v1/2025.acl-long.859,https://aclanthology.org/2025.acl-long.859/,"Canonical ACL 2025 version confirmed. Current title, author list, DOI, venue, and year are correct.",source_identity_reviewed,core_security,core_security,"One malicious member spreads jailbreak content through communication and independent memories; retrieval, replication, topology, and population size determine system-level propagation.",attack,attack; benchmark; evaluation,,"One malicious member spreads jailbreak content through communication and independent memories; retrieval, replication, topology, and population size determine system-level propagation.",load_bearing_source_review,attack; benchmark; evaluation,yes,One malicious member or troublemaker agent.,Injects optimized retrieval and replication suffixes into messages or memory content that honest agents later retrieve and retransmit.,Agents maintain independent memories and store and retrieve interaction content.,Adversarial retrieval and replication optimization creates a contagious jailbreak.,Inter-agent messages; independent agent memories; communication topology.,F1 compromise propagation and containment failure.,Population-wide jailbreak among previously honest agents.,"One attacker plus honest agents; line, star, and larger population settings, including a 100-agent experiment.","Line, star, and other benchmarked structures; static experiment graphs.",,Prior jailbreak or nonoptimized variants described in the paper.,"ASR by round, maximum ASR over rounds, and rounds to reach a target ASR.","Unit: Agent-question pair and interaction round.; Denominator: The paper defines the round metric over agent by question cases, then reports the maximum over rounds for its summary ASR.","Reported improvements of 23.51%, 18.95%, and 52.93% are setting-specific values. Do not silently relabel them as percentage-point improvements.","Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",Attack construction and results are author claims. Cross-paper denominator incompatibility is a corpus interpretation.,Maximum reported population is 100 in the empirical benchmark; fixed topologies; multiple-choice style memory tasks; limited model and deployment diversity. Evidence maturity: Archival peer-reviewed primary evidence.,See load-bearing correction log and detailed source review.,ready_after_minor_patch,already_load_bearing,source_reviewed_pending_author_signoff
4,load_bearing,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,,,"ACM CCS 2025, pp. 3975 to 3989",10.1145/3719027.3765196,https://doi.org/10.1145/3719027.3765196,The CCS paper is the canonical version. The earlier arXiv version used the title 'Here Comes The AI Worm: Unleashing Zero-click Worms that Target GenAI-Powered Applications' and used earlier system names. Merge them as one work but preserve version-specific terminology and results.,source_identity_reviewed,core_security,security_relevant,"The work studies a network of GenAI email and RAG applications and users. It is highly relevant to propagation, but the system boundary is broader than a population of independently stateful LLM agent cores.",attack,attack; defense; ecosystem evaluation,,"The work studies a network of GenAI email and RAG applications and users. It is highly relevant to propagation, but the system boundary is broader than a population of independently stateful LLM agent cores.",load_bearing_source_review,attack; defense; ecosystem evaluation,yes,External sender who inserts a self-replicating prompt into an email or retrieved document.,"Places malicious content that automated applications ingest, reproduce, and forward.",Applications automatically process inbound content and can emit generated content to downstream users or applications.,Indirect prompt injection with self-replication through generated content.,Inbound email or RAG content; automated outbound messages; application-to-application workflow.,F1 propagation and containment failure.,Confidentiality loss and availability effects can be secondary payloads.,End-to-end GenAI email assistant and RAG application ecosystem.,Application and user communication chains rather than a canonical LLM-agent society topology.,,"Benign, attack, and defense configurations in the final paper.","Propagation behavior, payload success, and defense true-positive, false-positive, and latency measures.","Unit: Application or client, propagation event, and detector decision.; Denominator: Final-paper evaluation trials and clients. Do not import denominators from the preprint without checking the final paper.","Use the final CCS values and names. The final paper reports super-linear propagation, a 20-new-client behavior within 1 to 3 days in its modeled scenario, and DonkeyRail TPR 1.0, FPR 0.017, and latency 7.6 to 38.3 ms. Do not mix these with preprint values or the earlier Morris-II and Virtual Donkey names.",Final ACM record and CCS paper; preprint retained only for lineage. Cite final tables for propagation and DonkeyRail values. The current note's abstract-only locators are insufficient for quantitative use.,Zero-click self-replication and measured defense results are author claims. Classifying the ecosystem as security_relevant rather than strict core MAS is a corpus decision.,"Laboratory ecosystem; broader GenAI applications rather than strict agent cores; result and terminology changed across versions; no evidence of prevalence in deployed ecosystems. Evidence maturity: Archival peer-reviewed evidence, with a materially different earlier preprint.",See load-bearing correction log and detailed source review.,ready_after_major_patch,already_load_bearing,source_reviewed_pending_author_signoff
5,load_bearing,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,,,Science China Information Sciences 2026,10.1007/s11432-024-4663-2,https://doi.org/10.1007/s11432-024-4663-2,"The journal DOI and title are confirmed, but the final journal author metadata appears to disagree with the current ten-author record, potentially adding Yi Hua. The final journal PDF must be treated as authoritative before signoff.",blocked_exact_source,core_security,core_security,Manipulated knowledge spreads through communication and stored chat histories among LLM agents and persists through RAG retrieval.,attack,attack; evaluation,,Manipulated knowledge spreads through communication and stored chat histories among LLM agents and persists through RAG retrieval.,load_bearing_source_review,attack; evaluation,yes,Adversary manipulates an initial model or agent before deployment and introduces manipulated knowledge through persuasion and knowledge injection.,"Uses DPO or LoRA-style persuasion adaptation and ROME-style knowledge editing, then relies on interaction and stored histories for spread.",Agents trust peer messages and may persist chat histories for later RAG retrieval.,Persuasiveness injection plus manipulated-knowledge injection followed by interaction-driven spread and persistence.,Agent model state; communication; chat history; RAG memory.,F3 communication and shared-knowledge integrity failure.,F1 containment and persistence failure is secondary.,Simulated LLM-agent communities with communication and optional RAG persistence.,Community interaction settings; exact final-paper topology details must be recoded from the journal PDF.,,Attack variants and benign settings described in the final paper.,"Spread accuracy for counterfactual or toxic knowledge, interaction turns, agent-order or population effects, and RAG persistence.","Unit: Agent response, knowledge item, or interaction turn depending on analysis.; Denominator: Must be copied from the final journal metric definitions and tables; the current record is too generic.",The paper reports that manipulated knowledge can spread while preserving general capabilities and persist in retrieved histories. Exact numeric claims should wait for final-journal table verification.,"Abstract and Introduction, PDF pp. 1 to 2 of the accessible version; method in Sec. III; experiments in Sec. IV, especially the spread and RAG-persistence subsections. Recheck page and table numbers against the final journal PDF.",The two-stage manipulation and persistence are author claims. The F3 primary label and F1 secondary label are corpus interpretations.,"Simulated community; predeployment model manipulation confounds a purely runtime attacker; static roles; final metadata and exact metric table locations remain unresolved. Evidence maturity: Peer-reviewed journal work, but canonical metadata and full-text locators are not yet frozen.",See load-bearing correction log and detailed source review.,pending_final_source_verification,already_load_bearing,blocked_pending_exact_source
6,load_bearing,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,,,"ACL 2025, pp. 7261 to 7276",10.18653/v1/2025.acl-long.359,https://aclanthology.org/2025.acl-long.359/,Canonical ACL 2025 proceedings version confirmed. Metadata is correct.,source_identity_reviewed,core_security,core_security,The method explicitly represents multi-agent utterances and their graph relations and intervenes on communication topology.,attack,defense; evaluation; attack analysis,,The method explicitly represents multi-agent utterances and their graph relations and intervenes on communication topology.,load_bearing_source_review,defense; evaluation; attack analysis,yes,"Adversary introduces prompt injection, misinformation, or malicious utterances that propagate over the agent graph.",Influences utterances that enter the monitored graph.,The defender can reconstruct the utterance graph and observe enough messages to score nodes and edges.,"Attack propagation is evaluated, but the primary paper contribution is graph-based anomaly detection plus topology intervention.",Communication graph; utterances; topology; monitor and control plane.,"Claim-level F1, F3, or F4 depending on the evaluated attack. The paper itself should not receive one forced attack outcome.",Collective task or safety degradation under evaluated attacks.,"Multiple LLM backbones, multi-agent workflows, scales, and graph-based attack settings.",Dynamic utterance graph used as the analysis and intervention object.,,Mainstream safeguards and attack conditions evaluated by the paper.,Detection or security outcome plus recovered task performance.,"Unit: Agent, graph, and task.; Denominator: Experiment-specific agents or tasks; record exact table definitions for each claim.","The abstract reports more than 40% recovery under prompt injection in evaluated settings. This is an empirical result, not a universal or formal security guarantee.","Abstract, PDF p. 1; method sections defining the utterance graph and graph-neural detector; experiment result tables for the recovery claim; intervention section for edge or topology changes.","Graph construction, defense, and recovery are author claims. The observation that applicability depends on global graph access is a corpus interpretation derived from method inputs.","Requires central or near-global graph visibility, stable identities or message mapping, and authority to change edges; learned detector distribution may not transfer; category should not be coded primarily as attack. Evidence maturity: Archival peer-reviewed primary defense evidence.",See load-bearing correction log and detailed source review.,ready_after_major_patch,already_load_bearing,source_reviewed_pending_author_signoff
7,load_bearing,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,,,Findings of ACL 2025,10.18653/v1/2025.findings-acl.150,https://aclanthology.org/2025.findings-acl.150/,Canonical Findings of ACL 2025 version confirmed. Metadata is correct.,source_identity_reviewed,core_security,security_relevant at paper level; core_security for adversarial claims,"The paper mixes adversarial misinformation or harmful content with broader hallucination, bias, fairness, and reliability phenomena. Only the adversarial security claims should enter core-security statistics.",attack,benchmark; evaluation; topology analysis,,"The paper mixes adversarial misinformation or harmful content with broader hallucination, bias, fairness, and reliability phenomena. Only the adversarial security claims should enter core-security statistics.",load_bearing_source_review,benchmark; evaluation; topology analysis,yes,Malicious-query source or compromised interaction input in adversarial subsets.,"Introduces misinformation, bias, or harmful content that propagates and is aggregated.",Agents iteratively exchange information according to a configured RelCom graph.,"Topology-conditioned propagation and aggregation. Topology itself is an evaluation variable, not an attack mechanism.",Communication topology; iterative messages; aggregation.,Claim-level F1 or F4 for adversarial subsets; adjacent reliability and fairness for other phenomena.,Task-performance and safety degradation in evaluated settings.,"Multiple workflows, graph connectivity levels, system sizes, and per-round interactions.",RelCom abstraction with multiple graph structures and scales.,,Alternative topologies and benign versus attacked conditions.,Per-agent and aggregate joint accuracy or safety outcomes by round and topology.,"Unit: Agent, round, and task.; Denominator: Per-agent or aggregate task cases as defined in each experiment.",The reported 29.7% star-topology decrease is a relative task-performance decrease in a specific setting. It is not a universal severity figure or necessarily a percentage-point change.,"Abstract and framework, PDF pp. 1 to 3; result sections naming Agent Hallucination, Aggregation Safety, and Security Bottleneck; exact result table for the 29.7% setting; limitations section.","RelCom, phenomena, and setting-specific numbers are author claims. Treating the artifact as benchmark/evaluation and splitting security from adjacent claims are corpus decisions.","Authors note that RelCom may not capture system-specific designs and that privacy and security are not comprehensively covered; topology effects can interact with prompt, model, and compute changes. Evidence maturity: Archival peer-reviewed mixed safety and security evidence.",See load-bearing correction log and detailed source review.,ready_after_major_patch,already_load_bearing,source_reviewed_pending_author_signoff
8,load_bearing,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,,,Findings of ACL 2026,10.18653/v1/2026.findings-acl.342,https://aclanthology.org/2026.findings-acl.342/,Canonical Findings of ACL 2026 version confirmed. Metadata is correct.,source_identity_reviewed,core_security,core_security,Recursive communication among agents is the mechanism that turns semantically benign instructions into system-level blocking and paralysis.,attack,attack; evaluation,,Recursive communication among agents is the mechanism that turns semantically benign instructions into system-level blocking and paralysis.,load_bearing_source_review,attack; evaluation,yes,Source of a semantically benign recursive instruction.,Introduces content that agents accept and recursively pass or act upon.,Agents can initiate further messages or tasks for peers and lack a global collaboration budget.,Recursive contagious instructions create cycles of meaningless collaboration.,Inter-agent communication; delegation or invocation; topology; resource plane.,F7 availability and resource boundedness failure.,"System paralysis and loss of useful collaboration. Contagion is a mechanism, not the primary failure label.",Multiple LLMs and communication topologies with interacting agents.,"Multiple static topologies, including random entry and repeated runs.",,Existing attacks and conventional content-level safety alignment.,P-ASR and peak-blocking-turn style measures.,Unit: Agent and interaction turn.; Denominator: P-ASR equals blocked agents divided by total agents in the network.,CORBA produces denial of collaboration in evaluated settings and bypasses content guardrails because the recursive text can be semantically benign.,"Abstract and threat model, PDF p. 1 onward; metric definition and experiment tables, including topology results and repeated-run description; defense comparison section.","DoC, CORBA, and P-ASR are author claims. Coding recursion as a mechanism and F7 as the primary property is a corpus interpretation.",Small or static topologies; blocked-agent fraction and turns are proxies rather than monetary or token cost; no full recovery or post-incident cleanup evaluation. Evidence maturity: Archival peer-reviewed primary attack evidence.,See load-bearing correction log and detailed source review.,ready_after_minor_patch,already_load_bearing,source_reviewed_pending_author_signoff
9,load_bearing,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,,,IJCNLP-AACL 2025,10.18653/v1/2025.ijcnlp-long.34,https://aclanthology.org/2025.ijcnlp-long.34/,Canonical IJCNLP-AACL 2025 version confirmed. Metadata is correct.,source_identity_reviewed,core_security,core_security,The study uses communicating sender and receiver agents and an overseer; hidden coordination depends on interaction and incentive structure.,attack,security evaluation; attack elicitation; defense evaluation,,The study uses communicating sender and receiver agents and an overseer; hidden coordination depends on interaction and incentive structure.,load_bearing_source_review,security evaluation; attack elicitation; defense evaluation,yes,Agents optimized under misspecified or adversarial incentives rather than a conventional external attacker.,Learn linguistic encodings and decodings under GBRL or in-context reinforcement-learning elicitation.,Reward favors task success and hidden information transfer while oversight penalizes observable evidence.,Learned linguistic steganography.,Natural-language message channel; reward and training incentives; observer boundary.,Oversight or monitorability integrity failure.,Hidden information transfer and prohibited coordination.,"Sender-receiver agents, frontier LLMs, reward optimization, oversight and paraphrasing conditions.",Primarily paired communication rather than broad multi-node topology.,,"Passive oversight, active paraphrasing, and noncollusive or alternative elicitation conditions.","Task Success, Decoding Success, Sender Task Success, Overseer Bypass Success, Collusion Success, and channel capacity.",Unit: Communication episode or request.; Denominator: Task or episode trials defined per metric; there is no single universal ASR.,The paper shows that the chosen optimization procedures can elicit steganographic communication and that tested oversight and paraphrasing are incomplete in those settings.,"Abstract and Introduction, PDF pp. 1 to 2; metric definitions around PDF p. 3; experiment and mitigation sections; limitations or discussion.",The elicited behavior and metric results are author claims. Interpreting them as evidence about a global observation contract is a corpus synthesis.,Model-organism and elicitation setting; not evidence of spontaneous deployment prevalence; simplified tasks; mitigation comparisons may use fixed or weaker monitors; no universal impossibility result. Evidence maturity: Archival peer-reviewed primary evidence.,See load-bearing correction log and detailed source review.,ready_after_major_patch,already_load_bearing,source_reviewed_pending_author_signoff
10,load_bearing,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,,,"ACL 2026, Outstanding Paper",10.18653/v1/2026.acl-long.270,https://aclanthology.org/2026.acl-long.270/,Canonical ACL 2026 version confirmed. Metadata and title are correct.,source_identity_reviewed,core_security,core_security,"A writer-editor-director coalition coordinates public, individually truthful fragments whose composition manipulates victim agents and downstream judges.",attack,attack; benchmark; evaluation,,"A writer-editor-director coalition coordinates public, individually truthful fragments whose composition manipulates victim agents and downstream judges.",load_bearing_source_review,attack; benchmark; evaluation,yes,"Coalition of writer, editor, and director agents.","Select, rewrite, order, and publicly post factual fragments and coordinate their narrative construction.","Victims aggregate public posts, while message-level truth checks cannot reject individually factual fragments.",Open-channel cognitive collusion through generative montage.,Public multi-agent information channel; aggregation; provenance and cross-message context.,F4 collective decision or belief integrity failure.,Downstream propagation of a fabricated conclusion.,"Coalition attackers, victim belief agents, downstream judge agents, and 14 proprietary and open-weight model families.",Fixed writer-editor-director attack pipeline plus victim and judge stages.,,"Base prompts, reasoning variants, alternate constructions, and model families.",Victim attack success and downstream deception rate.,Unit: Rumor-event case or victim/judge decision.; Denominator: CoPHEME cases used in each evaluated split.,"The authors report peak victim ASR of 74.4% for proprietary and 70.6% for open-weight models, with downstream deception above 60% in evaluated settings.","Secs. 1 and 3, PDF pp. 1 to 6 for threat and method; Sec. 4, PDF pp. 6 to 8 for CoPHEME; Sec. 5, PDF pp. 8 to 12 for main result and propagation tables.","Open-channel truthful-fragment attack, role pipeline, dataset, and results are author claims. Labeling it F4 and using it as an observer-scope example are corpus interpretations.",Fixed attack pipeline; curated rumor events; simulated open channel; no live open-agent network; model susceptibility results are setting-specific. Evidence maturity: Archival peer-reviewed primary attack evidence.,See load-bearing correction log and detailed source review.,ready_after_minor_patch,already_load_bearing,source_reviewed_pending_author_signoff
