artifact_id,artifact_name,artifact_type,canonical_paper_id,paper_title,primary_category,note_path,evaluation_focus,unit,denominator,metrics,availability_url,publication_status,notes,display_venue,venue_type,source_version
artifact_tamas,TAMAS,benchmark and dataset,kavathekar2026tamas,TAMAS: Benchmarking Adversarial Risks in Multi-Agent LLM Systems,evaluations,papers/evaluations/acl/2026_kavathekar_tamas.md,adversarial MAS robustness,instance; task; run,adversarial instances; harmless tasks; runs,ASR; task success; ERS,https://github.com/microsoft/TAMAS,peer_reviewed,Evaluation-primary canonical record.,ACL,conference,ACL 2026
artifact_aciarena,ACIARena,benchmark framework,an2026aciarena,ACIARena: Toward Unified Evaluation for Agent Cascading Injection,evaluations,papers/evaluations/acl/2026_an_aciarena.md,cascading injection robustness,test case; attack surface; objective,test cases; systems; runs,BU; ASR; DS; propagation success,https://aclanthology.org/2026.acl-long.457/,peer_reviewed,Evaluation-primary canonical record.,ACL,conference,ACL 2026
artifact_risklab,RiskLab,toolkit and benchmark framework,jiang2026risklab,RiskLab: A Controlled Toolkit for Probing Emergent Risks in LLM-Based Multi-Agent Systems,evaluations,papers/evaluations/acl_demo/2026_jiang_risklab.md,emergent risk probes,trajectory; scenario; run,scenario runs; traces,risk-specific trajectory metrics,https://github.com/HowieHwong/RiskLab,peer_reviewed,Evaluation-primary canonical record.,ACL System Demonstrations,conference,ACL 2026 demo
artifact_liecraft,LieCraft,hidden-role benchmark,olson2026liecraft,LieCraft: A Multi-Agent Framework for Evaluating Deceptive Capabilities in Language Models,evaluations,papers/evaluations/aaai/2026_olson_liecraft.md,deception and detection,game; player; role,game episodes; players,defection; deception; accusation; TrueSkill,https://github.com/LieCraftGame/LieCraft,peer_reviewed,Evaluation-primary canonical record; formal title supersedes the preprint title.,AAAI,conference,AAAI 2026
artifact_agentleak,AgentLeak,privacy benchmark,elyagoubi2026agentleak,AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems,evaluations,papers/evaluations/journals_ieee_access/2026_el_yagoubi_agentleak.md,internal-channel privacy leakage,scenario; trace; channel,scenarios; traces; sensitive items,ELR; WLS; CLR; ASR,https://arxiv.org/abs/2602.11510,peer_reviewed,Evaluation-primary canonical record.,IEEE Access,journal,IEEE Access 2026
artifact_pear,PEAR,planner-executor benchmark,dong2026pear,PEAR: Planner-Executor Agent Robustness Benchmark,evaluations,papers/evaluations/findings_eacl/2026_dong_pear.md,role-position robustness,task; attacked role,task runs; role conditions,utility; robustness,https://aclanthology.org/2026.findings-eacl.237/,peer_reviewed,Formal version canonical; withdrawn arXiv excluded.,Findings of EACL,conference,Findings EACL 2026
artifact_amongus_aamas,Among Us deception evaluation,benchmark,milkowski2026amongus,Deception and Communication in Autonomous Multi-Agent Systems: An Experimental Study with Among Us,evaluations,papers/evaluations/aamas/2026_milkowski_among_us.md,deception and communication,game; speech act; outcome,games; tokens; episodes,win rate; deception; detection,https://doi.org/10.65109/FRXL8789,peer_reviewed,Evaluation-primary canonical record.,AAMAS,conference,AAMAS 2026
artifact_magpie,MAGPIE,contextual privacy benchmark,juneja2025magpie,MAGPIE: A Benchmark for Multi-Agent Contextual Privacy Evaluation,evaluations,papers/evaluations/neurips_workshop/2025_juneja_magpie.md,role-relative privacy,task; sensitive item,tasks; sensitive items,leakage percentage,https://nips.cc/virtual/2025/workshop/127834,workshop_or_nonarchival,Current workshop version canonical; older arXiv merged.,NeurIPS Responsible Foundation Models Workshop,workshop,NeurIPS ResponsibleFM Workshop 2025
artifact_gambit,GAMBIT,adaptive detector benchmark,lemercier2026gambit,GAMBIT: A Three-Mode Benchmark for Adversarial Robustness in Multi-Agent LLM Collectives,evaluations,papers/evaluations/arxiv/2026_le_mercier_gambit.md,adaptive imposter detection,instance; mode; detector,"27,804 instances; held-out test",zero-shot; recalibration; F1,https://arxiv.org/abs/2605.09027,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v2
artifact_gammaf,GAMMAF,graph-defense benchmark framework,mateotorrejon2026gammaf,GAMMAF: A Common Framework for Graph-Based Anomaly Monitoring Benchmarking in LLM Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_mateo_torrejon_gammaf.md,graph anomaly detection,graph; node; round,graphs; rounds; tasks,accuracy; ASR; detection; cost,https://arxiv.org/abs/2604.24477,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v1
artifact_harp,HARP,trace-first evaluation methodology,rahman2026harp,HARP: Measuring Harm Amplification in Multi-Agent LLM Systems,evaluations,papers/evaluations/arxiv/2026_rahman_harp.md,local-to-global harm amplification,paired run; trace; event,paired traces; scenarios,global/local harm; amplification; ASR; utility,https://arxiv.org/abs/2605.27489,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v1
artifact_calbench,CalBench,coordination-privacy benchmark,zou2026calbench,CalBench: Evaluating Coordination-Privacy Trade-offs in Multi-Agent LLMs,evaluations,papers/evaluations/arxiv/2026_zou_calbench.md,private-state coordination,scenario; meeting; agent,scenarios; agents; meetings,completion; excess cost; fairness; leakage,https://arxiv.org/abs/2605.09823,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v3
artifact_colosseum,Colosseum,collusion audit framework,nakamura2026colosseum,Colosseum: Auditing Collusion in Cooperative Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_nakamura_colosseum.md,action and communication collusion,episode; coalition; action,episodes; coalitions; actions,regret; coalition advantage; judge,https://arxiv.org/abs/2602.15198,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v2
artifact_macbench,MAC-Bench,procedural compliance benchmark,zhao2026macbench,Beyond Goodhart's Law: A Dynamic Benchmark for Evaluating Compliance in Multi-Agent Systems,evaluations,papers/evaluations/arxiv/2026_zhao_macbench.md,trace-level procedural compliance,scenario; trace; rule,scenarios; traces; rules,CSR; task success; compliance,https://arxiv.org/abs/2606.07805,non_peer_or_unverified,No verified archival venue.,arXiv,preprint,arXiv v1
