report_id,organization,title,publication_date,report_type,primary_url,system_and_deployment_scope,interaction_dependency,threat_model,method,metric_and_denominator,finding,limitations,conflict_of_interest,evidence_locations,verification_status,cutoff
owasp_agentic_threats_mitigations,OWASP GenAI Security Project,Agentic AI: Threats and Mitigations,2025-02-17,community threat taxonomy and mitigation guide,https://genai.owasp.org/resource/agentic-ai-threats-and-mitigations/,"Autonomous and agentic AI applications, including multi-agent interactions",Provides the parent threat taxonomy later specialized by the OWASP multi-agent threat-modeling guide,Goal manipulation; tool misuse; identity abuse; memory poisoning; insecure communication; cascading failures,Expert-developed threat model and mitigation taxonomy,Not applicable,"Identifies agent autonomy, tools, memory, identity, and interactions as security boundaries requiring layered controls",Community guidance; does not estimate empirical prevalence or comparative defense effectiveness,OWASP is a nonprofit community project,Official OWASP release page and downloadable guide,official_primary_source_verified,2026-07-01
microsoft_ai_enterprise,Microsoft,Guide for Securing the AI-Powered Enterprise: Getting Started with AI Applications,2025-04-02,enterprise security guide,https://www.microsoft.com/en-us/security/security-insider/emerging-trends/ai-security-guide,Enterprise AI applications including collaborating agentic systems,Identifies collaboration autonomy and real-time decisions as agentic risk multipliers,Prompt injection; data leakage; excessive autonomy; compliance failures,Enterprise guidance and phased adoption framework,Not applicable,Recommends governance data protection threat controls and oversight for agentic AI,Broad enterprise scope and limited MAS-specific evidence,Microsoft describes its own products and practices,Official Microsoft publication page; agentic AI section,official_primary_source_verified,2026-07-01
owasp_multiagent_guide,OWASP GenAI Security Project,Multi-Agentic System Threat Modeling Guide v1.0,2025-04-22,community security guide,https://genai.owasp.org/resource/multi-agentic-system-threat-modeling-guide-v1-0/,Multi-agent systems with coordinating autonomous agents,Applies an agentic threat taxonomy to multi-agent architectures and trust boundaries,Compromised agents; inter-agent manipulation; orchestration and shared-state threats,Threat-modeling guide with architecture examples,Not applicable,Documents additional attack surfaces introduced by coordination communication shared memory and orchestration,Community guidance rather than an empirical prevalence study,OWASP is a nonprofit community project,Official release page; guide title page and architecture/threat sections,official_primary_source_verified,2026-07-01
google_secure_agents,Google,Google's Approach for Secure AI Agents,2025-05-01,technical whitepaper,https://research.google/pubs/an-introduction-to-googles-approach-for-secure-ai-agents/,AI agents controlled by people and connected to tools services and other agents,Requires controllers bounded powers and observable planning/actions across interactions,Prompt injection; confused deputy; excessive authority; compromised dependencies,Security design framework,Not applicable,Advocates defense in depth combining deterministic controls and reasoning-based defenses,Aspirational provider framework rather than an independent evaluation,Google describes its own security approach,Official Google Research page and linked whitepaper,official_primary_source_verified,2026-07-01
schmidt_secure_ecosystem,Schmidt Sciences,Achieving a Secure AI Agent Ecosystem,2025-06-01,technical report,https://www.schmidtsciences.org/wp-content/uploads/2025/06/Achieving_a_Secure_AI_Agent_Ecosystem-3.pdf,AI agent ecosystems including interactions with APIs humans and other agents,Treats agent-to-agent interaction identity delegation and ecosystem dependencies as security boundaries,Compromised or untrusted agents; ecosystem and supply-chain adversaries,Expert report and recommendations,Not applicable,Calls for identity authorization monitoring and ecosystem-level security mechanisms,Broad agent ecosystem scope; not a systematic MAS literature review,Funded and published by Schmidt Sciences,Chapter 1; sections on multiagent systems identity and communication,official_primary_report_verified,2026-07-01
csa_agentic_iam,Cloud Security Alliance,Agentic AI Identity and Access Management: A New Approach,2025-08-18,industry research paper,https://cloudsecurityalliance.org/artifacts/agentic-ai-identity-and-access-management-a-new-approach,Complex multi-agent systems with dynamic identities delegation and cross-protocol interactions,Focuses on identity lifecycle delegation revocation and policy propagation across agent interactions,Identity spoofing; stale authorization; delegation abuse; cross-domain trust failure,Architecture and IAM framework,Not applicable,Proposes agent IDs DIDs verifiable credentials contextual access control and a security backplane,Conceptual architecture without a comparative empirical benchmark,CSA is an industry nonprofit with participating vendors,Official CSA artifact page; architecture and multi-agent IAM sections,official_primary_source_verified,2026-07-01
owasp_top10_agentic_2026,OWASP GenAI Security Project,OWASP Top 10 for Agentic Applications for 2026,2025-12-09,community risk framework,https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/,Autonomous agent applications and complex agent workflows,"Includes insecure inter-agent communication, cascading failures, rogue agents, identity and privilege abuse, and human-agent trust exploitation",Ten prioritized agentic application risk families,Globally peer-reviewed practitioner framework developed with more than 100 contributors,Ranked practitioner risk list rather than a benchmark denominator,"Offers an operational risk vocabulary for design, testing, and governance of agentic applications","Prioritization framework, not a complete census of vulnerabilities or attacks",OWASP nonprofit community initiative,Official OWASP resource page and Top 10 document,official_primary_source_verified,2026-07-01
cisco_integrated_framework,Cisco,Cisco's Integrated AI Security and Safety Framework,2026-01-01,technical framework,https://blogs.cisco.com/ai/security-framework,AI lifecycle including multi-agent orchestration shared memory and MCP,Includes multi-agent coordination as a first-class design element and attack surface,Multi-agent manipulation; collusion; memory corruption; tool and supply-chain exploitation,Threat taxonomy and operational framework,Not applicable,Provides techniques and subtechniques spanning AI security safety and multi-agent risks,Broader than MAS and presented by a security vendor,Cisco authors and publishes the framework,Official Cisco framework page; design element 3 and taxonomy description,official_primary_source_verified,2026-07-01
owasp_ai_red_team_vendor_criteria_2026,OWASP GenAI Security Project,OWASP Vendor Evaluation Criteria for AI Red Teaming Providers and Tooling v1.0,2026-02-04,practitioner evaluation guide,https://genai.owasp.org/resource/owasp-vendor-evaluation-criteria-for-ai-red-teaming-providers-tooling-v1-0/,"Chatbots, RAG, tool-calling agents, MCP architectures, and multi-agent workflows","Requires red-team coverage beyond jailbreaks, including tools, protocols, multi-agent workflows, and deployment threat models","Realistic adversarial testing of model, implementation, tool, protocol, and workflow boundaries",Vendor and tooling assessment criteria with green flags and red flags,"Qualitative evaluation criteria, not a pooled performance metric",Distinguishes substantive system-level red teaming from superficial jailbreak-only testing,Procurement guidance; does not independently validate named vendors,OWASP community resource,Official OWASP release page and criteria document,official_primary_source_verified,2026-07-01
ibm_agentic_security,IBM,A Guide to Agentic AI Security,2026-02-10,industry guide,https://www.ibm.com/think/insights/agentic-ai-security,Agent fleets hierarchies orchestrators tools and enterprise APIs,Distinguishes risks by an agent's place in a hierarchy or multi-agent ecosystem,Prompt injection; unauthorized access; overprivileged orchestration; unsafe tool action,Practitioner guidance,Not applicable,Emphasizes securing the action layer and applying controls according to role and hierarchy,High-level guidance rather than a systematic evidence synthesis,IBM describes enterprise security practices,Official IBM page; action-layer and hierarchy discussion,official_primary_source_verified,2026-07-01
owasp_agentic_solutions_landscape_q2_2026,OWASP GenAI Security Project,AI Security Solutions Landscape for Agentic AI Q2 2026,2026-03-17,security solutions landscape,https://genai.owasp.org/resource/ai-security-solutions-landscape-for-agentic-ai-q2-2026/,Full agentic AI lifecycle at the DevOps and SecOps boundary,"Maps tools and controls to agentic threat-mitigation duties, including runtime and interaction security",OWASP agentic threat taxonomy and lifecycle SecOps tasks,Quarterly mapping of open-source and commercial solutions by lifecycle stage and risk coverage,Coverage mapping rather than comparative efficacy benchmark,Shows where current products claim coverage across the agentic lifecycle and where solution gaps remain,Vendor landscape and claimed coverage do not establish defense effectiveness,Community and industry input; vendors may be represented,Official OWASP landscape page and downloadable report,official_primary_source_verified,2026-07-01
cisco_zero_trust,Cisco,Zero Trust for Agentic AI: Securing the Enterprise from AI Agents,2026-03-23,whitepaper,https://www.cisco.com/c/en/us/solutions/collateral/artificial-intelligence/security/zero-trust-agentic-ai-wp.html,Enterprise agents across cloud SaaS on-premises tools MCP servers and peer agents,Applies continuous identity access and behavior controls to agent interactions and propagation,Prompt injection; tool misuse; memory poisoning; agent-to-agent manipulation,Vendor security architecture,Not applicable,Proposes knowing every agent authorizing every action and adapting to runtime risk,Vendor whitepaper without independent product-effectiveness evaluation,Cisco describes a Cisco security architecture,Official Cisco page and linked whitepaper; key risks and controls,official_primary_source_verified,2026-07-01
owasp_exploit_roundup_q1_2026,OWASP GenAI Security Project,OWASP GenAI Exploit Round-up Report Q1 2026,2026-04-14,incident and exploit roundup,https://genai.owasp.org/2026/04/14/owasp-genai-exploit-round-up-report-q1-2026/,"Reported GenAI and agentic AI incidents from January through April 11, 2026","Includes incidents involving orchestration, agent identity, agentic supply chains, excessive authority, tool misuse, and cascading failures",Real-world exploitation and operational failures mapped to OWASP LLM and agentic risk classes,Curated incident roundup with source references and CVE mappings where available,Selected major incidents; explicitly not exhaustive,"Reports a shift from model-output risks toward identities, orchestration layers, supply chains, privilege abuse, and system-level consequences",Curated incident report; selection and external reporting quality limit prevalence inference,OWASP community publication,"Official OWASP report; incident details, risk mappings, and CVE references",official_primary_source_verified,2026-07-01
