record_id,title,arxiv_id,citations,citation_snapshot_date,accessed_version,primary_source,publication_status_review,publication_evidence,gate_multiagent_boundary,gate_explicit_interaction,gate_direct_security_relevance,gate_interaction_dependence,gate_full_text_evidence,recommended_scope,gate_decision,decision_reason,primary_role,attack_claim,metric_and_denominator,evidence_locators,limitations,verification_status,author_signoff_required
arxiv:2407.09897,Cohesive Conversations: Enhancing Authenticity in Multi-Agent Simulated Dialogues,2407.09897,13,2026-08-06,COLM 2024 published version,https://openreview.net/forum?id=3ypWPhMGhV,peer_reviewed,Official OpenReview record and published conference PDF,yes,yes,no,no,yes,adjacent,adjacent_not_core,Multiple agents exchange dialogue and memory but the endpoint is dialogue authenticity and factual consistency without an adversary or security contract.,evaluation; reliability,no,Dialogue quality and error rates over generated conversations; no security denominator.,Published PDF pp. 1-2 Abstract and Introduction; Sections 3-5 and Tables 1-4.,Interaction-dependent reliability work rather than direct security evidence.,agent_unverified,yes
arxiv:2407.12532,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2407.12532,13,2026-08-06,arXiv v1,https://arxiv.org/abs/2407.12532,non_peer_or_unverified,No archival publication located in the formality check.,yes,yes,no,no,yes,adjacent,adjacent_not_core,The paper studies learned communication and coordination performance; it does not define an adversary or violated security property.,evaluation; coordination,no,Task performance and grounding accuracy over benchmark tasks.,PDF pp. 1-3 system and contribution; Section 4 and PDF pp. 6-8 evaluation.,Coordination performance is relevant background but not security evidence.,agent_unverified,yes
arxiv:2410.22932,Multi-Agent Large Language Models for Conversational Task-Solving,2410.22932,31,2026-08-06,arXiv v2,https://arxiv.org/abs/2410.22932,non_peer_or_unverified,No archival publication located; the accessed work is an arXiv thesis-style manuscript.,yes,yes,partial,partial,yes,security_relevant,contextual_not_strict_core,The paper measures task performance and alignment collapse in prolonged discussion but does not specify a security adversary or security contract.,evaluation; reliability,no,Accuracy and task-specific quality metrics; safety discussion is not an adversarial security denominator.,PDF pp. 1-5 scope and claimed safety concerns; Sections 4-5 and PDF pp. 14-29 evaluation.,Useful for collective reliability and alignment context; security is not the primary contribution.,agent_unverified,yes
arxiv:2412.11014,CoopetitiveV: Leveraging LLM-powered Coopetitive Multi-Agent Prompting for High-quality Verilog Generation,2412.11014,11,2026-08-06,arXiv v2,https://arxiv.org/abs/2412.11014,workshop_or_nonarchival,Official ICML 2025 virtual page lists an MAS workshop poster rather than a main-track archival paper.,yes,yes,no,no,yes,adjacent,adjacent_not_core,The agents generate and correct Verilog; the endpoint is functional correctness rather than a security property.,evaluation; code generation,no,Pass and correctness metrics over Verilog benchmarks.,PDF pp. 1-3 architecture; PDF pp. 5-8 evaluation.,Error propagation and correction are reliability concerns absent an adversary.,agent_unverified,yes
arxiv:2501.07811,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2501.07811,37,2026-08-06,arXiv v1,https://arxiv.org/abs/2501.07811v1,non_peer_or_unverified,The v2 revision is post-cutoff; no archival publication was used for this decision.,yes,yes,no,no,yes,adjacent,adjacent_not_core,The multi-agent workflow improves code correctness and quality without an adversarial or security endpoint.,evaluation; code generation,no,Pass@1 CodeBLEU and functional correctness over code-generation datasets.,v1 PDF pp. 1-3 workflow; Sections 4-5 and v1 PDF pp. 6-11 evaluation and threats to validity.,Only the pre-cutoff v1 supports the frozen corpus decision.,agent_unverified,yes
arxiv:2504.00374,When Persuasion Overrides Truth in Multi-Agent LLM Debates: Introducing a Confidence-Weighted Persuasion Override Rate (CW-POR),2504.00374,11,2026-08-06,arXiv v1,https://arxiv.org/abs/2504.00374,non_peer_or_unverified,No archival publication located in the formality check.,yes,yes,yes,yes,yes,core_security,provisional_pass_author_signoff_required,A deliberately incorrect advocate attempts to override a truthful agent through debate and the central endpoint is collective decision integrity.,attack; evaluation,yes,CW-POR over eligible debate instances where the neutral agent begins correct and is exposed to a persuasive incorrect advocate.,PDF pp. 1-3 threat motivation and metric; Sections 3-5 and PDF pp. 4-8 setup and results; PDF p. 9 limitations.,Single-turn synthetic debate and confidence proxies limit external validity.,agent_unverified,yes
arxiv:2504.05047,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2504.05047,24,2026-08-06,arXiv v2,https://arxiv.org/abs/2504.05047,non_peer_or_unverified,No archival main-track publication located in the formality check.,yes,yes,no,no,yes,adjacent,adjacent_not_core,The paper optimizes debate accuracy and model-call efficiency and does not evaluate a security adversary or property.,evaluation; efficiency,no,Accuracy and average agent calls over reasoning benchmarks.,PDF pp. 1-3 method; PDF pp. 4-9 results and limitations.,Adaptive communication is architectural context rather than security evidence.,agent_unverified,yes
arxiv:2505.22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2505.22960,19,2026-08-06,arXiv v2,https://arxiv.org/abs/2505.22960,workshop_or_nonarchival,Official ICML 2025 virtual page lists an MAS workshop paper; no main-track archival record was found.,yes,yes,partial,yes,yes,security_relevant,contextual_not_strict_core,The safety experiments show debate-dependent changes in jailbreak attack success but security is one task family inside a broader test-time scaling study and the threat model is thin.,evaluation; safety,yes,Attack success rate over adversarial safety prompts with outcomes aggregated across debate rounds and configurations.,PDF pp. 1-4 scope; Sections 4-5 and PDF pp. 7-10 safety results; Appendix safety metric definition at PDF pp. 17-18.,Security findings should be extracted at claim level and not used to classify the entire paper as core security.,agent_unverified,yes
arxiv:2505.24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2505.24201,19,2026-08-06,arXiv v1,https://arxiv.org/abs/2505.24201,non_peer_or_unverified,No archival publication located in the formality check.,yes,yes,yes,yes,yes,core_security,provisional_pass_author_signoff_required,The defense models dynamic agent-execution graphs to detect prompt manipulation collusion and latent exploit paths that are defined across interacting agents.,defense; evaluation,yes,Detection and mitigation outcomes in two framework case studies; denominators and per-case metrics require claim-level extraction.,PDF pp. 1-4 threat model and graph design; Sections 5-6 and PDF pp. 5-9 defense and case studies; PDF p. 9 limitations.,Two case studies and a preprint-only evidence base limit generalization.,agent_unverified,yes
arxiv:2506.07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2506.07468,31,2026-08-06,arXiv v1,https://arxiv.org/abs/2506.07468v1,workshop_or_nonarchival,Official ICML 2025 virtual page lists an MAS workshop paper; later revisions are post-cutoff.,no,yes,yes,no,yes,adjacent,adjacent_not_core,Attacker and defender are alternating roles in a self-play training procedure for one protected language model rather than separately addressable deployed agent cores.,defense; training,yes,Safety benchmark scores and attacker success over generated red-team interactions.,v1 PDF pp. 1-5 formulation; Sections 4-5 and v1 PDF pp. 5-10 evaluation; appendix in v1 PDF.,Directly relevant to self-play safety training but outside the strict deployed multi-agent boundary.,agent_unverified,yes
