review_track,track_priority,paper_id,title,year,venue,primary_category,paper_type,scope_relation,primary_url,note_path,minimum_review_status,attack_evidence_status,attack_role,attack_instance_coding_required,reviewer,review_date,adjudication_note,assistant_review_status,recommended_scope,recommended_category,review_outcome,evidence_locators
load_bearing,1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024,ICML,attack,Attack; Empirical study; Theoretical analysis,core_security,https://proceedings.mlr.press/v235/gu24e.html,papers/attacks/icml/2024_gu_agent_smith.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; empirical study; theoretical analysis; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; empirical study; theoretical analysis,ready_after_minor_patch,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3."
load_bearing,2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,2024,NeurIPS,attack,Attack; Defense evaluation; Empirical study; Theoretical analysis,core_security,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,papers/attacks/neurips/2024_motwani_secret_collusion.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; defense evaluation; empirical study; theoretical analysis; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; defense evaluation; empirical study; theoretical analysis,ready_after_minor_patch,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7."
load_bearing,3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2025,ACL,attack,Attack; Benchmark; Evaluation,core_security,https://aclanthology.org/2025.acl-long.859/,papers/attacks/acl/2025_men_troublemaker.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; benchmark; evaluation; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; benchmark; evaluation,ready_after_minor_patch,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements."
load_bearing,4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,2025,ACM CCS,attack,Attack; Defense; Ecosystem evaluation,security_relevant,https://doi.org/10.1145/3719027.3765196,papers/attacks/ccs/2025_cohen_ai_worm.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=security_relevant; category=attack; defense; ecosystem evaluation; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,security_relevant,attack; defense; ecosystem evaluation,ready_after_major_patch,Final ACM record and CCS paper; preprint retained only for lineage. Cite final tables for propagation and DonkeyRail values. The current note's abstract-only locators are insufficient for quantitative use.
load_bearing,5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,2026,Science China Information Sciences,attack,Attack; Evaluation,core_security,https://doi.org/10.1007/s11432-024-4663-2,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md,blocked_pending_final_source,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; evaluation; outcome=pending_final_source_verification. See load-bearing correction log and detailed source review.,blocked_pending_exact_source,core_security,attack; evaluation,pending_final_source_verification,"Abstract and Introduction, PDF pp. 1 to 2 of the accessible version; method in Sec. III; experiments in Sec. IV, especially the spread and RAG-persistence subsections. Recheck page and table numbers against the final journal PDF."
load_bearing,6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,2025,ACL,defense,Defense; Evaluation; Attack analysis,core_security,https://aclanthology.org/2025.acl-long.359/,papers/defenses/acl/2025_wang_g_safeguard.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,evaluates_attack; attack_analysis_only,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=defense; evaluation; attack analysis; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,defense; evaluation; attack analysis,ready_after_major_patch,"Abstract, PDF p. 1; method sections defining the utterance graph and graph-neural detector; experiment result tables for the recovery claim; intervention section for edge or topology changes."
load_bearing,7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,2025,Findings of ACL,evaluation,Benchmark; Evaluation; Topology analysis,security_relevant,https://aclanthology.org/2025.findings-acl.150/,papers/evaluations/findings_acl/2025_yu_netsafe.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,evaluates_attack; attack_analysis_only,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=security_relevant at paper level; core_security for adversarial claims; category=benchmark; evaluation; topology analysis; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,security_relevant at paper level; core_security for adversarial claims,benchmark; evaluation; topology analysis,ready_after_major_patch,"Abstract and framework, PDF pp. 1 to 3; result sections naming Agent Hallucination, Aggregation Safety, and Security Bottleneck; exact result table for the 29.7% setting; limitations section."
load_bearing,8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,2026,Findings of ACL,attack,Attack; Evaluation,core_security,https://aclanthology.org/2026.findings-acl.342/,papers/attacks/findings_acl/2026_zhou_corba.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; evaluation; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; evaluation,ready_after_minor_patch,"Abstract and threat model, PDF p. 1 onward; metric definition and experiment tables, including topology results and repeated-run description; defense comparison section."
load_bearing,9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,2025,IJCNLP-AACL,evaluation,Security evaluation; Attack elicitation; Defense evaluation,core_security,https://aclanthology.org/2025.ijcnlp-long.34/,papers/evaluations/ijcnlp_aacl/2025_mathew_hidden_plain_text.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,attack_elicitation; evaluates_defense,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=security evaluation; attack elicitation; defense evaluation; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,security evaluation; attack elicitation; defense evaluation,ready_after_major_patch,"Abstract and Introduction, PDF pp. 1 to 2; metric definitions around PDF p. 3; experiment and mitigation sections; limitations or discussion."
load_bearing,10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,2026,ACL,attack,Attack; Benchmark; Evaluation,core_security,https://aclanthology.org/2026.acl-long.270/,papers/attacks/acl/2026_hu_lying_truths.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; benchmark; evaluation; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; benchmark; evaluation,ready_after_minor_patch,"Secs. 1 and 3, PDF pp. 1 to 6 for threat and method; Sec. 4, PDF pp. 6 to 8 for CoPHEME; Sec. 5, PDF pp. 8 to 12 for main result and propagation tables."
load_bearing,11,huang2026whispering_agents,Whispering Agents: An Event-Driven Covert Communication Protocol for the Internet of Agents,2026,AAAI,evaluation,Protocol; Evaluation; Dual-use security,security_relevant,https://ojs.aaai.org/index.php/AAAI/article/view/40380,papers/evaluations/aaai/2026_huang_whispering_agents.md,source_reviewed_pending_author_signoff,dual_use_no_malicious_claim_confirmed,dual_use_protocol,conditional,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=security_relevant; category=protocol; evaluation; dual-use security; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,security_relevant,protocol; evaluation; dual-use security,ready_after_major_patch,"Covert Event Channel Sec., PDF pp. 3 to 4 and Fig. 2; protocol design, PDF pp. 4 to 5 and Algorithm 1; capacity and robustness, PDF pp. 6 to 7 and Tables 1 to 2; invisibility evaluation, PDF pp. 7 to 8 and Fig. 3/Table 3; limitations, PDF p. 8."
load_bearing,12,wang2026masleak,MASLeak: Investigating and Exposing Intellectual Property Leakage Vulnerabilities in Multi-Agent Systems,2026,USENIX Security,attack,Attack; Benchmark; Evaluation,core_security,https://www.usenix.org/conference/usenixsecurity26/presentation/wang-liwen,papers/attacks/usenix_security/2026_wang_masleak.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack; benchmark_attack_suite,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; benchmark; evaluation; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; benchmark; evaluation,ready_after_minor_patch,Official USENIX record and arXiv full paper; abstract for black-box model and corpus size; method and metric sections for the seven measures; main tables for 87% and 92% results.
load_bearing,13,liu2026topology_memory,Topology Matters: Measuring Memory Leakage in Multi-Agent LLMs,2026,Findings of ACL,evaluation,Benchmark; Evaluation; Attack study,core_security,https://aclanthology.org/2026.findings-acl.1980/,papers/evaluations/findings_acl/2026_liu_topology_memory_leakage.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,benchmark_attack_suite; evaluates_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=benchmark; evaluation; attack study; outcome=ready_after_major_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,benchmark; evaluation; attack study,ready_after_major_patch,"Secs. 3.1 to 3.3, PDF pp. 3 to 6 and Fig. 1/Table 1 for state, roles, and six topologies; Sec. 4, PDF pp. 7 to 9, Tables 2 to 3 and Figs. 2 to 3 for leakage and temporal results; limitations, PDF p. 9."
load_bearing,14,he2025communication_attacks,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,2025,Findings of ACL,attack,Attack; Evaluation,core_security,https://aclanthology.org/2025.findings-acl.349/,papers/attacks/findings_acl/2025_he_communication_attacks.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,GPT-5.6 Pro assistant source audit,2026-08-06,Assistant source review only. Recommended scope=core_security; category=attack; evaluation; outcome=ready_after_minor_patch. See load-bearing correction log and detailed source review.,source_reviewed_pending_author_signoff,core_security,attack; evaluation,ready_after_minor_patch,"Abstract and threat model, PDF pp. 1 to 3 and Fig. 1; metric definition in Sec. 4.1, approximately PDF p. 5; evaluation tables for framework, structure, and application results; limitations section."
