work_key,title,evidence_set,previous_contribution,reaudited_contribution,changed,decision_basis,source_gap,cutoff_flag
doi:10.1109/iccces62661.2026.11437027,CAPRI-DP: A Differentially Private Extension to Context-Aware Multi-Agent Privacy Frameworks,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.13353,Cross-Domain Query Translation for Network Troubleshooting: A Multi-Agent LLM Framework with Privacy Preservation and Self-Reflection,set1_core,defense,general,yes,Targeted source verification: The paper's primary contribution is a cross-domain network-troubleshooting architecture; privacy-preserving anonymization is one of several system features rather than the main security-defense contribution. Source: https://arxiv.org/abs/2604.13353,,
zhou2026resmas,ResMAS: Resilience Optimization in LLM-based Multi-agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
zheng2026byzantine_reliability,Rethinking the Reliability of Multi-agent System: A Perspective from Byzantine Fault Tolerance,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_safesieve_from_heuristics_to_experience_in_progressive_pruning_for_llm_based_mul,SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Communication,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.65109/ydmy4904,ConvPayMAS: Conversational Payment Multi-Agent System with Agent-to-Agent Protocol and Three-Mandate Verification,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
mao2025ibgp,IBGP: Imperfect Byzantine Generals Problem for Zero-Shot Robustness in Communicative Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
miao2026blindguard,BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
pan2026xgguard,Explainable and Fine-Grained Safeguarding of LLM Multi-Agent Systems via Bi-Level Graph Anomaly Detection,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1145/3674399.3674445,BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination via Blockchain,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.4018/979-8-3373-1419-8.ch009,Security and Privacy in Multi-Agent LLM Networks,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
doi:10.1109/apsec66846.2025.00086,MAJD: Intent-Aware Multi-Agent Framework for Jailbreak Defense,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2510.01586,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2408.14972,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
mao2025agentsafe,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_agentshield_2025,AgentShield: Make MAS more secure and efficient,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2509.13597,Agentic JWT: A Secure Delegation Protocol for Autonomous AI Agents,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.02812,"Autonomous LLM Agent Worms: Cross-Platform Propagation, Automated Discovery and Temporal Re-Entry Defense",set2_emerging,defense,attack,yes,Targeted source verification: The paper's central contribution is the first systematic automated analysis and demonstration of persistent cross-platform LLM-agent worm propagation; RTW-A is a substantial but subsequent defense contribution. Source: https://arxiv.org/abs/2605.02812,,
arxiv:2603.04469,Beyond Input Guardrails: Reconstructing Cross-Agent Semantic Flows for Execution-Aware Attack Detection,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.22879,Beyond Single-Agent Alignment: Preventing Context-Fragmented Violations in Multi-Agent Systems,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
zou2025blocka2a,BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability,set1_core,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2512.17913,Byzantine Fault-Tolerant Multi-Agent System for Healthcare: A Gossip Protocol Approach to Secure Medical Message Propagation,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
jo2025byzantinerobust,Byzantine-Robust Decentralized Coordination of LLM Agents,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.19240,CASPIAN: Online Detection and Attribution of Cascade Attacks in LLM Multi-Agent Systems via Cross-Channel Causal Monitoring,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.07941,Collective Hallucination in Multi-Agent LLMs:Modeling and Defense,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2512.20973,DAO-Agent: Zero Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_star_cooperative_attacks_2026,Defending LLM-based Multi-Agent Systems Against Cooperative Attacks with Sentence-Level Rectification,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2603.15809,Don't Trust Stubborn Neighbors: A Security Framework for Agentic Networks,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
supp_dynatrust_2026,DynaTrust: Defending Multi-Agent Systems Against Sleeper Agents via Dynamic Trust Graphs,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.07911,Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration,set2_emerging,defense,general,yes,Targeted source verification: DACS primarily addresses context pollution and steering accuracy in multi-agent orchestration. Its core problem is reliability and context isolation rather than an adversarial security defense. Source: https://arxiv.org/abs/2604.07911,,
arxiv:2503.23138,EncGPT: A Multi-Agent Workflow for Dynamic Encryption Algorithms,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2605.09278,EquiMem: Calibrating Shared Memory in Multi-Agent Debate via Game-Theoretic Equilibrium,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2512.16167,Ev-Trust: An Evolutionarily Stable Trust Mechanism for Decentralized LLM-Based Multi-Agent Service Economies,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2604.07667,From Debate to Decision: Conformal Social Choice for Safe Multi-Agent Deliberation,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2603.04474,From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
arxiv:2606.10322,Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs,set2_emerging,defense,defense,no,Retained after strict dominant-contribution screening of the existing paper note/title; no evidence found that a non-defense contribution clearly dominates. This does not upgrade source-verification status.,,
