work_key,canonical_paper_id,title,doi,arxiv_id,decision,decision_source,decision_strength,rationale,reviewer,reviewed_at,locked,human_signoff_required,previous_work_keys,notes
doi:10.21227/qyq3-3g19,,"""AgentShield: Multi-Agent LLM Byzantine Fault Tolerance Evaluation Dataset""",10.21227/qyq3-3g19,,exclude,search:doi:10.21227/qyq3-3g19,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.21227/nmdc-wc69,,"""Beyond LLM-as-a-Judge: A Multi-LLM Framework for Reliable Chatbot Evaluation""",10.21227/nmdc-wc69,,exclude,search:doi:10.21227/nmdc-wc69,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.5281/zenodo.18659872,,"""Chérie OS – Daily Cross-LLM Sanity & Integrity Verification Pipeline with Failover to Claude and Remote Kill-Switch Activation – Prior Art Disclosure""",10.5281/zenodo.18659872,,exclude,search:doi:10.5281/zenodo.18659872,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.5281/zenodo.20693395,,"""CyberTrust AI v2: A Multi-Agent Adversarial Framework for Automated Smart Contract Exploit Synthesis and Economic Invariant Verification""",10.5281/zenodo.20693395,,exclude,search:doi:10.5281/zenodo.20693395,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
arxiv:2601.18754,,"$α^3$-SecBench: A Large-Scale Evaluation Suite of Security, Resilience, and Trust for LLM-based UAV Agents over 6G Networks",,2601.18754,exclude,search:arxiv:2601.18754,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.5281/zenodo.18476263,,(Hi.) Ears: LLM Audio Processing Orchestration,10.5281/zenodo.18476263,,exclude,search:doi:10.5281/zenodo.18476263,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.48448/ytbt-6r06,,"460 - Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",10.48448/ytbt-6r06,,exclude,search:doi:10.48448/ytbt-6r06,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.6084/m9.figshare.32387265,,<b>Dataset for “Adversarial Multi-Agent LLM Framework for Adaptive Cybersecurity Education in Saudi Technical Colleges”</b>,10.6084/m9.figshare.32387265,,exclude,search:doi:10.6084/m9.figshare.32387265,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.6084/m9.figshare.31441825,,<b>Dialogue with Socrates: LLM-Powered Autonomous Agents in Healthcare</b>,10.6084/m9.figshare.31441825,,exclude,search:doi:10.6084/m9.figshare.31441825,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2601.03281,,"<i>α</i> <sup>3</sup> -Bench: A Unified Benchmark of Safety, Robustness, and Efficiency for LLM-Based UAV Agents Over 6G Networks",10.1109/ojits.2026.3713296,2601.03281,exclude,search:doi:10.1109/ojits.2026.3713296,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1371/journal.pone.0349607.g001,,<p>LLM-Enhanced APT Detection Framework showing the multi-agent collaboration architecture.</p>,10.1371/journal.pone.0349607.g001,,exclude,search:doi:10.1371/journal.pone.0349607.g001,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1371/journal.pone.0341704.g002,,<p>Schematic of the LLM-based generation framework.</p>,10.1371/journal.pone.0341704.g002,,exclude,search:doi:10.1371/journal.pone.0341704.g002,55,Parent screening assigned an exclusion decision.,,,no,yes,,
arxiv:2602.21236,,@GrokSet: multi-party Human-LLM Interactions in Social Media,,2602.21236,exclude,search:arxiv:2602.21236,55,Parent screening assigned an exclusion decision.,,,no,yes,,
doi:10.1007/s44163-026-01563-y,,A causal multi-agent approach for intent-aware shilling attack detection,10.1007/s44163-026-01563-y,,exclude,search:doi:10.1007/s44163-026-01563-y,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
doi:10.5281/zenodo.20441050,,A Cloud-Native Multi-Agent Generative AI Framework for Demand Forecasting and Capacity Optimization using Vertex AI,10.5281/zenodo.20441050,,exclude,search:doi:10.5281/zenodo.20441050,55,No attack-family query hit and no canonical attack record.,,,no,yes,,
